index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.000,0.004,0.000,1434120917
2,20150612,0.000,0.004,0.000,1434120918
3,20150612,0.008,0.010,0.000,1434120919
4,20150612,0.003,0.010,0.000,1434120920
5,20150612,0.011,0.008,0.000,1434120921
6,20150612,0.017,0.009,0.000,1434120922
7,20150612,0.011,0.008,0.000,1434120923
8,20150612,0.006,0.006,0.000,1434120924
9,20150612,0.022,0.015,0.000,1434120925
10,20150612,0.026,0.017,0.000,1434120926
11,20150612,0.040,0.010,0.000,1434120927
12,20150612,0.025,0.027,0.000,1434120928
13,20150612,0.028,0.031,0.000,1434120929
14,20150612,0.034,0.035,0.000,1434120930
15,20150612,0.021,0.027,0.000,1434120931
16,20150612,0.031,0.049,0.000,1434120932
17,20150612,0.020,0.040,0.000,1434120933
18,20150612,0.011,0.037,0.000,1434120934
19,20150612,0.019,0.036,0.000,1434120935
20,20150612,0.024,0.029,0.000,1434120936
21,20150612,0.017,0.026,0.000,1434120937
22,20150612,0.022,0.018,0.000,1434120938
23,20150612,0.013,0.019,0.000,1434120939
24,20150612,0.008,0.008,0.000,1434120940
25,20150612,0.038,0.011,0.000,1434120941
26,20150612,0.018,0.010,0.000,1434120942
27,20150612,0.041,0.018,0.000,1434120943
28,20150612,0.053,0.055,0.000,1434120944
29,20150612,0.035,0.029,0.000,1434120945
30,20150612,0.018,0.020,0.000,1434120946
31,20150612,0.023,0.036,0.000,1434120947
32,20150612,0.022,0.031,0.000,1434120948
33,20150612,0.022,0.021,0.000,1434120949
34,20150612,0.022,0.035,0.000,1434120950
35,20150612,0.019,0.029,0.000,1434120951
36,20150612,0.022,0.045,0.000,1434120952
37,20150612,0.011,0.016,0.000,1434120953
38,20150612,0.013,0.027,0.000,1434120954
39,20150612,0.014,0.042,0.000,1434120955
40,20150612,0.063,0.043,0.000,1434120956
41,20150612,0.036,0.028,0.000,1434120957
42,20150612,0.027,0.025,0.000,1434120958
43,20150612,0.028,0.045,0.000,1434120959
44,20150612,0.019,0.047,0.000,1434120960
45,20150612,0.037,0.041,0.000,1434120961
46,20150612,0.037,0.029,0.000,1434120962
47,20150612,0.030,0.035,0.000,1434120963
48,20150612,0.030,0.027,0.000,1434120964
49,20150612,0.024,0.028,0.000,1434120965
50,20150612,0.018,0.028,0.000,1434120966
51,20150612,0.021,0.031,0.000,1434120967
52,20150612,0.015,0.020,0.000,1434120968
53,20150612,0.042,0.017,0.000,1434120969
54,20150612,0.032,0.028,0.000,1434120970
55,20150612,0.028,0.033,0.000,1434120971
56,20150612,0.023,0.020,0.000,1434120972
57,20150612,0.033,0.043,0.000,1434120973
58,20150612,0.030,0.050,0.000,1434120974
59,20150612,0.023,0.032,0.000,1434120975
60,20150612,0.028,0.028,0.000,1434120976
61,20150612,0.014,0.027,0.000,1434120977
62,20150612,0.011,0.023,0.000,1434120978
63,20150612,0.010,0.018,0.000,1434120979
64,20150612,0.013,0.030,0.000,1434120980
65,20150612,0.027,0.037,0.000,1434120981
66,20150612,0.012,0.027,0.000,1434120982
67,20150612,0.012,0.041,0.000,1434120983
68,20150612,0.051,0.033,0.000,1434120984
69,20150612,0.042,0.031,0.000,1434120985
70,20150612,0.042,0.024,0.000,1434120986
71,20150612,0.022,0.040,0.000,1434120987
72,20150612,0.017,0.026,0.000,1434120988
73,20150612,0.017,0.060,0.000,1434120989
74,20150612,0.014,0.031,0.000,1434120990
75,20150612,0.015,0.035,0.000,1434120991
76,20150612,0.011,0.052,0.000,1434120992
