index,time,xAxis,yAxis,zAxis
0,1434120923973,0.05270,0.01767,0.08771
1,1434120923974,-0.00003,-0.01321,0.07017
2,1434120923974,-0.00315,-0.02307,0.00692
3,1434120924015,-0.03299,-0.02470,-0.05228
4,1434120924016,-0.03889,-0.01351,-0.06292
5,1434120924063,-0.05220,-0.00456,-0.04486
6,1434120924065,-0.03551,-0.00677,-0.03277
7,1434120924066,-0.03466,-0.00854,-0.01371
8,1434120924114,0.01758,-0.00058,0.03200
9,1434120924115,0.03594,-0.00047,0.04669
10,1434120924160,0.01625,0.00900,0.02173
11,1434120924162,-0.01122,0.01345,-0.00059
12,1434120924163,-0.03632,0.01076,-0.03094
13,1434120924214,-0.02905,0.00236,-0.04584
14,1434120924220,-0.01465,-0.00749,-0.03980
15,1434120924260,-0.02656,0.00026,-0.02012
16,1434120924261,-0.00875,-0.00604,0.00578
17,1434120924263,0.00159,-0.00483,0.02884
18,1434120924317,0.01690,0.00238,0.01995
19,1434120924318,0.00727,0.00191,-0.00514
20,1434120924364,-0.00356,0.01324,-0.01348
21,1434120924366,-0.01457,0.01060,-0.00766
22,1434120924369,-0.02415,0.01160,0.00325
23,1434120924411,0.00490,0.00928,0.02682
24,1434120924413,0.01954,0.02930,0.03630
25,1434120924464,-0.01171,0.02031,0.00482
26,1434120924465,-0.05859,0.00688,-0.04771
27,1434120924465,-0.04374,0.00238,-0.05067
28,1434120924509,-0.03812,0.01440,-0.06475
29,1434120924510,-0.07347,0.00840,-0.05805
30,1434120924555,-0.12830,0.00984,-0.09488
31,1434120924556,-0.10889,-0.00463,-0.11887
32,1434120924600,-0.03868,-0.01308,-0.07713
33,1434120924600,-0.03954,0.01766,-0.03436
34,1434120924600,-0.07772,0.01413,-0.02124
35,1434120924651,-0.17780,-0.00120,-0.04746
36,1434120924653,-0.09693,-0.00721,-0.04422
37,1434120924654,-0.01036,-0.00264,-0.04709
38,1434120924697,-0.01453,0.00101,-0.01971
39,1434120924699,-0.00225,0.01331,0.00845
40,1434120924751,-0.03540,0.01377,-0.01121
41,1434120924751,-0.01582,0.00477,-0.03006
42,1434120924753,0.00844,0.01553,-0.05139
43,1434120924802,-0.02059,0.01868,-0.01689
44,1434120924803,-0.01335,0.02432,-0.01664
45,1434120924855,-0.00755,0.02258,-0.05628
46,1434120924856,0.00568,0.01181,-0.05127
47,1434120924858,0.00767,0.03992,-0.05899
48,1434120924898,-0.05793,0.07490,-0.01360
49,1434120924899,-0.02525,0.08102,0.04381
50,1434120924953,-0.00770,0.04684,-0.02276
51,1434120924955,-0.03975,0.04607,-0.02134
52,1434120924994,-0.00446,0.03139,0.00402
53,1434120924995,0.01518,0.02745,-0.01475
54,1434120924996,-0.01832,0.05009,-0.01492
55,1434120925039,-0.04513,0.06116,0.00915
56,1434120925043,-0.02751,0.03643,0.01670
57,1434120925090,0.04518,0.01118,0.00711
58,1434120925093,0.13693,0.00582,-0.01853
59,1434120925095,0.05173,0.03825,-0.04529
60,1434120925138,0.02029,0.03685,-0.05420
61,1434120925140,0.07092,0.02948,-0.07149
62,1434120925186,0.10830,0.03843,-0.09625
63,1434120925190,0.12961,0.06121,-0.05278
64,1434120925193,0.06384,0.10444,0.02184
65,1434120925240,-0.07705,0.13511,0.09403
66,1434120925242,-0.11320,0.04715,0.11741
67,1434120925284,-0.09994,0.07132,-0.00060
68,1434120925285,-0.02526,0.12111,0.08780
69,1434120925285,0.01026,0.09064,0.05540
70,1434120925369,0.09727,0.07251,0.00135
71,1434120925370,0.02547,0.17442,-0.06923
72,1434120925384,-0.10775,0.21219,-0.00304
73,1434120925384,-0.11042,0.18850,0.05850
74,1434120925385,-0.13130,0.13830,0.08977
