index,time,xAxis,yAxis,zAxis
0,1434120923963,0.00084,0.00032,-0.00038
1,1434120923964,-0.00057,0.00026,-0.00002
2,1434120923984,-0.00078,0.00020,0.00255
3,1434120924000,-0.00006,0.00016,-0.00029
4,1434120924015,-0.00005,0.00013,-0.00023
5,1434120924030,0.00084,0.00010,0.00215
6,1434120924061,-0.00077,0.00008,-0.00117
7,1434120924077,0.00015,0.00007,-0.00017
8,1434120924093,-0.00029,0.00005,0.00066
9,1434120924125,-0.00051,0.00004,-0.00104
10,1434120924141,0.00108,0.00003,-0.00032
11,1434120924159,-0.00007,0.00003,-0.00013
12,1434120924172,-0.00069,-0.00135,-0.00074
13,1434120924205,-0.00055,-0.00099,-0.00031
14,1434120924219,0.00028,0.00049,0.00176
15,1434120924237,0.00107,0.00039,0.00108
16,1434120924267,-0.00071,0.00027,-0.00106
17,1434120924284,-0.00008,-0.00082,0.00116
18,1434120924303,0.00008,0.00042,0.00108
19,1434120924315,-0.00057,0.00034,-0.00115
20,1434120924347,-0.00020,0.00027,-0.00111
21,1434120924362,0.00115,0.00022,-0.00019
22,1434120924377,0.00092,0.00017,-0.00042
23,1434120924407,0.00072,0.00014,0.00080
24,1434120924425,-0.00052,0.00011,0.00019
25,1434120924462,-0.00020,0.00009,-0.00096
26,1434120924463,-0.00083,0.00007,0.00057
27,1434120924488,0.00090,-0.00016,0.00068
28,1434120924504,0.00072,-0.00082,0.00054
29,1434120924518,0.00058,0.00025,0.00044
30,1434120924535,-0.00108,0.00020,-0.00119
31,1434120924565,-0.00089,0.00016,0.00059
32,1434120924591,-0.00071,0.00013,-0.00036
33,1434120924596,0.00073,0.00010,-0.00102
34,1434120924627,-0.00071,0.00008,0.00056
35,1434120924643,0.00006,0.00007,-0.00030
36,1434120924659,0.00098,0.00005,0.00069
37,1434120924675,-0.00073,0.00004,0.00056
38,1434120924707,0.00093,0.00003,0.00007
39,1434120924723,-0.00005,0.00003,-0.00113
40,1434120924740,-0.00081,0.00002,0.00037
41,1434120924770,-0.00050,0.00002,0.00043
42,1434120924787,0.00042,0.00001,-0.00107
43,1434120924800,0.00040,0.00001,-0.00085
44,1434120924816,-0.00063,0.00001,-0.00068
45,1434120924854,-0.00023,0.00001,0.00102
46,1434120924864,0.00023,0.00001,0.00002
47,1434120924881,-0.00059,0.00000,0.00048
48,1434120924911,-0.00047,-0.00145,0.00071
49,1434120924926,-0.00038,0.00029,0.00057
50,1434120924943,0.00070,0.00024,-0.00054
51,1434120924957,-0.00031,0.00019,-0.00100
52,1434120924989,0.00087,0.00015,-0.00080
53,1434120925004,0.00020,0.00012,0.00012
54,1434120925020,-0.00023,0.00010,0.00090
55,1434120925051,-0.00047,-0.00141,-0.00084
56,1434120925068,0.00111,0.00036,-0.00015
57,1434120925087,-0.00007,0.00029,-0.00004
58,1434120925098,-0.00066,0.00023,0.00077
59,1434120925133,-0.00053,0.00018,0.00050
60,1434120925147,0.00030,0.00015,-0.00089
61,1434120925162,-0.00008,0.00012,0.00045
62,1434120925194,0.00110,0.00009,0.00072
63,1434120925209,0.00088,0.00008,-0.00095
64,1434120925226,0.00070,0.00006,-0.00076
65,1434120925241,0.00056,0.00005,0.00076
66,1434120925275,-0.00111,0.00004,-0.00076
67,1434120925287,-0.00026,0.00003,0.00002
68,1434120925303,-0.00040,0.00002,0.00095
69,1434120925336,0.00080,0.00001,-0.00079
70,1434120925350,-0.00047,-0.00065,0.00092
71,1434120925366,-0.00104,0.00082,0.00074
72,1434120925382,-0.00085,-0.00002,0.00059
73,1434120925414,-0.00029,-0.00001,0.00063
74,1434120925430,0.00117,0.00063,0.00127
75,1434120925444,0.00094,0.00034,-0.00099
76,1434120925463,-0.00079,-0.00021,-0.00127
77,1434120925490,0.00049,-0.00016,0.00055
78,1434120925508,-0.00075,-0.00013,0.00044
79,1434120925531,-0.00060,-0.00010,-0.00095
80,1434120925555,0.00090,-0.00008,0.00036
81,1434120925579,-0.00005,-0.00069,-0.00110
82,1434120925586,0.00091,-0.00044,-0.00088
83,1434120925603,0.00073,0.00166,0.00080
84,1434120925632,-0.00059,-0.00017,-0.00204
85,1434120925648,0.00070,0.00069,0.00038
86,1434120925663,0.00056,0.00001,-0.00024
87,1434120925695,-0.00096,-0.00028,0.00093
88,1434120925713,0.00064,-0.00022,-0.00008
89,1434120925726,0.00051,-0.00018,-0.00011
90,1434120925743,-0.00106,0.00133,-0.00063
91,1434120925775,-0.00094,0.00080,-0.00050
92,1434120925790,0.00004,-0.00137,-0.00040
93,1434120925806,0.00080,-0.00063,0.00091
94,1434120925837,-0.00092,-0.00017,-0.00061
95,1434120925853,-0.00074,-0.00069,-0.00140
96,1434120925870,-0.00059,-0.00057,0.00089
97,1434120925884,-0.00047,0.00011,-0.00015
98,1434120925915,0.00087,0.00009,0.00006
99,1434120925931,-0.00055,0.00007,0.00130
100,1434120925947,0.00075,0.00006,0.00104
101,1434120925978,0.00090,0.00012,0.00076
102,1434120925994,-0.00026,0.00107,-0.00088
103,1434120926016,-0.00011,0.00076,-0.00071
104,1434120926025,-0.00070,-0.00018,0.00083
105,1434120926057,0.00101,-0.00031,0.00083
106,1434120926073,0.00080,-0.00025,-0.00005
107,1434120926088,-0.00052,-0.00020,-0.00089
108,1434120926120,-0.00082,-0.00168,0.00085
109,1434120926135,-0.00017,0.00018,0.00020
110,1434120926163,0.00094,0.00014,-0.00092
111,1434120926167,-0.00061,0.00011,-0.00074
112,1434120926200,-0.00044,0.00009,0.00097
113,1434120926214,0.00097,0.00007,0.00078
114,1434120926229,-0.00036,0.00006,0.00062
115,1434120926260,0.00084,0.00004,0.00050
116,1434120926277,0.00023,-0.00108,-0.00005
117,1434120926295,-0.00005,0.00025,-0.00115
118,1434120926313,0.00064,0.00020,-0.00092
119,1434120926340,0.00031,0.00016,-0.00053
120,1434120926357,-0.00111,0.00013,0.00028
121,1434120926371,-0.00089,0.00010,-0.00178
122,1434120926388,0.00081,0.00008,0.00115
123,1434120926419,-0.00046,0.00007,0.00100
124,1434120926435,0.00078,0.00005,-0.00005
125,1434120926450,-0.00067,0.00134,-0.00075
126,1434120926482,0.00076,-0.00022,-0.00060
127,1434120926497,0.00061,-0.00018,0.00014
128,1434120926512,0.00049,0.00091,-0.00000
129,1434120926527,0.00039,-0.00177,0.00100
130,1434120926559,0.00031,0.00003,0.00049
131,1434120926577,-0.00057,0.00002,-0.00163
132,1434120926593,-0.00120,0.00002,0.00175
