index,time,xAxis,yAxis,zAxis
0,1434120923968,-0.00540,0.00987,0.03266
1,1434120923970,-0.01682,0.01962,0.01129
2,1434120924008,0.01389,0.01569,-0.01284
3,1434120924010,0.02049,0.01568,-0.03449
4,1434120924014,0.01326,0.00707,-0.04556
5,1434120924058,0.03561,0.00253,-0.04270
6,1434120924059,0.00974,0.00750,-0.03416
7,1434120924107,-0.01955,0.00600,-0.02420
8,1434120924110,-0.01252,0.01417,-0.01389
9,1434120924112,-0.02251,0.00196,0.00451
10,1434120924155,-0.00864,-0.00390,-0.02061
11,1434120924162,-0.04988,-0.00624,0.00460
12,1434120924215,-0.04303,0.00126,-0.00257
13,1434120924216,-0.02192,0.01585,-0.02315
14,1434120924218,0.00668,0.01268,-0.02164
15,1434120924256,0.02722,0.01014,-0.04153
16,1434120924316,-0.03057,-0.00126,-0.01838
17,1434120924318,-0.05492,-0.00648,0.01264
18,1434120924319,-0.06816,0.00341,-0.00473
19,1434120924320,-0.03656,0.00898,-0.03113
20,1434120924358,0.02310,0.00093,-0.04053
21,1434120924368,-0.01512,-0.02347,-0.04727
22,1434120924410,-0.03084,-0.03440,0.00125
23,1434120924412,-0.05514,-0.03612,0.02912
24,1434120924414,-0.05349,-0.02577,0.00767
25,1434120924463,0.01268,-0.00890,-0.03683
26,1434120924466,0.00389,-0.03134,-0.04431
27,1434120924507,-0.03986,-0.03757,-0.02060
28,1434120924509,-0.03501,-0.02693,-0.00398
29,1434120924511,-0.01551,-0.01217,-0.01256
30,1434120924554,0.01181,-0.01286,-0.01864
31,1434120924556,-0.00539,-0.02513,-0.01491
32,1434120924593,-0.02619,-0.03573,0.00291
33,1434120924596,-0.04830,-0.03796,0.02342
34,1434120924597,-0.03239,-0.02412,0.00390
35,1434120924650,0.00143,-0.01304,-0.01251
36,1434120924654,0.03787,-0.01669,-0.05219
37,1434120924699,-0.01268,-0.03132,-0.03551
38,1434120924700,-0.03748,-0.03755,0.00519
39,1434120924701,-0.02686,-0.03004,-0.00522
40,1434120924749,-0.01211,-0.02091,-0.01980
41,1434120924752,0.00515,-0.01673,-0.02444
42,1434120924798,-0.00447,-0.02588,-0.04142
43,1434120924804,-0.02858,-0.03555,-0.00580
44,1434120924804,-0.03771,-0.03781,0.01411
45,1434120924853,-0.03329,-0.03025,-0.01605
46,1434120924857,0.01009,-0.02108,-0.03784
47,1434120924889,-0.00443,-0.01374,-0.03027
48,1434120924892,-0.00354,-0.01099,-0.01484
49,1434120924897,-0.00909,-0.00879,-0.02125
50,1434120924950,-0.01274,-0.02266,-0.01700
51,1434120924954,-0.02269,-0.02360,-0.00110
52,1434120924993,-0.01815,-0.01028,-0.00713
53,1434120924995,-0.01765,-0.01135,-0.01508
54,1434120924996,-0.00162,-0.00283,-0.00894
55,1434120925037,-0.01067,-0.00539,-0.01262
56,1434120925041,-0.02650,-0.00744,-0.01947
57,1434120925088,-0.00948,-0.01142,-0.02808
58,1434120925090,0.00804,-0.00913,-0.02871
59,1434120925094,0.02440,-0.00418,-0.02531
60,1434120925139,0.02889,0.00212,-0.01791
61,1434120925142,0.01062,0.00482,-0.00183
62,1434120925189,0.00849,0.02808,-0.00146
63,1434120925191,0.01617,0.02559,-0.01914
64,1434120925195,0.00668,0.01500,-0.02781
65,1434120925235,-0.00403,-0.00362,0.01760
66,1434120925238,-0.00869,-0.01540,0.01095
67,1434120925281,0.00477,-0.02404,-0.02483
68,1434120925283,0.08975,-0.03173,-0.05971
69,1434120925284,0.11711,-0.06523,-0.04464
70,1434120925367,-0.04068,-0.11312,0.06194
71,1434120925368,-0.12395,-0.11471,0.09565
72,1434120925377,-0.01635,-0.03396,0.03042
73,1434120925379,0.06895,-0.04826,-0.05535
74,1434120925383,0.12547,-0.07845,-0.02553
75,1434120925435,-0.02775,-0.10807,0.05614
76,1434120925436,-0.13548,-0.07474,0.07226
77,1434120925477,-0.01073,-0.01995,0.02734
78,1434120925479,0.11095,-0.01283,-0.04532
79,1434120925480,0.14657,-0.02589,-0.06360
80,1434120925534,-0.00462,-0.09103,0.04053
81,1434120925537,-0.12322,-0.09391,0.09961
82,1434120925584,-0.02827,-0.06888,0.08281
83,1434120925606,0.07817,-0.05198,-0.01031
84,1434120925608,0.11722,-0.06580,-0.03872
85,1434120925617,0.01175,-0.09561,0.03934
86,1434120925618,-0.04842,-0.07961,0.09241
87,1434120925666,-0.03014,-0.04807,0.04971
88,1434120925670,0.05558,-0.01736,-0.00945
89,1434120925674,0.11790,0.00096,-0.01381
90,1434120925716,0.14276,0.04373,0.00770
91,1434120925720,0.12046,0.07171,0.02725
92,1434120925724,0.09324,0.05111,0.01243
93,1434120925765,0.08084,0.01980,-0.00178
94,1434120925767,0.10764,0.04943,-0.01080
95,1434120925914,0.09471,0.06376,0.00074
96,1434120925920,0.09452,0.10257,0.02793
97,1434120925923,0.07561,0.11878,0.04969
98,1434120925923,0.01752,0.11690,0.05772
99,1434120925961,-0.01333,0.10836,0.04618
100,1434120925965,-0.01691,0.09606,0.05569
101,1434120925967,-0.02290,0.08935,0.09924
102,1434120925970,0.00668,0.16289,0.17080
103,1434120926014,-0.01653,0.19125,0.13351
104,1434120926018,-0.06791,0.18034,0.04041
105,1434120926019,-0.11839,0.19271,-0.01689
106,1434120926020,-0.13768,0.20339,-0.03461
107,1434120926064,-0.05233,0.21427,-0.04956
108,1434120926068,-0.10827,0.15345,-0.15528
109,1434120926114,-0.25771,0.11963,-0.24063
110,1434120926124,-0.17883,0.14493,-0.19250
111,1434120926125,-0.08212,0.12766,-0.08681
112,1434120926164,-0.04695,0.05369,-0.02961
113,1434120926170,-0.08678,-0.01252,-0.05728
114,1434120926209,-0.13661,-0.01001,-0.12785
115,1434120926217,-0.04523,-0.00801,-0.08744
116,1434120926218,0.03101,-0.04547,0.00349
117,1434120926255,0.01231,-0.04888,0.01841
118,1434120926259,-0.16359,-0.04223,-0.05871
119,1434120926315,-0.04572,0.04903,-0.05009
120,1434120926318,0.08843,0.04469,-0.04632
121,1434120926319,0.07074,-0.06737,-0.04331
122,1434120926363,-0.06216,-0.15468,-0.03777
123,1434120926366,-0.17785,-0.14562,-0.02084
124,1434120926407,-0.07822,-0.12509,0.03255
125,1434120926408,0.03508,-0.08835,0.00104
126,1434120926410,0.02807,-0.11912,-0.04761
127,1434120926460,-0.06036,-0.14139,-0.04121
128,1434120926465,-0.00532,-0.14983,0.02484
129,1434120926510,0.05981,-0.19330,0.09019
130,1434120926518,0.13378,-0.22417,0.09949
131,1434120926520,0.13125,-0.23481,0.04600
132,1434120926549,0.16906,-0.19956,-0.03898
133,1434120926549,0.08603,-0.13231,-0.04681
134,1434120926596,0.02039,-0.09647,0.00240
135,1434120926601,0.07100,-0.10530,0.08707
136,1434120926604,0.09039,-0.08112,0.07903
137,1434120926643,0.10278,0.01792,0.03901
138,1434120926645,0.05801,0.06902,-0.00551
139,1434120926694,0.01281,0.12241,0.00731
140,1434120926697,-0.02334,0.16824,0.03944
141,1434120926697,-0.01555,0.16818,0.08390
142,1434120926740,-0.01244,0.17439,0.03977
143,1434120926742,-0.01933,0.20045,-0.01115
144,1434120926793,-0.06077,0.21505,-0.02142
145,1434120926798,-0.05799,0.24235,-0.00151
146,1434120926800,-0.07374,0.18138,0.00817
147,1434120926845,-0.13868,0.10526,-0.01847
148,1434120926848,-0.18751,0.08733,-0.07571
149,1434120926893,-0.18047,0.09174,-0.08479
150,1434120926898,-0.14438,0.09449,-0.04361
151,1434120926899,-0.09363,0.05450,-0.00755
152,1434120926947,-0.03818,0.01860,-0.02088
153,1434120926951,-0.01570,0.01488,-0.05655
154,1434120926989,-0.03991,0.00956,-0.05149
155,1434120926994,0.01104,-0.00173,-0.01697
156,1434120926995,0.01508,-0.01076,-0.03780
157,1434120927041,-0.01606,-0.03282,-0.03336
158,1434120927044,0.03325,-0.04735,0.02565
159,1434120927086,0.07816,-0.05663,0.05959
160,1434120927090,0.05394,-0.06328,0.02657
161,1434120927091,0.05799,-0.06937,0.00954
162,1434120927135,0.08936,-0.07971,0.02248
163,1434120927141,0.07149,-0.04268,0.03361
164,1434120927181,0.06657,-0.03102,0.05735
165,1434120927185,0.05325,-0.03341,0.07323
166,1434120927191,0.06057,-0.03923,0.07343
167,1434120927233,0.03908,-0.03763,0.04077
168,1434120927238,0.00705,-0.01135,-0.00098
169,1434120927276,-0.03733,-0.00362,-0.00391
170,1434120927279,-0.01736,-0.00289,0.01250
171,1434120927283,0.00408,0.00081,0.01859
172,1434120927333,0.00639,0.01002,0.03050
173,1434120927336,0.00823,0.00177,0.01815
174,1434120927387,-0.00513,-0.00483,-0.01282
175,1434120927388,-0.05020,0.01801,-0.02276
176,1434120927389,-0.03078,0.05112,0.00914
177,1434120927425,-0.02775,0.02840,0.08387
178,1434120927427,0.01139,-0.00462,0.10382
179,1434120927478,0.06380,-0.00995,0.04008
180,1434120927480,0.06667,0.01938,-0.03200
181,1434120927481,0.03146,0.04910,-0.05606
182,1434120927525,0.00720,0.06662,-0.03235
183,1434120927530,-0.04893,0.06892,-0.01963
184,1434120927531,-0.03914,0.03951,-0.03758
185,1434120927576,-0.00085,0.02302,-0.06053
186,1434120927578,-0.01318,0.03638,-0.08202
187,1434120927623,-0.04101,0.06895,-0.09608
188,1434120927628,-0.09687,0.12235,-0.11671
189,1434120927630,-0.09625,0.18928,-0.10196
190,1434120927674,-0.06762,0.19440,-0.07610
191,1434120927676,-0.12129,0.18286,-0.06323
192,1434120927726,-0.17593,0.21660,-0.01464
193,1434120927734,-0.11028,0.19750,0.07735
194,1434120927738,-0.02104,0.14862,0.13219
195,1434120927778,0.08630,0.17671,0.12372
196,1434120927780,0.16982,0.10778,0.07476
197,1434120927813,-0.03758,-0.05987,-0.16051
198,1434120927814,-0.49100,-0.13071,-0.37840
199,1434120927815,-0.17952,-0.18347,-0.12850
