index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.002,0.021,0.006,1434121631
2,20150612,0.003,0.014,0.003,1434121632
3,20150612,0.006,0.017,0.008,1434121633
4,20150612,0.038,0.057,0.021,1434121634
5,20150612,0.036,0.030,0.012,1434121635
6,20150612,0.033,0.020,0.007,1434121636
7,20150612,0.024,0.014,0.005,1434121637
8,20150612,0.014,0.010,0.003,1434121638
9,20150612,0.027,0.028,0.002,1434121639
10,20150612,0.016,0.019,0.001,1434121640
11,20150612,0.026,0.025,0.001,1434121641
12,20150612,0.048,0.051,0.000,1434121642
13,20150612,0.034,0.029,0.000,1434121643
14,20150612,0.067,0.058,0.000,1434121644
15,20150612,0.070,0.079,0.000,1434121645
16,20150612,0.057,0.083,0.000,1434121646
17,20150612,0.028,0.032,0.000,1434121647
18,20150612,0.053,0.054,0.000,1434121648
19,20150612,0.036,0.045,0.000,1434121649
20,20150612,0.034,0.033,0.000,1434121650
21,20150612,0.047,0.044,0.000,1434121651
22,20150612,0.033,0.032,0.000,1434121652
23,20150612,0.026,0.026,0.000,1434121653
24,20150612,0.052,0.050,0.000,1434121654
25,20150612,0.053,0.061,0.000,1434121655
26,20150612,0.052,0.077,0.000,1434121656
27,20150612,0.028,0.034,0.000,1434121657
28,20150612,0.068,0.059,0.000,1434121658
29,20150612,0.045,0.045,0.000,1434121659
30,20150612,0.048,0.048,0.000,1434121660
31,20150612,0.028,0.033,0.000,1434121661
32,20150612,0.050,0.048,0.000,1434121662
33,20150612,0.034,0.037,0.000,1434121663
34,20150612,0.027,0.028,0.000,1434121664
35,20150612,0.039,0.043,0.000,1434121665
36,20150612,0.057,0.047,0.000,1434121666
37,20150612,0.042,0.052,0.000,1434121667
38,20150612,0.037,0.040,0.000,1434121668
39,20150612,0.026,0.037,0.000,1434121669
40,20150612,0.048,0.051,0.000,1434121670
41,20150612,0.056,0.050,0.000,1434121671
42,20150612,0.056,0.089,0.000,1434121672
43,20150612,0.041,0.034,0.000,1434121673
44,20150612,0.038,0.057,0.000,1434121674
45,20150612,0.042,0.038,0.000,1434121675
46,20150612,0.038,0.036,0.000,1434121676
47,20150612,0.035,0.047,0.000,1434121677
48,20150612,0.049,0.053,0.000,1434121678
49,20150612,0.037,0.050,0.000,1434121679
50,20150612,0.042,0.034,0.000,1434121680
51,20150612,0.056,0.046,0.000,1434121681
52,20150612,0.032,0.032,0.000,1434121682
53,20150612,0.030,0.034,0.000,1434121683
54,20150612,0.049,0.041,0.000,1434121684
55,20150612,0.050,0.043,0.000,1434121685
56,20150612,0.028,0.030,0.000,1434121686
57,20150612,0.035,0.030,0.000,1434121687
58,20150612,0.044,0.040,0.000,1434121688
59,20150612,0.023,0.021,0.000,1434121689
60,20150612,0.030,0.031,0.000,1434121690
61,20150612,0.021,0.028,0.000,1434121691
62,20150612,0.050,0.055,0.000,1434121692
63,20150612,0.047,0.046,0.000,1434121693
64,20150612,0.042,0.031,0.000,1434121694
65,20150612,0.080,0.079,0.000,1434121695
66,20150612,0.035,0.032,0.000,1434121696
67,20150612,0.037,0.038,0.000,1434121697
68,20150612,0.035,0.024,0.000,1434121698
69,20150612,0.050,0.054,0.000,1434121699
70,20150612,0.031,0.029,0.000,1434121700
71,20150612,0.029,0.023,0.000,1434121701
72,20150612,0.058,0.048,0.000,1434121702
73,20150612,0.053,0.053,0.000,1434121703
74,20150612,0.040,0.040,0.000,1434121704
75,20150612,0.056,0.058,0.000,1434121705
76,20150612,0.033,0.026,0.000,1434121706
77,20150612,0.037,0.047,0.000,1434121707
78,20150612,0.032,0.029,0.000,1434121708
79,20150612,0.060,0.057,0.000,1434121709
80,20150612,0.062,0.061,0.000,1434121710
81,20150612,0.046,0.059,0.000,1434121711
82,20150612,0.041,0.046,0.000,1434121712
83,20150612,0.036,0.035,0.000,1434121713
84,20150612,0.030,0.031,0.000,1434121714
85,20150612,0.036,0.034,0.000,1434121715
86,20150612,0.041,0.046,0.000,1434121716
87,20150612,0.021,0.030,0.000,1434121717
88,20150612,0.050,0.043,0.000,1434121718
89,20150612,0.071,0.045,0.000,1434121719
90,20150612,0.040,0.035,0.000,1434121720
91,20150612,0.034,0.035,0.000,1434121721
92,20150612,0.065,0.059,0.000,1434121722
93,20150612,0.064,0.073,0.000,1434121723
94,20150612,0.060,0.060,0.000,1434121724
95,20150612,0.043,0.050,0.000,1434121725
96,20150612,0.042,0.038,0.000,1434121726
97,20150612,0.040,0.034,0.000,1434121727
98,20150612,0.035,0.051,0.000,1434121728
99,20150612,0.026,0.027,0.000,1434121729
100,20150612,0.028,0.037,0.000,1434121730
101,20150612,0.036,0.038,0.000,1434121731
102,20150612,0.027,0.044,0.000,1434121732
103,20150612,0.030,0.029,0.000,1434121733
104,20150612,0.021,0.020,0.000,1434121734
105,20150612,0.061,0.061,0.000,1434121735
106,20150612,0.035,0.044,0.000,1434121736
107,20150612,0.031,0.033,0.000,1434121737
108,20150612,0.029,0.031,0.000,1434121738
109,20150612,0.047,0.041,0.000,1434121739
110,20150612,0.052,0.045,0.000,1434121740
111,20150612,0.033,0.031,0.000,1434121741
112,20150612,0.055,0.055,0.000,1434121742
113,20150612,0.044,0.044,0.000,1434121743
114,20150612,0.080,0.088,0.000,1434121744
115,20150612,0.058,0.057,0.000,1434121745
116,20150612,0.031,0.030,0.000,1434121746
117,20150612,0.063,0.061,0.000,1434121747
118,20150612,0.049,0.050,0.000,1434121748
119,20150612,0.050,0.047,0.000,1434121749
120,20150612,0.040,0.033,0.000,1434121750
121,20150612,0.029,0.041,0.000,1434121751
122,20150612,0.054,0.058,0.000,1434121752
123,20150612,0.054,0.046,0.000,1434121753
124,20150612,0.048,0.045,0.000,1434121754
125,20150612,0.036,0.036,0.000,1434121755
126,20150612,0.055,0.067,0.000,1434121756
127,20150612,0.044,0.058,0.000,1434121757
128,20150612,0.028,0.036,0.000,1434121758
129,20150612,0.050,0.039,0.000,1434121759
130,20150612,0.048,0.042,0.000,1434121760
131,20150612,0.050,0.052,0.000,1434121761
132,20150612,0.040,0.041,0.000,1434121762
133,20150612,0.030,0.040,0.000,1434121763
134,20150612,0.027,0.037,0.000,1434121764
135,20150612,0.041,0.038,0.000,1434121765
136,20150612,0.047,0.032,0.000,1434121766
137,20150612,0.036,0.032,0.000,1434121767
138,20150612,0.035,0.021,0.000,1434121768
139,20150612,0.029,0.024,0.000,1434121769
140,20150612,0.058,0.057,0.000,1434121770
141,20150612,0.061,0.073,0.000,1434121771
142,20150612,0.035,0.040,0.000,1434121772
143,20150612,0.035,0.047,0.000,1434121773
144,20150612,0.049,0.046,0.000,1434121774
145,20150612,0.062,0.044,0.000,1434121775
146,20150612,0.028,0.025,0.000,1434121776
147,20150612,0.043,0.038,0.000,1434121777
148,20150612,0.057,0.041,0.000,1434121778
149,20150612,0.051,0.046,0.000,1434121779
150,20150612,0.046,0.045,0.000,1434121780
151,20150612,0.030,0.031,0.000,1434121781
152,20150612,0.050,0.037,0.000,1434121782
153,20150612,0.039,0.035,0.000,1434121783
154,20150612,0.040,0.041,0.000,1434121784
155,20150612,0.033,0.023,0.000,1434121785
156,20150612,0.038,0.045,0.000,1434121786
157,20150612,0.027,0.027,0.000,1434121787
158,20150612,0.053,0.043,0.000,1434121788
159,20150612,0.032,0.043,0.000,1434121789
160,20150612,0.051,0.043,0.000,1434121790
161,20150612,0.028,0.020,0.000,1434121791
162,20150612,0.032,0.022,0.000,1434121792
163,20150612,0.054,0.043,0.000,1434121793
164,20150612,0.029,0.026,0.000,1434121794
165,20150612,0.033,0.035,0.000,1434121795
166,20150612,0.053,0.037,0.000,1434121796
167,20150612,0.042,0.041,0.000,1434121797
168,20150612,0.031,0.026,0.000,1434121798
169,20150612,0.027,0.020,0.000,1434121799
170,20150612,0.049,0.063,0.000,1434121800
171,20150612,0.030,0.038,0.000,1434121801
172,20150612,0.033,0.033,0.000,1434121802
173,20150612,0.061,0.023,0.000,1434121803
174,20150612,0.046,0.044,0.000,1434121804
175,20150612,0.059,0.036,0.000,1434121805
176,20150612,0.050,0.032,0.000,1434121806
177,20150612,0.037,0.037,0.000,1434121807
178,20150612,0.045,0.028,0.000,1434121808
179,20150612,0.036,0.026,0.000,1434121809
180,20150612,0.044,0.032,0.000,1434121810
181,20150612,0.036,0.039,0.000,1434121811
182,20150612,0.040,0.043,0.000,1434121812
183,20150612,0.054,0.061,0.000,1434121813
184,20150612,0.030,0.044,0.000,1434121814
185,20150612,0.030,0.032,0.000,1434121815
186,20150612,0.031,0.048,0.000,1434121816
187,20150612,0.031,0.028,0.000,1434121817
188,20150612,0.049,0.034,0.000,1434121818
189,20150612,0.034,0.046,0.000,1434121819
190,20150612,0.033,0.035,0.000,1434121820
191,20150612,0.039,0.040,0.000,1434121821
192,20150612,0.035,0.029,0.000,1434121822
193,20150612,0.043,0.037,0.000,1434121823
194,20150612,0.036,0.025,0.000,1434121824
195,20150612,0.045,0.038,0.000,1434121825
196,20150612,0.039,0.043,0.000,1434121826
197,20150612,0.051,0.036,0.000,1434121827
198,20150612,0.053,0.041,0.000,1434121828
199,20150612,0.033,0.037,0.000,1434121829
200,20150612,0.056,0.045,0.000,1434121830
201,20150612,0.027,0.033,0.000,1434121831
202,20150612,0.035,0.032,0.000,1434121832
203,20150612,0.034,0.032,0.000,1434121833
204,20150612,0.034,0.030,0.000,1434121834
205,20150612,0.048,0.043,0.000,1434121835
206,20150612,0.035,0.041,0.000,1434121836
207,20150612,0.039,0.047,0.000,1434121837
208,20150612,0.032,0.043,0.000,1434121838
209,20150612,0.059,0.053,0.000,1434121839
210,20150612,0.048,0.048,0.000,1434121840
211,20150612,0.031,0.036,0.000,1434121841
212,20150612,0.035,0.040,0.000,1434121842
213,20150612,0.045,0.048,0.000,1434121843
214,20150612,0.039,0.040,0.000,1434121844
215,20150612,0.035,0.027,0.000,1434121845
216,20150612,0.034,0.051,0.000,1434121846
217,20150612,0.053,0.047,0.000,1434121847
218,20150612,0.036,0.044,0.000,1434121848
219,20150612,0.048,0.043,0.000,1434121849
220,20150612,0.083,0.058,0.000,1434121850
221,20150612,0.045,0.086,0.000,1434121851
222,20150612,0.076,0.042,0.000,1434121852
223,20150612,0.046,0.026,0.000,1434121853
224,20150612,0.039,0.028,0.000,1434121854
225,20150612,0.026,0.020,0.000,1434121855
226,20150612,0.029,0.027,0.000,1434121856
227,20150612,0.050,0.051,0.000,1434121857
228,20150612,0.033,0.047,0.000,1434121858
229,20150612,0.035,0.040,0.000,1434121859
230,20150612,0.049,0.047,0.000,1434121860
231,20150612,0.040,0.035,0.000,1434121861
232,20150612,0.046,0.036,0.000,1434121862
233,20150612,0.031,0.037,0.000,1434121863
234,20150612,0.018,0.026,0.000,1434121864
235,20150612,0.029,0.043,0.000,1434121865
236,20150612,0.042,0.043,0.000,1434121866
237,20150612,0.032,0.025,0.000,1434121867
238,20150612,0.037,0.023,0.000,1434121868
239,20150612,0.036,0.045,0.000,1434121869
240,20150612,0.020,0.017,0.000,1434121870
241,20150612,0.023,0.021,0.000,1434121871
242,20150612,0.038,0.019,0.000,1434121872
243,20150612,0.025,0.042,0.000,1434121873
244,20150612,0.037,0.033,0.000,1434121874
245,20150612,0.024,0.033,0.000,1434121875
246,20150612,0.031,0.023,0.000,1434121876
247,20150612,0.065,0.058,0.000,1434121877
248,20150612,0.045,0.051,0.000,1434121878
249,20150612,0.029,0.032,0.000,1434121879
250,20150612,0.033,0.037,0.000,1434121880
251,20150612,0.043,0.039,0.000,1434121881
252,20150612,0.054,0.029,0.000,1434121882
253,20150612,0.040,0.050,0.000,1434121883
254,20150612,0.030,0.030,0.000,1434121884
255,20150612,0.024,0.018,0.000,1434121885
256,20150612,0.033,0.046,0.000,1434121886
257,20150612,0.036,0.032,0.000,1434121887
258,20150612,0.035,0.043,0.000,1434121888
259,20150612,0.027,0.025,0.000,1434121889
260,20150612,0.035,0.033,0.000,1434121890
261,20150612,0.032,0.019,0.000,1434121891
262,20150612,0.032,0.027,0.000,1434121892
263,20150612,0.053,0.044,0.000,1434121893
264,20150612,0.044,0.038,0.000,1434121894
265,20150612,0.048,0.038,0.000,1434121895
266,20150612,0.026,0.033,0.000,1434121896
267,20150612,0.027,0.027,0.000,1434121897
268,20150612,0.025,0.030,0.000,1434121898
269,20150612,0.025,0.025,0.000,1434121899
270,20150612,0.037,0.044,0.000,1434121900
271,20150612,0.070,0.072,0.000,1434121901
272,20150612,0.055,0.052,0.000,1434121902
273,20150612,0.032,0.027,0.000,1434121903
274,20150612,0.032,0.030,0.000,1434121904
275,20150612,0.037,0.039,0.000,1434121905
276,20150612,0.033,0.023,0.000,1434121906
277,20150612,0.042,0.042,0.000,1434121907
278,20150612,0.032,0.044,0.000,1434121908
279,20150612,0.053,0.067,0.000,1434121909
280,20150612,0.047,0.043,0.000,1434121910
281,20150612,0.034,0.029,0.000,1434121911
282,20150612,0.036,0.046,0.000,1434121912
283,20150612,0.053,0.045,0.000,1434121913
284,20150612,0.048,0.040,0.000,1434121914
285,20150612,0.055,0.052,0.000,1434121915
286,20150612,0.035,0.045,0.000,1434121916
287,20150612,0.053,0.047,0.000,1434121917
288,20150612,0.036,0.031,0.000,1434121918
289,20150612,0.040,0.044,0.000,1434121919
290,20150612,0.037,0.028,0.000,1434121920
291,20150612,0.052,0.046,0.000,1434121921
292,20150612,0.030,0.031,0.000,1434121922
293,20150612,0.027,0.027,0.000,1434121923
294,20150612,0.044,0.041,0.000,1434121924
295,20150612,0.029,0.032,0.000,1434121925
296,20150612,0.025,0.025,0.000,1434121926
297,20150612,0.023,0.025,0.000,1434121927
298,20150612,0.026,0.034,0.000,1434121928
299,20150612,0.016,0.024,0.000,1434121929
300,20150612,0.020,0.031,0.001,1434121930
301,20150612,0.017,0.016,0.000,1434121931
302,20150612,0.017,0.015,0.000,1434121932
303,20150612,0.012,0.011,0.000,1434121933
