index,time,xAxis,yAxis,zAxis
0,1434121638031,0.01892,0.01967,0.00208
1,1434121638032,0.00654,-0.02098,-0.01943
2,1434121638074,-0.03461,-0.00819,-0.01867
3,1434121638079,-0.05503,-0.01827,-0.03056
4,1434121638080,-0.04090,-0.01774,-0.02445
5,1434121638123,-0.01788,-0.02357,-0.02268
6,1434121638125,-0.03227,-0.00636,-0.01502
7,1434121638173,-0.00785,-0.00196,-0.00264
8,1434121638174,0.01247,0.01328,0.02835
9,1434121638177,0.00060,0.01375,0.03518
10,1434121638222,0.00673,0.00162,0.01565
11,1434121638224,-0.01336,0.00442,-0.00858
12,1434121638276,-0.00132,0.00354,-0.01624
13,1434121638278,-0.00105,0.00283,-0.01611
14,1434121638279,-0.00397,0.00226,-0.00664
15,1434121638329,-0.01802,0.00181,-0.00531
16,1434121638330,-0.01754,0.00457,0.00200
17,1434121638370,-0.00778,-0.00493,-0.00778
18,1434121638374,-0.00076,0.00152,0.00940
19,1434121638375,0.01502,0.02622,0.03487
20,1434121638419,0.02998,0.04832,0.07321
21,1434121638423,-0.00023,0.05037,0.04685
22,1434121638475,-0.03690,0.01920,-0.02346
23,1434121638477,-0.08421,-0.00886,-0.12267
24,1434121638481,-0.01893,0.03588,-0.05595
25,1434121638528,-0.12139,0.05918,-0.10257
26,1434121638530,-0.24399,0.04968,-0.12737
27,1434121638565,-0.18582,0.02178,-0.15112
28,1434121638566,-0.08459,0.04164,-0.16386
29,1434121638568,-0.00986,0.03331,-0.09125
30,1434121638616,-0.06258,0.02665,-0.10659
31,1434121638620,-0.09928,0.01273,-0.12199
32,1434121638663,-0.09427,0.00393,-0.11244
33,1434121638667,-0.04182,0.01799,-0.08995
34,1434121638669,0.00873,0.03314,-0.07821
35,1434121638710,-0.06567,0.06323,-0.03210
36,1434121638710,-0.09863,0.07480,-0.00146
37,1434121638765,-0.04219,0.04422,-0.04023
38,1434121638766,-0.01578,0.02678,-0.06031
39,1434121638768,0.00300,0.06361,-0.07247
40,1434121638812,-0.02494,0.06964,0.00296
41,1434121638813,0.01676,0.03696,0.00550
42,1434121638859,0.05247,0.00223,-0.04092
43,1434121638864,0.08495,-0.02556,-0.04523
44,1434121638865,0.11405,-0.04467,-0.03306
45,1434121638909,0.17015,-0.05136,-0.01473
46,1434121638910,0.16659,-0.03796,0.00697
47,1434121638957,0.10593,-0.00928,0.01807
48,1434121638961,-0.00042,0.02383,0.00821
49,1434121638965,-0.03705,0.06438,0.09797
50,1434121639007,-0.00542,0.13431,0.12369
51,1434121639011,-0.14418,0.20198,0.10833
52,1434121639050,-0.17394,0.15846,0.10229
53,1434121639055,-0.09306,0.09317,0.10292
54,1434121639057,0.15134,0.01360,-0.05516
55,1434121639102,0.12107,0.08979,-0.14804
56,1434121639106,-0.08049,0.19996,-0.08171
57,1434121639151,-0.26517,0.21543,-0.04974
58,1434121639158,-0.15745,0.14422,-0.03354
59,1434121639159,-0.00409,0.03647,-0.05184
60,1434121639196,0.11314,-0.03176,-0.12975
61,1434121639197,0.12410,-0.04728,-0.15849
62,1434121639255,0.05319,-0.03158,-0.17288
63,1434121639258,-0.01214,-0.03151,-0.17190
64,1434121639259,-0.00971,-0.01583,-0.14377
65,1434121639303,0.01020,-0.02439,-0.08142
66,1434121639305,0.02066,-0.04138,-0.07998
67,1434121639353,-0.01394,-0.02998,-0.09758
68,1434121639360,-0.01115,-0.02399,-0.08431
69,1434121639363,-0.00033,-0.04966,-0.09167
70,1434121639398,-0.01198,-0.05535,-0.07646
71,1434121639400,-0.02208,-0.02241,-0.02132
72,1434121639446,-0.04189,-0.00308,0.01028
73,1434121639447,-0.05226,-0.01418,0.02932
74,1434121639448,-0.02306,-0.01447,0.04846
75,1434121639490,-0.01220,-0.01158,0.05986
76,1434121639492,-0.02538,0.00246,0.05726
77,1434121639542,-0.02343,0.00822,0.04581
78,1434121639547,-0.01874,0.00345,0.03665
79,1434121639548,-0.02125,-0.01521,0.02619
80,1434121639595,0.00800,-0.02779,0.02408
81,1434121639596,0.02125,-0.05817,0.01614
82,1434121639641,0.02012,-0.07466,-0.00896
83,1434121639645,0.01922,-0.08395,-0.01576
84,1434121639647,0.02475,-0.08200,-0.00089
85,1434121639698,0.00418,-0.08123,0.01491
86,1434121639704,-0.01463,-0.07748,0.04240
87,1434121639746,0.00314,-0.07370,0.05501
88,1434121639754,0.00564,-0.06209,0.05651
89,1434121639757,0.00139,-0.03717,0.04833
90,1434121639784,-0.02936,-0.01802,0.05351
91,1434121639785,-0.02974,-0.01754,0.05531
92,1434121639888,-0.01129,-0.01403,0.04425
93,1434121639896,0.00034,-0.01748,0.02915
94,1434121639896,0.00652,-0.01945,0.02644
95,1434121639898,-0.00103,-0.01556,0.00553
96,1434121639978,0.00543,-0.02495,0.01067
97,1434121639980,0.02543,-0.02933,0.01166
98,1434121639986,0.02347,-0.02659,0.01871
99,1434121639988,-0.01169,-0.00565,0.03293
100,1434121640027,-0.02185,0.00173,0.04822
101,1434121640033,-0.02920,0.00998,0.05030
102,1434121640038,-0.03899,0.00798,0.04024
103,1434121640038,-0.03431,0.03139,0.06578
104,1434121640083,0.02411,0.02511,0.09247
105,1434121640087,0.04429,-0.00179,0.10445
106,1434121640088,0.02293,-0.03190,0.08668
107,1434121640127,-0.02150,-0.00989,0.07872
108,1434121640128,-0.00470,0.02255,0.08407
109,1434121640185,0.02671,0.02117,0.09147
110,1434121640186,0.01199,0.02318,0.07630
111,1434121640188,-0.02087,0.06386,0.08839
112,1434121640227,-0.01045,0.07531,0.09571
113,1434121640231,0.05883,0.04540,0.06407
114,1434121640281,0.10175,0.00273,0.02704
115,1434121640283,0.11499,-0.04079,-0.00572
116,1434121640284,0.10762,-0.05685,-0.02957
117,1434121640323,0.10094,-0.04548,-0.02913
118,1434121640325,0.07216,-0.02388,-0.00533
119,1434121640374,0.03898,-0.00114,0.02308
120,1434121640378,0.05306,-0.00716,0.02784
121,1434121640379,0.03932,-0.01432,0.01289
122,1434121640418,-0.00214,-0.01458,-0.01078
123,1434121640421,0.01001,-0.04213,0.00935
124,1434121640467,0.02363,-0.10090,0.02310
