index,time,xAxis,yAxis,zAxis
0,1434121638022,-0.00171,-0.00332,-0.00083
1,1434121638023,-0.00137,-0.00099,0.00046
2,1434121638038,-0.00040,0.00116,-0.00095
3,1434121638053,0.00168,0.00119,0.00037
4,1434121638085,0.00178,-0.00018,-0.00084
5,1434121638100,0.00142,-0.00015,-0.00067
6,1434121638117,0.00025,0.00166,0.00035
7,1434121638132,-0.00048,0.00134,0.00096
8,1434121638164,-0.00038,0.00040,-0.00057
9,1434121638179,-0.00097,-0.00303,0.00088
10,1434121638194,-0.00057,-0.00221,-0.00040
11,1434121638210,0.00000,0.00488,0.00077
12,1434121638247,-0.00043,0.00225,0.00020
13,1434121638258,-0.00148,-0.00534,-0.00097
14,1434121638273,0.00144,-0.00243,0.00053
15,1434121638306,0.00322,0.00564,0.00068
16,1434121638324,0.00195,0.00863,0.00054
17,1434121638337,-0.00260,-0.00384,0.00043
18,1434121638353,-0.00658,-0.01555,-0.00117
19,1434121638384,-0.00457,-0.00873,0.00019
20,1434121638401,0.00120,0.00422,-0.00018
21,1434121638416,0.00570,0.01084,-0.00070
22,1434121638447,0.00809,0.01061,0.00072
23,1434121638466,0.00326,0.00126,0.00058
24,1434121638478,-0.00444,-0.00588,-0.00058
25,1434121638495,-0.00861,-0.00724,-0.00099
26,1434121638526,-0.00283,0.00184,-0.00126
27,1434121638541,0.00295,0.00708,0.00178
28,1434121638557,0.00387,0.00015,0.00067
29,1434121638588,0.00140,-0.00781,0.00054
30,1434121638605,-0.00031,-0.00653,0.00043
31,1434121638619,0.00077,0.00185,0.00034
32,1434121638636,0.00262,0.00858,-0.00119
33,1434121638665,0.00118,0.00615,-0.00071
34,1434121638681,-0.00351,-0.00266,0.00065
35,1434121638700,-0.00603,-0.00970,-0.00070
36,1434121638730,-0.00217,-0.00524,0.00066
37,1434121638745,0.00227,0.00383,0.00053
38,1434121638763,0.00579,0.00810,0.00042
39,1434121638776,0.00298,0.00281,0.00034
40,1434121638809,-0.00007,-0.00473,-0.00129
41,1434121638824,-0.00258,-0.00505,-0.00029
42,1434121638839,-0.00206,-0.00048,0.00177
43,1434121638871,-0.00009,0.00394,-0.00133
44,1434121638888,-0.00058,0.00363,-0.00055
45,1434121638905,-0.00152,-0.00111,-0.00034
46,1434121638917,0.00018,-0.00350,-0.00089
47,1434121638950,0.00087,-0.00085,0.00085
48,1434121638964,0.00327,0.00261,-0.00003
49,1434121638980,0.00261,0.00293,0.00029
50,1434121639012,-0.00264,-0.00085,0.00060
51,1434121639028,-0.00364,-0.00422,-0.00105
52,1434121639043,-0.00198,-0.00261,0.00009
53,1434121639058,0.00042,0.00329,-0.00066
54,1434121639093,0.00102,0.00454,0.00084
55,1434121639105,0.00277,0.00163,-0.00001
56,1434121639121,0.00021,-0.00297,0.00024
57,1434121639154,0.00129,-0.00522,-0.00094
58,1434121639168,-0.00098,-0.00016,-0.00075
59,1434121639184,-0.00100,0.00209,-0.00060
60,1434121639200,-0.00013,0.00168,0.00353
61,1434121639233,-0.00010,0.00112,-0.00119
62,1434121639253,-0.00074,-0.00045,-0.00161
63,1434121639262,-0.00040,-0.00036,-0.00109
64,1434121639279,0.00169,-0.00029,0.00268
65,1434121639310,0.00294,0.00133,-0.00208
66,1434121639326,0.00061,0.00020,0.00121
67,1434121639343,-0.00221,-0.00185,-0.00026
68,1434121639373,-0.00221,-0.00017,0.00084
69,1434121639389,-0.00189,-0.00013,0.00005
70,1434121639404,0.00143,0.00204,0.00018
71,1434121639421,0.00164,0.00261,-0.00240
72,1434121639451,0.00248,-0.00143,-0.00006
73,1434121639468,0.00000,-0.00231,0.00112
74,1434121639483,-0.00075,-0.00185,-0.00037
75,1434121639515,-0.00076,0.00321,-0.00059
76,1434121639540,-0.00141,0.00257,-0.00047
77,1434121639546,-0.00121,-0.00004,-0.00038
78,1434121639560,0.00001,-0.00256,-0.00030
79,1434121639594,0.00007,-0.00331,0.00095
80,1434121639608,0.00088,-0.00064,0.00039
81,1434121639625,0.00145,0.00274,0.00105
82,1434121639656,0.00088,0.00268,-0.00058
83,1434121639673,-0.00160,0.00017,0.00041
