index,time,xAxis,yAxis,zAxis
0,1434121638027,0.01876,-0.00091,0.01030
1,1434121638028,0.00563,-0.00073,0.00512
2,1434121638030,-0.00409,-0.00371,-0.00762
3,1434121638069,0.00220,-0.00843,0.00562
4,1434121638071,-0.00059,-0.00128,0.00762
5,1434121638120,-0.01922,0.01148,-0.01500
6,1434121638121,-0.03647,0.01543,-0.02137
7,1434121638122,-0.01746,0.00922,-0.01710
8,1434121638168,-0.00146,-0.00512,0.00195
9,1434121638171,-0.01367,0.00528,-0.01094
10,1434121638215,-0.02578,0.00735,-0.02438
11,1434121638216,-0.01437,0.00900,-0.00700
12,1434121638218,0.02209,-0.00217,0.01237
13,1434121638270,0.00518,-0.02283,0.00755
14,1434121638277,0.00727,0.00908,0.02401
15,1434121638321,-0.00981,0.01039,0.02858
16,1434121638326,0.01715,0.02940,0.01349
17,1434121638327,0.10513,-0.00070,0.05689
18,1434121638362,0.01379,-0.04665,-0.01855
19,1434121638366,0.04775,-0.06779,-0.01797
20,1434121638372,0.07492,-0.04173,0.02781
21,1434121638414,0.04431,0.00646,0.07459
22,1434121638421,0.05732,-0.01358,0.11124
23,1434121638472,0.07008,0.00163,0.09212
24,1434121638476,-0.04784,-0.00182,-0.05756
25,1434121638479,-0.25468,-0.03505,-0.20464
26,1434121638523,-0.17953,-0.09835,-0.20668
27,1434121638527,-0.09518,-0.06306,-0.17159
28,1434121638562,-0.12458,-0.06607,-0.14899
29,1434121638564,-0.08795,-0.02864,-0.14341
30,1434121638567,-0.06411,-0.03463,-0.13348
31,1434121638615,-0.05441,-0.02458,-0.10679
32,1434121638618,-0.02478,-0.04466,-0.07918
33,1434121638659,-0.01357,-0.02323,-0.07584
34,1434121638666,0.00086,-0.03343,-0.05755
35,1434121638667,-0.00556,-0.05174,-0.06088
36,1434121638764,0.02680,-0.04452,-0.05496
37,1434121638768,-0.00356,-0.05671,-0.02912
38,1434121638769,-0.00285,-0.06334,-0.00142
39,1434121638770,-0.00228,-0.08114,0.00199
40,1434121638806,0.04740,-0.06803,0.01331
41,1434121638811,0.12307,-0.04896,-0.00732
42,1434121638814,0.11721,-0.05714,-0.03320
43,1434121638907,0.06877,-0.06993,0.00391
44,1434121638911,0.02142,-0.12625,0.11875
45,1434121638913,0.03589,-0.10100,0.18094
46,1434121638913,0.08340,-0.04096,0.09553
47,1434121638957,0.09406,0.00083,0.00924
48,1434121638959,0.18540,-0.01184,-0.03245
49,1434121638960,0.18192,-0.07666,-0.04081
50,1434121638962,0.06585,-0.11601,-0.01468
51,1434121639004,0.04408,-0.14203,0.03435
52,1434121639009,0.10245,-0.12222,0.03920
53,1434121639047,0.17337,-0.16809,-0.08426
54,1434121639053,0.04416,-0.20791,-0.14085
55,1434121639056,-0.11154,-0.18429,-0.08534
56,1434121639101,-0.11345,-0.12634,0.00829
