index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150613,0.001,0.013,0.001,1434193235
2,20150613,0.001,0.009,0.002,1434193236
3,20150613,0.001,0.006,0.002,1434193237
4,20150613,0.001,0.040,0.001,1434193238
5,20150613,0.000,0.041,0.001,1434193239
6,20150613,0.005,0.021,0.005,1434193240
7,20150613,0.026,0.020,0.026,1434193241
8,20150613,0.021,0.035,0.058,1434193242
9,20150613,0.013,0.036,0.061,1434193243
10,20150613,0.022,0.020,0.046,1434193244
11,20150613,0.026,0.018,0.029,1434193245
12,20150613,0.017,0.038,0.015,1434193246
13,20150613,0.021,0.036,0.009,1434193247
14,20150613,0.049,0.040,0.005,1434193248
15,20150613,0.049,0.024,0.007,1434193249
16,20150613,0.028,0.038,0.007,1434193250
17,20150613,0.016,0.027,0.005,1434193251
18,20150613,0.032,0.023,0.004,1434193252
19,20150613,0.040,0.024,0.003,1434193253
20,20150613,0.033,0.043,0.002,1434193254
21,20150613,0.029,0.046,0.002,1434193255
22,20150613,0.041,0.043,0.011,1434193256
23,20150613,0.029,0.026,0.003,1434193257
24,20150613,0.019,0.015,0.004,1434193258
25,20150613,0.011,0.018,0.001,1434193259
26,20150613,0.006,0.014,0.001,1434193260
27,20150613,0.004,0.006,0.001,1434193261
28,20150613,0.002,0.005,0.001,1434193262
29,20150613,0.001,0.003,0.000,1434193263
30,20150613,0.001,0.004,0.000,1434193264
31,20150613,0.000,0.003,0.000,1434193265
32,20150613,0.000,0.001,0.000,1434193266
33,20150613,0.000,0.001,0.000,1434193267
34,20150613,0.000,0.001,0.000,1434193268
35,20150613,0.000,0.001,0.000,1434193269
36,20150613,0.000,0.001,0.000,1434193270
37,20150613,0.000,0.001,0.000,1434193271
38,20150613,0.000,0.001,0.000,1434193272
39,20150613,0.000,0.003,0.000,1434193273
40,20150613,0.002,0.006,0.001,1434193274
41,20150613,0.002,0.004,0.001,1434193275
42,20150613,0.001,0.008,0.001,1434193276
43,20150613,0.001,0.009,0.001,1434193277
44,20150613,0.001,0.006,0.001,1434193278
45,20150613,0.000,0.003,0.000,1434193279
46,20150613,0.000,0.002,0.000,1434193280
47,20150613,0.000,0.002,0.000,1434193281
