index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150613,0.008,0.006,0.000,1434182432
2,20150613,0.012,0.019,0.000,1434182433
3,20150613,0.016,0.018,0.000,1434182434
4,20150613,0.022,0.011,0.000,1434182435
5,20150613,0.028,0.005,0.000,1434182436
6,20150613,0.017,0.004,0.000,1434182437
7,20150613,0.011,0.002,0.000,1434182438
8,20150613,0.007,0.001,0.000,1434182439
9,20150613,0.003,0.001,0.000,1434182440
10,20150613,0.001,0.000,0.000,1434182441
11,20150613,0.001,0.001,0.000,1434182442
12,20150613,0.025,0.029,0.000,1434182443
13,20150613,0.029,0.023,0.000,1434182444
14,20150613,0.013,0.014,0.000,1434182445
15,20150613,0.009,0.039,0.000,1434182446
16,20150613,0.009,0.035,0.000,1434182447
17,20150613,0.006,0.021,0.000,1434182448
18,20150613,0.003,0.013,0.000,1434182449
19,20150613,0.002,0.008,0.000,1434182450
20,20150613,0.001,0.005,0.000,1434182451
21,20150613,0.002,0.003,0.001,1434182452
22,20150613,0.001,0.002,0.000,1434182453
23,20150613,0.015,0.014,0.000,1434182454
24,20150613,0.029,0.080,0.000,1434182455
25,20150613,0.012,0.141,0.000,1434182456
26,20150613,0.037,0.056,0.000,1434182457
27,20150613,0.027,0.045,0.000,1434182458
28,20150613,0.016,0.032,0.000,1434182459
29,20150613,0.010,0.020,0.000,1434182460
30,20150613,0.021,0.019,0.000,1434182461
31,20150613,0.027,0.025,0.000,1434182462
32,20150613,0.027,0.041,0.000,1434182463
33,20150613,0.017,0.027,0.000,1434182464
34,20150613,0.017,0.022,0.000,1434182465
35,20150613,0.051,0.037,0.000,1434182466
36,20150613,0.026,0.034,0.000,1434182467
37,20150613,0.046,0.041,0.000,1434182468
38,20150613,0.078,0.061,0.000,1434182469
39,20150613,0.060,0.035,0.000,1434182470
40,20150613,0.033,0.031,0.000,1434182471
41,20150613,0.054,0.041,0.000,1434182472
42,20150613,0.028,0.020,0.000,1434182473
43,20150613,0.034,0.020,0.000,1434182474
44,20150613,0.046,0.043,0.000,1434182475
45,20150613,0.027,0.030,0.000,1434182476
46,20150613,0.026,0.038,0.000,1434182477
47,20150613,0.039,0.039,0.000,1434182478
48,20150613,0.041,0.036,0.000,1434182479
49,20150613,0.028,0.017,0.000,1434182480
50,20150613,0.018,0.015,0.000,1434182481
51,20150613,0.016,0.012,0.000,1434182482
52,20150613,0.024,0.015,0.000,1434182483
53,20150613,0.030,0.014,0.000,1434182484
54,20150613,0.033,0.011,0.000,1434182485
55,20150613,0.038,0.019,0.000,1434182486
56,20150613,0.042,0.037,0.000,1434182487
57,20150613,0.019,0.048,0.000,1434182488
58,20150613,0.007,0.041,0.000,1434182489
59,20150613,0.027,0.058,0.000,1434182490
60,20150613,0.021,0.048,0.000,1434182491
61,20150613,0.021,0.033,0.000,1434182492
62,20150613,0.012,0.037,0.000,1434182493
63,20150613,0.006,0.041,0.000,1434182494
64,20150613,0.004,0.040,0.000,1434182495
65,20150613,0.004,0.041,0.000,1434182496
66,20150613,0.007,0.053,0.000,1434182497
67,20150613,0.015,0.028,0.000,1434182498
68,20150613,0.031,0.020,0.000,1434182499
69,20150613,0.016,0.043,0.000,1434182500
70,20150613,0.023,0.034,0.000,1434182501
71,20150613,0.005,0.043,0.000,1434182502
72,20150613,0.008,0.036,0.000,1434182503
73,20150613,0.007,0.041,0.000,1434182504
74,20150613,0.006,0.033,0.000,1434182505
75,20150613,0.008,0.040,0.000,1434182506
76,20150613,0.012,0.020,0.000,1434182507
77,20150613,0.012,0.027,0.000,1434182508
78,20150613,0.009,0.047,0.000,1434182509
79,20150613,0.006,0.034,0.000,1434182510
80,20150613,0.003,0.018,0.000,1434182511
81,20150613,0.003,0.013,0.000,1434182512
82,20150613,0.009,0.010,0.000,1434182513
83,20150613,0.005,0.012,0.000,1434182514
84,20150613,0.008,0.035,0.000,1434182515
85,20150613,0.006,0.042,0.000,1434182516
86,20150613,0.003,0.030,0.000,1434182517
87,20150613,0.002,0.051,0.000,1434182518
88,20150613,0.004,0.059,0.000,1434182519
89,20150613,0.001,0.044,0.000,1434182520
90,20150613,0.002,0.030,0.000,1434182521
91,20150613,0.003,0.022,0.000,1434182522
92,20150613,0.006,0.053,0.000,1434182523
93,20150613,0.013,0.060,0.000,1434182524
94,20150613,0.008,0.044,0.000,1434182525
95,20150613,0.009,0.042,0.000,1434182526
96,20150613,0.007,0.033,0.000,1434182527
