index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150614,0.001,0.003,0.002,1434294251
2,20150614,0.002,0.012,0.003,1434294252
3,20150614,0.004,0.038,0.006,1434294253
4,20150614,0.011,0.036,0.024,1434294254
5,20150614,0.010,0.035,0.013,1434294255
6,20150614,0.005,0.055,0.010,1434294256
7,20150614,0.016,0.038,0.017,1434294257
8,20150614,0.009,0.031,0.015,1434294258
9,20150614,0.004,0.035,0.006,1434294259
10,20150614,0.002,0.020,0.004,1434294260
11,20150614,0.009,0.020,0.011,1434294261
12,20150614,0.013,0.034,0.019,1434294262
13,20150614,0.018,0.018,0.022,1434294263
14,20150614,0.012,0.020,0.015,1434294264
15,20150614,0.016,0.063,0.017,1434294265
16,20150614,0.032,0.043,0.030,1434294266
17,20150614,0.056,0.039,0.045,1434294267
18,20150614,0.041,0.024,0.046,1434294268
19,20150614,0.064,0.063,0.052,1434294269
20,20150614,0.058,0.047,0.050,1434294270
21,20150614,0.038,0.038,0.034,1434294271
22,20150614,0.024,0.027,0.021,1434294272
23,20150614,0.015,0.021,0.013,1434294273
24,20150614,0.009,0.011,0.008,1434294274
25,20150614,0.006,0.005,0.006,1434294275
26,20150614,0.005,0.004,0.004,1434294276
27,20150614,0.004,0.003,0.002,1434294277
28,20150614,0.027,0.025,0.022,1434294278
29,20150614,0.049,0.034,0.042,1434294279
30,20150614,0.029,0.020,0.029,1434294280
31,20150614,0.020,0.020,0.046,1434294281
32,20150614,0.018,0.017,0.032,1434294282
33,20150614,0.011,0.011,0.020,1434294283
34,20150614,0.007,0.007,0.012,1434294284
35,20150614,0.004,0.004,0.007,1434294285
36,20150614,0.002,0.002,0.004,1434294286
37,20150614,0.001,0.001,0.003,1434294287
38,20150614,0.001,0.001,0.002,1434294288
39,20150614,0.001,0.001,0.001,1434294289
40,20150614,0.000,0.001,0.001,1434294290
41,20150614,0.000,0.000,0.000,1434294291
42,20150614,0.000,0.000,0.000,1434294292
43,20150614,0.000,0.000,0.000,1434294293
44,20150614,0.000,0.001,0.000,1434294294
45,20150614,0.000,0.000,0.000,1434294295
46,20150614,0.000,0.000,0.000,1434294296
47,20150614,0.000,0.001,0.000,1434294297
48,20150614,0.000,0.000,0.000,1434294298
49,20150614,0.000,0.000,0.000,1434294299
50,20150614,0.000,0.001,0.000,1434294300
51,20150614,0.000,0.001,0.000,1434294301
52,20150614,0.000,0.000,0.000,1434294302
53,20150614,0.001,0.001,0.000,1434294303
54,20150614,0.000,0.001,0.000,1434294304
55,20150614,0.000,0.000,0.000,1434294305
56,20150614,0.000,0.000,0.000,1434294306
57,20150614,0.000,0.000,0.000,1434294307
58,20150614,0.000,0.000,0.000,1434294308
59,20150614,0.000,0.001,0.000,1434294309
60,20150614,0.000,0.000,0.000,1434294310
61,20150614,0.000,0.000,0.000,1434294311
62,20150614,0.000,0.000,0.000,1434294312
63,20150614,0.000,0.000,0.000,1434294313
64,20150614,0.000,0.000,0.000,1434294314
65,20150614,0.000,0.000,0.000,1434294315
66,20150614,0.000,0.001,0.000,1434294316
67,20150614,0.000,0.000,0.000,1434294317
68,20150614,0.000,0.000,0.000,1434294318
69,20150614,0.000,0.001,0.000,1434294319
70,20150614,0.000,0.000,0.000,1434294320
71,20150614,0.000,0.000,0.000,1434294321
72,20150614,0.000,0.000,0.000,1434294322
73,20150614,0.000,0.000,0.000,1434294323
74,20150614,0.000,0.000,0.000,1434294324
75,20150614,0.000,0.000,0.000,1434294325
76,20150614,0.000,0.000,0.000,1434294326
77,20150614,0.000,0.000,0.000,1434294327
78,20150614,0.000,0.000,0.000,1434294328
79,20150614,0.000,0.000,0.000,1434294329
80,20150614,0.000,0.000,0.000,1434294330
81,20150614,0.000,0.000,0.000,1434294331
82,20150614,0.000,0.000,0.000,1434294332
83,20150614,0.000,0.000,0.000,1434294333
84,20150614,0.000,0.000,0.000,1434294334
