index,session,leftEnergy,rightEnergy,phoneEnergy,time
139,20150623,-1.000,-1.000,36.473,1435046402
140,20150623,41.686,-1.000,31.680,1435046403
141,20150623,35.866,42.061,19.791,1435046404
142,20150623,21.728,29.656,12.051,1435046405
143,20150623,12.928,17.554,7.304,1435046406
144,20150623,7.949,10.219,4.452,1435046407
145,20150623,4.987,7.981,2.904,1435046408
146,20150623,3.082,5.243,1.678,1435046409
147,20150623,1.846,2.983,0.976,1435046410
148,20150623,1.168,2.310,0.594,1435046411
149,20150623,0.722,3.681,0.373,1435046412
150,20150623,0.585,2.074,0.451,1435046413
151,20150623,0.409,0.787,0.179,1435046414
152,20150623,0.598,0.961,0.114,1435046415
153,20150623,0.330,0.910,0.106,1435046416
154,20150623,0.398,2.276,0.316,1435046417
155,20150623,0.692,2.032,0.083,1435046418
156,20150623,0.801,10.111,3.164,1435046419
157,20150623,1.515,4.170,14.603,1435046420
158,20150623,1.609,4.012,10.019,1435046421
159,20150623,0.776,10.187,4.707,1435046422
160,20150623,1.053,6.392,2.851,1435046423
161,20150623,1.220,37.890,50.469,1435046424
162,20150623,4.090,33.433,41.051,1435046425
163,20150623,10.698,21.109,53.600,1435046426
164,20150623,10.426,42.963,54.096,1435046427
165,20150623,9.155,17.514,37.212,1435046428
166,20150623,4.683,19.784,24.585,1435046429
167,20150623,8.111,14.024,16.170,1435046430
168,20150623,29.160,26.098,11.456,1435046431
169,20150623,23.892,26.322,4.882,1435046432
170,20150623,15.079,17.027,2.925,1435046433
171,20150623,6.016,17.371,4.245,1435046434
172,20150623,3.019,9.294,4.916,1435046435
173,20150623,3.710,6.915,3.644,1435046436
174,20150623,11.509,5.924,2.343,1435046437
175,20150623,11.054,3.912,1.490,1435046438
176,20150623,9.271,2.130,1.041,1435046439
177,20150623,6.156,1.325,0.720,1435046440
178,20150623,3.981,1.086,0.422,1435046441
179,20150623,2.601,0.904,0.330,1435046442
180,20150623,2.064,0.743,0.320,1435046443
181,20150623,1.883,0.630,0.256,1435046444
182,20150623,1.759,0.467,0.172,1435046445
183,20150623,2.030,0.513,0.241,1435046446
184,20150623,2.145,0.888,0.299,1435046447
185,20150623,1.491,0.658,0.098,1435046448
186,20150623,0.973,0.487,0.096,1435046449
187,20150623,0.780,0.406,0.096,1435046450
188,20150623,0.650,0.491,0.090,1435046451
189,20150623,0.882,1.018,0.223,1435046452
190,20150623,0.760,0.731,0.339,1435046453
191,20150623,0.799,0.394,0.131,1435046454
192,20150623,0.619,0.317,0.336,1435046455
193,20150623,0.322,0.274,0.275,1435046456
194,20150623,0.356,0.154,0.141,1435046457
195,20150623,1.360,0.853,0.806,1435046458
196,20150623,11.193,11.444,7.985,1435046459
197,20150623,11.230,46.821,10.124,1435046460
198,20150623,2.477,61.316,5.568,1435046461
199,20150623,1.278,34.107,3.105,1435046462
200,20150623,1.850,47.983,4.245,1435046463
201,20150623,1.462,27.876,1.918,1435046464
202,20150623,1.032,17.087,1.698,1435046465
203,20150623,0.693,10.191,1.121,1435046466
204,20150623,0.442,6.216,0.563,1435046467
205,20150623,0.381,3.790,0.630,1435046468
206,20150623,0.435,36.755,0.796,1435046469
207,20150623,0.409,28.621,1.035,1435046470
208,20150623,0.816,24.569,0.758,1435046471
209,20150623,0.533,13.685,0.467,1435046472
210,20150623,0.349,7.926,0.467,1435046473
211,20150623,0.238,4.253,0.567,1435046474
212,20150623,0.190,2.391,0.332,1435046475
213,20150623,0.168,1.483,0.155,1435046476
214,20150623,9.115,14.354,2.092,1435046477
215,20150623,5.257,51.636,2.868,1435046478
216,20150623,2.171,62.655,1.007,1435046479
217,20150623,4.439,44.240,1.945,1435046480
218,20150623,2.880,23.529,0.955,1435046481
219,20150623,3.693,17.876,0.650,1435046482
220,20150623,2.803,40.566,0.608,1435046483
221,20150623,1.905,43.643,0.386,1435046484
222,20150623,0.604,28.212,0.400,1435046485
223,20150623,0.559,18.502,0.199,1435046486
224,20150623,0.606,11.219,0.198,1435046487
225,20150623,0.465,5.723,0.312,1435046488
226,20150623,0.322,3.587,0.554,1435046489
227,20150623,0.253,2.141,0.152,1435046490
228,20150623,0.271,1.462,0.302,1435046491
229,20150623,0.228,0.888,0.267,1435046492
230,20150623,0.143,0.503,0.225,1435046493
231,20150623,0.170,0.468,0.200,1435046494
232,20150623,0.095,0.317,0.141,1435046495
233,20150623,0.109,0.313,0.165,1435046496
234,20150623,0.084,0.209,0.184,1435046497
235,20150623,0.122,0.144,0.210,1435046498
236,20150623,0.135,0.227,0.285,1435046499
237,20150623,0.091,0.132,0.157,1435046500
238,20150623,0.094,0.224,0.377,1435046501
239,20150623,0.456,0.522,0.984,1435046502
240,20150623,0.408,0.413,0.269,1435046503
241,20150623,0.170,0.404,0.453,1435046504
242,20150623,0.322,0.393,0.388,1435046505
243,20150623,2.209,2.135,2.278,1435046506
244,20150623,1.827,1.560,1.951,1435046507
245,20150623,2.496,1.965,1.777,1435046508
246,20150623,0.672,0.742,0.410,1435046509
247,20150623,0.355,0.966,0.772,1435046510
248,20150623,0.390,0.528,0.526,1435046511
249,20150623,0.408,0.502,0.406,1435046512
250,20150623,0.372,0.545,0.460,1435046513
251,20150623,0.140,0.562,0.761,1435046514
252,20150623,0.288,0.416,0.205,1435046515
253,20150623,0.133,0.402,0.391,1435046516
254,20150623,0.101,0.356,0.225,1435046517
255,20150623,0.107,0.535,0.100,1435046518
256,20150623,0.171,0.411,0.129,1435046519
257,20150623,0.115,0.291,0.177,1435046520
258,20150623,0.102,0.090,0.089,1435046521
259,20150623,0.114,0.103,0.095,1435046522
260,20150623,0.102,0.159,0.122,1435046523
261,20150623,0.094,0.178,0.109,1435046524
262,20150623,0.073,0.095,0.053,1435046525
263,20150623,0.088,0.112,0.061,1435046526
264,20150623,0.082,0.097,0.121,1435046527
265,20150623,0.082,0.156,0.320,1435046528
266,20150623,0.102,0.095,0.089,1435046529
267,20150623,0.077,0.115,0.104,1435046530
268,20150623,0.077,0.093,0.045,1435046531
269,20150623,0.101,0.128,0.065,1435046532
270,20150623,0.109,0.198,0.424,1435046533
271,20150623,0.097,0.489,0.433,1435046534
272,20150623,0.118,0.650,0.170,1435046535
273,20150623,0.137,0.367,0.195,1435046536
274,20150623,0.137,0.170,0.360,1435046537
275,20150623,0.132,0.263,0.222,1435046538
276,20150623,0.161,0.258,0.346,1435046539
277,20150623,0.247,0.657,0.401,1435046540
278,20150623,0.371,0.523,0.575,1435046541
279,20150623,0.148,0.158,0.293,1435046542
280,20150623,0.198,0.199,0.222,1435046543
281,20150623,0.109,0.248,0.296,1435046544
282,20150623,0.106,0.417,0.405,1435046545
283,20150623,0.181,0.225,0.317,1435046546
284,20150623,0.099,0.199,0.183,1435046547
285,20150623,0.101,0.121,0.063,1435046548
286,20150623,0.128,0.195,0.144,1435046549
287,20150623,0.131,0.177,0.200,1435046550
288,20150623,0.096,0.113,0.094,1435046551
289,20150623,0.109,0.173,0.119,1435046552
290,20150623,0.371,0.631,0.569,1435046553
291,20150623,0.130,0.967,0.257,1435046554
292,20150623,0.134,0.383,0.397,1435046555
293,20150623,0.098,0.292,0.214,1435046556
294,20150623,0.123,0.228,0.215,1435046557
295,20150623,0.191,0.242,0.621,1435046558
296,20150623,0.088,0.108,0.140,1435046559
297,20150623,0.147,2.106,0.328,1435046560
298,20150623,0.589,49.979,1.619,1435046561
299,20150623,0.716,37.862,1.615,1435046562
300,20150623,17.332,47.082,1.808,1435046563
301,20150623,29.588,31.932,1.503,1435046564
302,20150623,47.709,18.731,0.983,1435046565
303,20150623,34.374,10.846,0.564,1435046566
304,20150623,20.449,6.444,0.471,1435046567
305,20150623,18.790,26.986,0.656,1435046568
306,20150623,12.318,31.612,0.541,1435046569
307,20150623,7.247,21.240,0.624,1435046570
308,20150623,9.232,16.565,0.282,1435046571
309,20150623,24.410,19.298,0.483,1435046572
310,20150623,10.640,13.003,0.705,1435046573
311,20150623,4.855,16.651,1.849,1435046574
312,20150623,2.065,21.820,1.979,1435046575
313,20150623,2.005,27.002,8.122,1435046576
314,20150623,1.037,16.777,8.718,1435046577
315,20150623,1.540,30.480,46.739,1435046578
316,20150623,0.943,18.749,47.960,1435046579
317,20150623,16.363,26.279,33.777,1435046580
318,20150623,22.579,9.526,26.461,1435046581
319,20150623,16.789,12.342,15.428,1435046582
320,20150623,9.126,5.872,13.048,1435046583
321,20150623,6.145,4.665,8.695,1435046584
322,20150623,3.153,2.302,5.335,1435046585
323,20150623,4.284,3.273,2.746,1435046586
324,20150623,9.779,8.476,7.034,1435046587
325,20150623,11.061,8.772,9.151,1435046588
326,20150623,12.409,19.617,27.447,1435046589
327,20150623,9.079,19.646,19.508,1435046590
328,20150623,6.368,18.825,14.070,1435046591
329,20150623,7.023,30.728,40.852,1435046592
330,20150623,3.656,12.063,25.598,1435046593
331,20150623,3.494,12.165,11.107,1435046594
332,20150623,1.975,7.023,6.396,1435046595
333,20150623,1.264,5.369,5.837,1435046596
334,20150623,0.607,8.841,4.686,1435046597
335,20150623,0.299,16.978,7.550,1435046598
336,20150623,0.150,13.982,4.720,1435046599
337,20150623,0.498,6.260,2.442,1435046600
338,20150623,0.789,4.048,3.958,1435046601
339,20150623,0.375,2.624,3.094,1435046602
340,20150623,0.162,1.967,1.347,1435046603
341,20150623,0.127,1.882,2.169,1435046604
342,20150623,0.143,1.362,1.793,1435046605
343,20150623,0.109,0.860,1.486,1435046606
344,20150623,0.124,0.543,0.896,1435046607
345,20150623,0.185,0.806,0.999,1435046608
346,20150623,0.439,0.773,1.489,1435046609
347,20150623,0.369,0.434,0.980,1435046610
348,20150623,0.189,0.401,0.369,1435046611
349,20150623,0.123,0.230,0.185,1435046612
350,20150623,0.146,0.543,0.461,1435046613
351,20150623,1.518,11.563,6.238,1435046614
352,20150623,1.656,7.728,18.806,1435046615
353,20150623,1.574,12.224,16.039,1435046616
354,20150623,9.938,38.843,80.860,1435046617
355,20150623,12.926,28.691,47.847,1435046618
356,20150623,16.491,24.048,36.206,1435046619
357,20150623,11.533,39.308,28.599,1435046620
358,20150623,7.691,19.224,20.816,1435046621
359,20150623,5.251,20.669,17.416,1435046622
360,20150623,2.390,15.667,9.648,1435046623
361,20150623,3.455,27.578,6.453,1435046624
362,20150623,4.382,19.104,4.803,1435046625
363,20150623,8.359,25.511,3.939,1435046626
364,20150623,2.975,48.784,3.397,1435046627
365,20150623,4.031,34.889,2.158,1435046628
366,20150623,2.650,43.196,4.614,1435046629
367,20150623,1.495,19.519,2.272,1435046630
368,20150623,2.112,12.513,2.674,1435046631
369,20150623,1.569,5.196,1.202,1435046632
370,20150623,0.668,3.740,0.839,1435046633
371,20150623,0.823,42.110,0.833,1435046634
372,20150623,0.226,42.848,0.366,1435046635
373,20150623,0.202,21.605,0.178,1435046636
374,20150623,0.550,34.550,0.563,1435046637
375,20150623,0.388,27.220,0.927,1435046638
376,20150623,0.244,16.895,0.541,1435046639
377,20150623,0.384,9.625,0.505,1435046640
378,20150623,0.791,5.731,1.141,1435046641
379,20150623,0.323,3.337,0.458,1435046642
380,20150623,0.431,2.070,0.629,1435046643
381,20150623,0.933,2.432,1.374,1435046644
382,20150623,0.429,1.657,0.661,1435046645
383,20150623,0.192,1.120,0.315,1435046646
384,20150623,0.138,0.764,0.106,1435046647
385,20150623,0.171,0.739,0.112,1435046648
386,20150623,0.208,0.482,0.362,1435046649
387,20150623,0.176,0.442,0.283,1435046650
388,20150623,0.101,0.333,0.114,1435046651
389,20150623,0.260,0.463,0.461,1435046652
390,20150623,0.131,0.624,0.169,1435046653
391,20150623,0.099,0.298,0.156,1435046654
392,20150623,0.059,0.342,0.100,1435046655
393,20150623,0.150,0.332,0.256,1435046656
394,20150623,0.122,0.291,0.117,1435046657
395,20150623,0.194,0.410,0.233,1435046658
396,20150623,0.206,0.500,0.339,1435046659
397,20150623,0.113,0.373,0.125,1435046660
398,20150623,0.161,0.327,0.227,1435046661
399,20150623,0.129,0.321,0.262,1435046662
400,20150623,0.117,0.413,0.230,1435046663
401,20150623,0.099,0.220,0.194,1435046664
402,20150623,0.160,0.421,0.286,1435046665
403,20150623,0.088,0.181,0.116,1435046666
404,20150623,0.202,0.339,0.323,1435046667
405,20150623,0.167,0.426,0.271,1435046668
406,20150623,0.156,0.496,0.178,1435046669
407,20150623,0.148,0.595,0.184,1435046670
408,20150623,0.119,0.307,0.225,1435046671
409,20150623,0.178,1.603,0.351,1435046672
410,20150623,0.272,3.212,0.632,1435046673
411,20150623,0.483,2.415,0.629,1435046674
412,20150623,0.477,3.695,1.031,1435046675
413,20150623,0.260,1.014,0.274,1435046676
414,20150623,0.151,0.541,0.125,1435046677
415,20150623,0.122,0.212,0.168,1435046678
416,20150623,0.137,0.369,0.110,1435046679
417,20150623,0.121,0.249,0.128,1435046680
418,20150623,0.115,0.223,0.098,1435046681
419,20150623,0.107,0.252,0.119,1435046682
420,20150623,0.079,0.456,0.078,1435046683
421,20150623,0.087,0.577,0.091,1435046684
422,20150623,0.074,0.145,0.085,1435046685
423,20150623,0.069,0.098,0.049,1435046686
424,20150623,0.108,0.210,0.073,1435046687
425,20150623,0.884,1.055,0.703,1435046688
426,20150623,1.921,5.809,1.669,1435046689
427,20150623,1.227,8.144,1.750,1435046690
428,20150623,0.786,3.782,0.867,1435046691
429,20150623,1.208,4.354,1.696,1435046692
430,20150623,0.759,2.053,1.110,1435046693
431,20150623,0.811,3.457,0.847,1435046694
432,20150623,1.265,1.952,1.067,1435046695
433,20150623,7.629,18.681,3.232,1435046696
434,20150623,7.884,11.652,5.968,1435046697
435,20150623,4.610,4.044,6.086,1435046698
436,20150623,5.227,26.917,2.536,1435046699
437,20150623,10.510,14.695,1.735,1435046700
438,20150623,5.454,41.957,2.281,1435046701
439,20150623,9.671,37.877,4.972,1435046702
440,20150623,12.035,23.108,4.058,1435046703
441,20150623,11.276,23.664,1.640,1435046704
442,20150623,12.580,11.612,2.361,1435046705
443,20150623,14.898,21.210,4.048,1435046706
444,20150623,5.929,11.835,3.296,1435046707
445,20150623,20.725,7.134,1.488,1435046708
446,20150623,12.514,25.483,1.232,1435046709
447,20150623,45.750,8.689,2.300,1435046710
448,20150623,15.516,19.192,1.675,1435046711
449,20150623,6.759,10.910,0.945,1435046712
450,20150623,4.145,6.503,0.617,1435046713
451,20150623,2.975,5.212,0.495,1435046714
452,20150623,2.451,2.681,0.358,1435046715
453,20150623,2.104,2.648,0.385,1435046716
454,20150623,0.932,8.751,0.545,1435046717
455,20150623,1.356,32.845,0.722,1435046718
456,20150623,2.131,23.659,0.895,1435046719
457,20150623,2.740,6.906,0.571,1435046720
458,20150623,1.888,3.594,0.435,1435046721
459,20150623,1.036,2.074,0.227,1435046722
460,20150623,0.707,1.176,0.235,1435046723
461,20150623,0.566,0.731,0.315,1435046724
462,20150623,0.423,0.479,0.297,1435046725
463,20150623,0.438,0.319,0.099,1435046726
