index,session,leftEnergy,rightEnergy,phoneEnergy,time
64863,20150625,-1.000,-1.000,40.371,1435219206
64864,20150625,-1.000,-1.000,35.550,1435219207
64865,20150625,-1.000,-1.000,22.119,1435219208
64866,20150625,-1.000,-1.000,11.077,1435219209
64867,20150625,-1.000,-1.000,6.786,1435219210
64868,20150625,32.589,-1.000,4.167,1435219211
64869,20150625,25.486,-1.000,2.516,1435219212
64870,20150625,15.320,-1.000,1.417,1435219213
64871,20150625,40.979,32.931,0.864,1435219214
64872,20150625,54.955,26.983,0.522,1435219215
64873,20150625,35.288,16.085,0.343,1435219216
64874,20150625,29.512,9.654,0.206,1435219217
64875,20150625,19.795,5.838,0.148,1435219218
64876,20150625,12.403,3.578,0.105,1435219219
64877,20150625,6.073,2.169,0.072,1435219220
64878,20150625,4.862,1.323,0.049,1435219221
64879,20150625,7.010,0.822,0.030,1435219222
64880,20150625,8.509,0.511,0.036,1435219223
64881,20150625,11.948,0.347,0.027,1435219224
64882,20150625,60.798,0.212,0.025,1435219225
64883,20150625,59.644,0.160,0.025,1435219226
64884,20150625,31.369,0.105,0.024,1435219227
64885,20150625,35.234,0.093,0.030,1435219228
64886,20150625,24.020,0.076,0.036,1435219229
64887,20150625,18.786,0.077,0.031,1435219230
64888,20150625,20.028,0.070,0.026,1435219231
64889,20150625,63.377,0.079,0.038,1435219232
64890,20150625,29.934,0.078,0.030,1435219233
64891,20150625,16.596,14.958,0.043,1435219234
64892,20150625,9.105,51.137,0.028,1435219235
64893,20150625,8.122,31.852,0.026,1435219236
64894,20150625,12.704,28.913,0.028,1435219237
64895,20150625,15.676,45.603,0.025,1435219238
64896,20150625,18.059,53.930,0.033,1435219239
64897,20150625,8.971,51.883,0.020,1435219240
64898,20150625,9.179,29.395,0.025,1435219241
64899,20150625,29.735,20.798,0.028,1435219242
64900,20150625,32.570,13.030,0.029,1435219243
64901,20150625,27.393,6.792,0.043,1435219244
64902,20150625,10.962,4.642,0.037,1435219245
64903,20150625,10.151,3.492,0.030,1435219246
64904,20150625,8.484,3.454,0.023,1435219247
64905,20150625,5.513,24.687,0.028,1435219248
64906,20150625,29.905,46.593,0.036,1435219249
64907,20150625,14.956,19.682,0.028,1435219250
64908,20150625,26.222,31.470,0.028,1435219251
64909,20150625,24.806,52.801,0.024,1435219252
64910,20150625,29.583,33.168,0.108,1435219253
64911,20150625,34.291,20.648,0.032,1435219254
64912,20150625,20.376,12.734,0.092,1435219255
64913,20150625,10.225,9.262,0.174,1435219256
64914,20150625,14.198,12.050,14.335,1435219257
64915,20150625,41.962,8.991,34.142,1435219258
64916,20150625,32.057,12.314,15.446,1435219259
64917,20150625,19.655,7.810,7.314,1435219260
64918,20150625,13.776,25.188,45.358,1435219261
64919,20150625,17.421,20.871,58.051,1435219262
64920,20150625,10.931,25.389,28.959,1435219263
64921,20150625,17.712,54.196,13.817,1435219264
64922,20150625,32.747,48.205,11.646,1435219265
64923,20150625,18.914,26.931,8.611,1435219266
64924,20150625,7.752,17.223,4.078,1435219267
64925,20150625,9.502,11.058,3.527,1435219268
64926,20150625,17.635,10.510,2.805,1435219269
64927,20150625,25.544,59.049,2.171,1435219270
64928,20150625,20.667,38.615,4.769,1435219271
64929,20150625,7.823,18.172,10.852,1435219272
64930,20150625,5.390,31.940,9.012,1435219273
64931,20150625,8.179,22.954,7.498,1435219274
64932,20150625,5.040,24.970,5.870,1435219275
64933,20150625,6.191,17.160,2.755,1435219276
64934,20150625,3.706,11.306,1.586,1435219277
64935,20150625,1.770,6.983,0.811,1435219278
64936,20150625,0.723,4.315,0.424,1435219279
64937,20150625,0.355,2.590,0.185,1435219280
64938,20150625,0.397,4.626,0.156,1435219281
64939,20150625,5.777,33.583,5.058,1435219282
64940,20150625,8.037,32.243,7.670,1435219283
64941,20150625,32.430,23.843,12.476,1435219284
64942,20150625,30.605,26.638,10.296,1435219285
64943,20150625,34.965,41.170,13.247,1435219286
64944,20150625,20.764,23.185,13.373,1435219287
64945,20150625,13.317,26.214,7.277,1435219288
64946,20150625,12.571,33.138,3.286,1435219289
64947,20150625,13.149,42.801,1.754,1435219290
64948,20150625,13.266,30.436,1.431,1435219291
64949,20150625,14.127,25.331,5.262,1435219292
64950,20150625,36.264,15.848,12.060,1435219293
64951,20150625,22.500,21.224,8.726,1435219294
64952,20150625,19.597,19.512,6.072,1435219295
64953,20150625,8.908,17.218,4.202,1435219296
64954,20150625,4.192,7.731,2.549,1435219297
64955,20150625,1.975,2.394,1.418,1435219298
64956,20150625,1.034,2.101,0.920,1435219299
64957,20150625,0.600,1.442,0.594,1435219300
64958,20150625,0.362,1.009,0.425,1435219301
64959,20150625,0.236,0.713,0.286,1435219302
64960,20150625,0.234,0.481,0.227,1435219303
64961,20150625,0.797,0.428,1.121,1435219304
64962,20150625,1.595,0.933,2.885,1435219305
64963,20150625,1.606,3.384,1.725,1435219306
64964,20150625,1.640,8.440,1.412,1435219307
64965,20150625,1.152,1.279,0.880,1435219308
64966,20150625,0.773,0.754,0.614,1435219309
64967,20150625,0.497,0.362,0.404,1435219310
64968,20150625,0.479,0.592,0.280,1435219311
64969,20150625,0.351,0.307,0.263,1435219312
64970,20150625,0.273,0.165,0.230,1435219313
64971,20150625,1.612,0.718,0.448,1435219314
64972,20150625,14.132,10.708,7.399,1435219315
64973,20150625,13.185,6.768,6.246,1435219316
64974,20150625,6.833,9.741,4.791,1435219317
64975,20150625,12.476,24.115,3.581,1435219318
64976,20150625,18.649,42.960,3.412,1435219319
64977,20150625,16.992,27.434,11.723,1435219320
64978,20150625,23.620,25.042,37.075,1435219321
64979,20150625,18.371,19.213,30.410,1435219322
64980,20150625,12.197,20.811,19.113,1435219323
64981,20150625,7.338,11.108,13.766,1435219324
64982,20150625,14.030,19.446,28.719,1435219325
64983,20150625,32.543,18.217,31.561,1435219326
64984,20150625,27.921,34.231,18.842,1435219327
64985,20150625,13.453,32.506,11.930,1435219328
64986,20150625,11.649,22.503,7.816,1435219329
64987,20150625,17.938,25.346,7.577,1435219330
64988,20150625,20.081,31.322,6.488,1435219331
64989,20150625,23.819,11.248,3.404,1435219332
64990,20150625,15.105,7.256,1.525,1435219333
64991,20150625,33.214,25.112,2.113,1435219334
64992,20150625,32.572,19.386,2.351,1435219335
64993,20150625,33.445,22.365,5.637,1435219336
64994,20150625,26.925,29.640,6.631,1435219337
64995,20150625,14.749,24.775,4.333,1435219338
64996,20150625,17.172,12.966,2.247,1435219339
64997,20150625,59.371,23.255,1.000,1435219340
64998,20150625,22.904,13.760,0.874,1435219341
64999,20150625,13.133,7.549,0.834,1435219342
65000,20150625,17.891,13.410,3.174,1435219343
65001,20150625,22.164,12.164,8.852,1435219344
65002,20150625,16.159,11.825,4.027,1435219345
65003,20150625,10.465,7.174,2.293,1435219346
65004,20150625,6.736,5.870,1.414,1435219347
65005,20150625,4.143,4.441,0.888,1435219348
65006,20150625,2.381,8.756,0.534,1435219349
65007,20150625,1.847,8.289,0.609,1435219350
65008,20150625,3.151,8.384,4.941,1435219351
65009,20150625,12.187,9.839,4.789,1435219352
65010,20150625,4.952,5.076,2.158,1435219353
65011,20150625,2.888,2.337,1.286,1435219354
65012,20150625,1.467,1.349,0.699,1435219355
65013,20150625,0.838,1.045,0.437,1435219356
65014,20150625,0.436,0.716,0.278,1435219357
65015,20150625,0.854,10.848,0.635,1435219358
65016,20150625,0.894,8.320,0.942,1435219359
65017,20150625,1.035,8.815,0.402,1435219360
65018,20150625,0.874,7.207,0.331,1435219361
65019,20150625,0.686,5.482,0.428,1435219362
65020,20150625,0.649,3.121,0.254,1435219363
65021,20150625,0.657,1.089,0.093,1435219364
65022,20150625,0.408,2.729,0.223,1435219365
65023,20150625,0.361,2.580,0.180,1435219366
65024,20150625,0.403,4.944,0.192,1435219367
65025,20150625,0.353,3.103,0.212,1435219368
65026,20150625,0.617,2.877,0.459,1435219369
65027,20150625,0.362,3.500,0.391,1435219370
65028,20150625,0.273,1.416,0.361,1435219371
65029,20150625,0.250,2.273,0.133,1435219372
65030,20150625,0.264,2.484,0.126,1435219373
65031,20150625,0.335,3.095,0.285,1435219374
65032,20150625,0.345,1.866,0.167,1435219375
65033,20150625,0.360,2.600,0.158,1435219376
65034,20150625,0.551,4.367,0.353,1435219377
65035,20150625,0.249,2.010,0.210,1435219378
65036,20150625,0.236,2.432,0.193,1435219379
65037,20150625,0.160,1.229,0.138,1435219380
65038,20150625,0.159,1.437,0.176,1435219381
65039,20150625,0.303,2.394,0.310,1435219382
65040,20150625,0.221,0.940,0.266,1435219383
65041,20150625,0.234,0.400,0.364,1435219384
65042,20150625,0.200,0.463,0.208,1435219385
65043,20150625,0.283,0.490,0.067,1435219386
65044,20150625,0.264,0.451,0.088,1435219387
65045,20150625,0.180,0.400,0.167,1435219388
65046,20150625,0.267,0.492,0.088,1435219389
65047,20150625,0.215,2.024,0.140,1435219390
65048,20150625,0.246,1.206,0.157,1435219391
65049,20150625,0.233,0.602,0.121,1435219392
65050,20150625,0.218,0.614,0.229,1435219393
65051,20150625,0.133,0.485,0.166,1435219394
65052,20150625,0.075,0.444,0.097,1435219395
65053,20150625,0.133,1.042,0.109,1435219396
65054,20150625,0.180,1.047,0.120,1435219397
65055,20150625,0.143,0.600,0.095,1435219398
65056,20150625,0.090,0.490,0.099,1435219399
65057,20150625,0.232,0.997,0.213,1435219400
65058,20150625,0.224,1.149,0.451,1435219401
65059,20150625,0.095,0.953,0.346,1435219402
65060,20150625,0.180,2.614,0.291,1435219403
65061,20150625,0.252,3.423,0.172,1435219404
65062,20150625,0.198,13.112,0.135,1435219405
65063,20150625,0.279,17.056,0.209,1435219406
65064,20150625,0.282,6.907,0.129,1435219407
65065,20150625,0.249,4.290,0.176,1435219408
65066,20150625,0.150,2.463,0.099,1435219409
65067,20150625,0.145,1.402,0.109,1435219410
65068,20150625,0.162,1.163,0.217,1435219411
65069,20150625,0.145,4.253,0.136,1435219412
65070,20150625,0.146,2.239,0.126,1435219413
65071,20150625,0.121,1.483,0.183,1435219414
65072,20150625,0.117,1.285,0.109,1435219415
65073,20150625,0.091,1.049,0.085,1435219416
65074,20150625,0.091,1.017,0.134,1435219417
65075,20150625,0.110,1.081,0.088,1435219418
65076,20150625,0.092,0.829,0.158,1435219419
65077,20150625,0.098,0.657,0.092,1435219420
65078,20150625,0.089,0.533,0.066,1435219421
65079,20150625,0.073,0.549,0.127,1435219422
65080,20150625,0.111,0.403,0.107,1435219423
65081,20150625,0.146,0.623,0.133,1435219424
65082,20150625,0.192,0.813,0.092,1435219425
65083,20150625,0.173,0.315,0.131,1435219426
65084,20150625,0.238,0.310,0.239,1435219427
65085,20150625,0.180,0.474,0.185,1435219428
65086,20150625,0.155,0.286,0.140,1435219429
65087,20150625,0.170,1.551,0.218,1435219430
65088,20150625,1.896,5.039,0.798,1435219431
65089,20150625,2.411,4.572,1.226,1435219432
65090,20150625,1.367,6.722,0.726,1435219433
65091,20150625,0.824,6.989,0.370,1435219434
65092,20150625,0.685,4.293,0.790,1435219435
65093,20150625,0.356,2.551,0.221,1435219436
65094,20150625,0.270,1.414,0.375,1435219437
65095,20150625,0.295,2.163,0.531,1435219438
65096,20150625,0.163,2.275,0.394,1435219439
65097,20150625,0.117,0.491,0.463,1435219440
65098,20150625,0.682,5.825,0.660,1435219441
65099,20150625,3.264,4.890,1.347,1435219442
65100,20150625,5.173,4.382,2.119,1435219443
65101,20150625,1.049,8.444,0.661,1435219444
65102,20150625,0.766,5.887,0.859,1435219445
65103,20150625,0.841,4.752,0.691,1435219446
65104,20150625,1.535,5.008,0.430,1435219447
