index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150627,17.754,15.277,0.032,1435392033
1,20150627,21.221,10.716,0.032,1435392034
1,20150627,11.486,9.59,0.036,1435392035
1,20150627,33.144,31.564,0.121,1435392036
1,20150627,27.873,33.298,0.088,1435392037
1,20150627,19.196,14.107,3.167,1435392038
1,20150627,15.714,15.458,0.223,1435392039
1,20150627,7.705,17.622,0.136,1435392040
1,20150627,5.339,14.764,0.095,1435392041
1,20150627,6.747,19.488,0.064,1435392042
1,20150627,2.348,19.647,0.076,1435392043
1,20150627,2.058,27.949,1.746,1435392044
1,20150627,1.652,8.738,20.659,1435392045
1,20150627,1.051,3.631,6.321,1435392046
1,20150627,1.256,5.143,8.397,1435392047
1,20150627,21.796,13.484,17.73,1435392048
1,20150627,28.044,34.043,63.51,1435392049
1,20150627,14.983,19.553,44.186,1435392050
1,20150627,11.974,19.857,27.954,1435392051
1,20150627,14.082,25.522,15.839,1435392052
1,20150627,11.777,28.382,9.919,1435392053
1,20150627,7.104,31.626,5.916,1435392054
1,20150627,7.185,35.176,3.161,1435392055
1,20150627,11.416,30.632,2.098,1435392056
1,20150627,18.812,28.198,8.062,1435392057
1,20150627,30.112,31.395,4.094,1435392058
1,20150627,31.879,24.359,2.892,1435392059
1,20150627,22.994,14.463,1.342,1435392060
1,20150627,11.756,20.66,1.18,1435392061
1,20150627,7.799,15.603,0.868,1435392062
1,20150627,4.642,5.176,0.277,1435392063
1,20150627,3.683,8.226,0.249,1435392064
1,20150627,5.666,18.282,0.458,1435392065
1,20150627,4.318,28.011,0.683,1435392066
1,20150627,2.804,11.04,0.28,1435392067
1,20150627,3.755,16.064,0.272,1435392068
1,20150627,7.388,27.674,0.715,1435392069
1,20150627,7.773,37.492,0.543,1435392070
1,20150627,10.818,32.577,1.012,1435392071
1,20150627,7.049,12.887,0.859,1435392072
1,20150627,2.661,14.031,0.779,1435392073
1,20150627,6.354,15.564,0.965,1435392074
1,20150627,3.379,24.137,0.66,1435392075
1,20150627,2.584,16.997,0.601,1435392076
1,20150627,2.641,24.689,0.878,1435392077
1,20150627,4.842,11.992,0.921,1435392078
1,20150627,2.823,19.004,0.753,1435392079
1,20150627,2.859,15.369,0.853,1435392080
1,20150627,2.559,16.943,0.439,1435392081
1,20150627,3.034,16.687,1.574,1435392082
1,20150627,12.679,10.956,3.495,1435392083
1,20150627,11.958,32.802,1.358,1435392084
1,20150627,15.213,28.093,2.081,1435392085
1,20150627,18.959,31.431,2.117,1435392086
1,20150627,20.46,28.239,1.132,1435392087
1,20150627,13.612,34.147,1.098,1435392088
1,20150627,19.721,10.746,0.849,1435392089
1,20150627,9.122,22.488,2.67,1435392090
1,20150627,18.696,59.738,2.459,1435392091
1,20150627,25.503,45.357,4.787,1435392092
1,20150627,14.43,22.76,3.226,1435392093
1,20150627,5.976,21.624,1.453,1435392094
1,20150627,5.078,23.108,1.524,1435392095
1,20150627,4.109,22.847,2.646,1435392096
1,20150627,8.517,40.638,0.803,1435392097
1,20150627,18.922,31.697,3.756,1435392098
1,20150627,35.605,29.206,9.633,1435392099
1,20150627,19.749,20.09,4.872,1435392100
1,20150627,10.251,13.474,2.27,1435392101
1,20150627,5.879,7.292,1.199,1435392102
1,20150627,2.841,6.341,0.732,1435392103
1,20150627,1.817,15.441,1.972,1435392104
1,20150627,2.269,20.201,1.949,1435392105
1,20150627,1.471,13.786,1.37,1435392106
1,20150627,10.621,35.668,3.05,1435392107
1,20150627,20.619,46.94,4.687,1435392108
1,20150627,18.701,37.353,3.366,1435392109
1,20150627,19.563,20.754,2.912,1435392110
1,20150627,22.515,18.909,8.863,1435392111
1,20150627,12.249,15.756,4.516,1435392112
1,20150627,33.669,11.347,8.61,1435392113
1,20150627,36.885,30.732,10.161,1435392114
1,20150627,16.304,28.016,10.697,1435392115
1,20150627,18.551,22.655,7.96,1435392116
1,20150627,18.058,11.961,12.814,1435392117
1,20150627,29.432,18.169,11.97,1435392118
1,20150627,30.093,25.12,18.159,1435392119
1,20150627,23.121,30.586,13.344,1435392120
1,20150627,20.548,23.852,7.281,1435392121
1,20150627,11.865,32.201,10.902,1435392122
1,20150627,5.855,41.608,8.361,1435392123
1,20150627,16.475,25.954,7.188,1435392124
1,20150627,39.485,12.345,6.507,1435392125
1,20150627,24.133,22.508,11.588,1435392126
1,20150627,23.471,28.232,9.81,1435392127
1,20150627,21.545,14.359,9.212,1435392128
1,20150627,25.357,12.881,6.325,1435392129
1,20150627,48.42,29.085,3.791,1435392130
1,20150627,67.648,27.638,2.29,1435392131
1,20150627,40.79,25.255,1.073,1435392132
1,20150627,21.583,12.382,1.447,1435392133
1,20150627,15.961,19.963,1.525,1435392134
1,20150627,9.782,22.143,1.739,1435392135
1,20150627,5.862,14.912,1.757,1435392136
1,20150627,5.257,13.468,1.097,1435392137
1,20150627,8.899,14.319,1.231,1435392138
1,20150627,11.369,7.838,0.779,1435392139
1,20150627,14.904,12.102,0.544,1435392140
1,20150627,14.58,12.375,0.827,1435392141
1,20150627,41.868,14.945,2.35,1435392142
1,20150627,56.778,11.131,2.108,1435392143
1,20150627,32.018,8.901,0.826,1435392144
1,20150627,12.979,9.277,0.631,1435392145
1,20150627,8.271,12.246,0.453,1435392146
1,20150627,7.956,11.369,0.477,1435392147
1,20150627,4.423,3.559,0.312,1435392148
1,20150627,5.85,18.89,0.508,1435392149
1,20150627,4.876,5.718,0.34,1435392150
1,20150627,5.041,15.21,0.8,1435392151
1,20150627,3.418,15.473,2.009,1435392152
1,20150627,17.474,21.012,0.876,1435392153
1,20150627,27.216,21.989,1.204,1435392154
1,20150627,39.9,31.725,1.251,1435392155
1,20150627,28.629,16.246,0.712,1435392156
1,20150627,20.394,20.959,0.501,1435392157
1,20150627,12.582,17.278,0.673,1435392158
1,20150627,33.09,13.347,1.038,1435392159
1,20150627,20.394,26.122,3.85,1435392160
1,20150627,5.391,19.613,2.581,1435392161
1,20150627,8.917,15.169,1.383,1435392162
1,20150627,9.437,42.794,0.676,1435392163
1,20150627,16.274,20.195,1.247,1435392164
1,20150627,13.448,37.574,1.336,1435392165
1,20150627,13.337,45.428,2.142,1435392166
1,20150627,12.564,61.064,0.954,1435392167
1,20150627,30.506,41.718,0.655,1435392168
1,20150627,22.566,32.728,0.472,1435392169
1,20150627,13.395,16.328,0.88,1435392170
1,20150627,28.541,17.939,1.741,1435392171
1,20150627,17.029,16.824,0.839,1435392172
1,20150627,12.576,12.024,0.451,1435392173
1,20150627,8.558,21.011,1.015,1435392174
