index,session,leftEnergy,rightEnergy,phoneEnergy,time
118747,20150624,43.141,-1.000,31.036,1435132805
118748,20150624,42.031,-1.000,38.358,1435132806
118749,20150624,26.664,-1.000,27.476,1435132807
118750,20150624,16.892,33.878,18.634,1435132808
118751,20150624,9.095,24.724,13.186,1435132809
118752,20150624,4.872,14.878,7.265,1435132810
118753,20150624,3.999,8.875,5.164,1435132811
118754,20150624,2.805,5.265,3.623,1435132812
118755,20150624,1.772,3.157,2.727,1435132813
118756,20150624,1.353,1.843,1.648,1435132814
118757,20150624,4.907,1.271,36.895,1435132815
118758,20150624,5.829,21.021,24.614,1435132816
118759,20150624,4.348,25.356,15.903,1435132817
118760,20150624,4.580,42.303,9.649,1435132818
118761,20150624,10.635,55.444,5.860,1435132819
118762,20150624,8.040,30.311,3.551,1435132820
118763,20150624,9.912,26.822,2.179,1435132821
118764,20150624,3.970,13.658,1.330,1435132822
118765,20150624,9.849,11.762,0.848,1435132823
118766,20150624,5.964,6.633,0.547,1435132824
118767,20150624,6.796,8.072,0.334,1435132825
118768,20150624,6.808,10.607,0.227,1435132826
118769,20150624,6.615,9.713,0.149,1435132827
118770,20150624,7.667,14.483,0.118,1435132828
118771,20150624,18.141,56.191,0.108,1435132829
118772,20150624,24.274,36.450,0.249,1435132830
118773,20150624,32.821,39.122,0.092,1435132831
118774,20150624,15.480,35.269,0.038,1435132832
118775,20150624,14.306,15.495,0.046,1435132833
118776,20150624,7.726,13.705,0.059,1435132834
118777,20150624,3.690,14.994,0.050,1435132835
118778,20150624,2.549,6.765,0.058,1435132836
118779,20150624,5.219,3.954,0.074,1435132837
118780,20150624,4.225,9.546,0.057,1435132838
118781,20150624,3.205,13.458,0.081,1435132839
118782,20150624,7.938,34.374,0.100,1435132840
118783,20150624,15.510,44.648,0.095,1435132841
118784,20150624,13.039,41.772,0.038,1435132842
118785,20150624,15.859,24.976,0.043,1435132843
118786,20150624,11.787,28.950,0.042,1435132844
118787,20150624,7.482,48.201,0.045,1435132845
118788,20150624,8.680,29.484,0.036,1435132846
118789,20150624,10.555,25.027,0.051,1435132847
118790,20150624,10.265,23.743,0.059,1435132848
118791,20150624,3.588,14.923,0.061,1435132849
118792,20150624,10.789,49.366,0.078,1435132850
118793,20150624,19.903,59.931,0.041,1435132851
118794,20150624,16.495,35.636,0.053,1435132852
118795,20150624,38.729,21.477,0.052,1435132853
118796,20150624,32.250,12.730,0.074,1435132854
118797,20150624,18.298,7.477,0.051,1435132855
118798,20150624,11.183,4.445,4.898,1435132856
118799,20150624,9.013,2.632,0.396,1435132857
118800,20150624,6.746,2.037,0.217,1435132858
118801,20150624,5.785,0.805,0.136,1435132859
118802,20150624,3.803,0.518,0.097,1435132860
118803,20150624,1.648,0.347,0.053,1435132861
118804,20150624,1.805,23.873,0.037,1435132862
118805,20150624,8.775,37.746,0.038,1435132863
118806,20150624,30.748,15.585,0.057,1435132864
118807,20150624,23.421,9.387,0.062,1435132865
118808,20150624,8.971,5.617,0.108,1435132866
118809,20150624,25.846,3.314,0.188,1435132867
118810,20150624,40.819,2.226,0.292,1435132868
118811,20150624,7.997,1.056,0.138,1435132869
118812,20150624,6.257,2.404,0.169,1435132870
118813,20150624,9.973,64.339,0.163,1435132871
118814,20150624,4.262,55.304,0.053,1435132872
118815,20150624,5.048,35.017,0.045,1435132873
118816,20150624,3.338,23.369,0.040,1435132874
118817,20150624,2.900,12.807,0.082,1435132875
118818,20150624,2.315,18.153,0.050,1435132876
118819,20150624,2.160,51.275,0.050,1435132877
118820,20150624,2.481,53.694,0.079,1435132878
118821,20150624,1.014,31.539,0.204,1435132879
118822,20150624,1.858,29.194,0.110,1435132880
118823,20150624,4.099,32.970,0.049,1435132881
118824,20150624,2.957,30.666,0.050,1435132882
118825,20150624,1.715,18.840,0.033,1435132883
118826,20150624,0.900,9.801,0.027,1435132884
118827,20150624,0.445,8.544,0.032,1435132885
118828,20150624,0.891,9.082,0.056,1435132886
118829,20150624,2.723,42.060,0.057,1435132887
118830,20150624,5.383,28.512,0.130,1435132888
118831,20150624,15.073,12.331,0.123,1435132889
118832,20150624,11.498,21.405,0.256,1435132890
118833,20150624,8.846,23.908,0.171,1435132891
118834,20150624,6.532,21.410,0.458,1435132892
118835,20150624,6.533,19.390,0.154,1435132893
118836,20150624,7.395,19.620,0.301,1435132894
118837,20150624,8.636,16.219,0.220,1435132895
118838,20150624,6.923,18.287,0.210,1435132896
118839,20150624,5.339,14.134,0.299,1435132897
118840,20150624,6.550,12.437,0.181,1435132898
118841,20150624,9.814,18.712,0.047,1435132899
118842,20150624,16.787,33.645,0.143,1435132900
118843,20150624,6.520,18.066,0.146,1435132901
118844,20150624,5.089,6.830,0.117,1435132902
118845,20150624,8.268,8.755,0.211,1435132903
118846,20150624,17.877,7.680,0.089,1435132904
118847,20150624,8.649,5.426,0.067,1435132905
118848,20150624,13.140,23.616,0.126,1435132906
118849,20150624,19.205,46.388,0.083,1435132907
118850,20150624,16.477,23.932,0.042,1435132908
118851,20150624,10.327,15.831,0.125,1435132909
118852,20150624,8.680,11.013,0.203,1435132910
118853,20150624,4.480,7.705,0.086,1435132911
118854,20150624,16.508,8.579,0.099,1435132912
118855,20150624,8.315,11.137,0.051,1435132913
118856,20150624,5.785,8.856,0.485,1435132914
118857,20150624,11.258,58.182,0.451,1435132915
118858,20150624,8.767,50.624,2.111,1435132916
118859,20150624,5.702,32.424,0.487,1435132917
118860,20150624,11.683,25.196,0.425,1435132918
118861,20150624,16.605,20.045,0.165,1435132919
118862,20150624,41.748,23.083,0.136,1435132920
118863,20150624,32.348,21.448,0.100,1435132921
118864,20150624,19.996,26.001,0.093,1435132922
118865,20150624,12.159,9.624,0.071,1435132923
118866,20150624,7.259,18.677,0.119,1435132924
118867,20150624,4.347,11.895,1.930,1435132925
118868,20150624,2.677,30.460,71.655,1435132926
118869,20150624,1.406,20.039,29.686,1435132927
118870,20150624,1.307,22.886,21.107,1435132928
118871,20150624,1.131,11.254,12.823,1435132929
118872,20150624,10.862,9.627,8.232,1435132930
118873,20150624,5.622,21.554,23.866,1435132931
