index,session,leftEnergy,rightEnergy,phoneEnergy,time
149127,20150625,23.490,-1.000,49.446,1435219205
149128,20150625,32.347,-1.000,36.476,1435219206
149129,20150625,19.665,-1.000,25.841,1435219207
149130,20150625,11.724,-1.000,18.075,1435219208
149131,20150625,6.942,-1.000,10.125,1435219209
149132,20150625,4.122,-1.000,5.840,1435219210
149133,20150625,2.444,-1.000,6.429,1435219211
149134,20150625,1.459,32.292,9.325,1435219212
149135,20150625,0.860,26.317,6.246,1435219213
149136,20150625,0.517,15.653,4.324,1435219214
149137,20150625,0.334,9.225,4.238,1435219215
149138,20150625,0.197,5.536,3.476,1435219216
149139,20150625,0.135,3.364,4.608,1435219217
149140,20150625,0.119,1.974,9.605,1435219218
149141,20150625,0.096,1.200,22.658,1435219219
149142,20150625,0.073,0.753,10.191,1435219220
149143,20150625,0.081,0.473,6.155,1435219221
149144,20150625,0.079,0.295,3.770,1435219222
149145,20150625,0.061,0.211,2.319,1435219223
149146,20150625,0.091,0.190,1.414,1435219224
149147,20150625,0.082,0.119,0.866,1435219225
149148,20150625,0.070,0.096,0.504,1435219226
149149,20150625,0.060,0.066,0.315,1435219227
149150,20150625,0.057,0.067,0.197,1435219228
149151,20150625,0.070,0.075,0.113,1435219229
149152,20150625,0.059,0.054,0.073,1435219230
149153,20150625,0.065,0.059,0.057,1435219231
149154,20150625,0.059,0.075,0.032,1435219232
149155,20150625,0.074,0.087,0.047,1435219233
149156,20150625,0.067,0.066,0.042,1435219234
149157,20150625,0.064,0.079,0.040,1435219235
149158,20150625,0.062,0.056,0.027,1435219236
149159,20150625,0.075,0.065,0.042,1435219237
149160,20150625,0.072,0.062,0.043,1435219238
149161,20150625,0.059,0.059,0.042,1435219239
149162,20150625,0.070,0.058,0.043,1435219240
149163,20150625,0.057,0.071,0.028,1435219241
149164,20150625,0.068,0.074,0.027,1435219242
149165,20150625,0.074,0.064,0.030,1435219243
149166,20150625,0.056,0.067,0.033,1435219244
149167,20150625,0.059,0.069,0.036,1435219245
149168,20150625,0.074,0.063,0.029,1435219246
149169,20150625,0.054,0.076,0.039,1435219247
149170,20150625,0.060,0.066,0.052,1435219248
149171,20150625,0.071,0.067,0.042,1435219249
149172,20150625,0.061,0.061,0.031,1435219250
149173,20150625,0.068,0.054,0.026,1435219251
149174,20150625,0.069,0.063,0.037,1435219252
149175,20150625,0.076,0.089,8.305,1435219253
149176,20150625,0.071,0.061,18.442,1435219254
149177,20150625,0.056,0.062,19.314,1435219255
149178,20150625,0.067,0.064,15.273,1435219256
149179,20150625,0.072,0.065,14.778,1435219257
149180,20150625,0.057,0.067,16.537,1435219258
149181,20150625,0.128,0.296,20.782,1435219259
149182,20150625,0.074,9.216,10.487,1435219260
149183,20150625,0.094,41.538,6.337,1435219261
149184,20150625,0.055,22.053,3.848,1435219262
149185,20150625,0.072,16.354,2.333,1435219263
149186,20150625,0.068,18.210,1.417,1435219264
149187,20150625,0.060,9.600,0.848,1435219265
