index,session,leftEnergy,rightEnergy,phoneEnergy,time
16406,20150622,0.062,0.063,0.312,1434924000
16407,20150622,0.066,0.063,0.408,1434924001
16408,20150622,0.059,0.051,0.424,1434924002
16409,20150622,0.097,0.097,1.949,1434924003
16410,20150622,0.080,0.054,10.330,1434924004
16411,20150622,0.067,0.057,11.597,1434924005
16412,20150622,0.060,0.059,5.563,1434924006
16413,20150622,0.071,0.059,6.300,1434924007
16414,20150622,0.062,0.050,2.856,1434924008
16415,20150622,0.068,0.062,5.283,1434924009
16416,20150622,0.056,0.060,3.599,1434924010
16417,20150622,0.057,0.067,1.769,1434924011
16418,20150622,0.070,0.059,3.225,1434924012
16419,20150622,0.061,0.068,1.831,1434924013
16420,20150622,0.067,0.046,2.323,1434924014
16421,20150622,0.070,0.061,3.775,1434924015
16422,20150622,0.072,0.054,2.657,1434924016
16423,20150622,-1.000,-1.000,42.487,1434924019
16424,20150622,-1.000,-1.000,35.936,1434924020
16425,20150622,-1.000,-1.000,21.696,1434924021
16426,20150622,-1.000,-1.000,13.347,1434924022
16427,20150622,-1.000,-1.000,8.253,1434924023
16428,20150622,-1.000,-1.000,5.035,1434924024
16429,20150622,-1.000,27.540,2.965,1434924025
16430,20150622,33.405,30.031,1.816,1434924026
16431,20150622,23.558,17.827,1.483,1434924027
16432,20150622,13.826,10.484,0.928,1434924028
16433,20150622,42.072,16.401,31.363,1434959352
16434,20150622,34.356,30.640,26.900,1434959353
16435,20150622,25.409,19.405,16.415,1434959354
16436,20150622,59.885,11.891,9.986,1434959355
16437,20150622,44.573,7.177,6.082,1434959356
16438,20150622,27.542,6.066,3.717,1434959357
16439,20150622,22.309,2.719,2.264,1434959358
16440,20150622,13.884,1.735,1.377,1434959359
16441,20150622,14.921,1.044,0.830,1434959360
16442,20150622,9.537,0.593,0.511,1434959361
16443,20150622,4.968,0.360,0.314,1434959362
16444,20150622,6.863,0.264,0.192,1434959363
16445,20150622,28.517,0.233,0.159,1434959364
16446,20150622,13.082,0.151,0.103,1434959365
16447,20150622,13.415,0.085,0.053,1434959366
16448,20150622,25.231,0.082,0.037,1434959367
16449,20150622,19.261,0.093,0.050,1434959368
16450,20150622,24.909,0.081,0.035,1434959369
16451,20150622,31.822,0.085,0.047,1434959370
16452,20150622,25.246,0.087,0.049,1434959371
