index,session,leftEnergy,rightEnergy,phoneEnergy,time
50623,20150623,0.069,0.061,0.028,1435010400
50624,20150623,0.074,0.080,0.030,1435010401
50625,20150623,0.063,0.059,0.030,1435010402
50626,20150623,0.086,0.078,0.033,1435010403
50627,20150623,0.069,0.072,0.033,1435010404
50628,20150623,0.063,0.062,0.023,1435010405
50629,20150623,0.075,0.073,0.024,1435010406
50630,20150623,0.074,0.059,0.026,1435010407
50631,20150623,0.062,0.070,0.024,1435010408
50632,20150623,0.068,0.053,0.028,1435010409
50633,20150623,0.072,0.072,0.035,1435010410
50634,20150623,0.056,0.068,0.033,1435010411
50635,20150623,0.067,0.084,0.030,1435010412
50636,20150623,0.066,0.060,0.027,1435010413
50637,20150623,0.060,0.056,0.031,1435010414
50638,20150623,0.075,0.066,0.027,1435010415
50639,20150623,0.066,0.061,0.026,1435010416
50640,20150623,0.066,0.051,0.030,1435010417
50641,20150623,0.088,0.077,0.034,1435010418
50642,20150623,0.066,0.063,0.023,1435010419
50643,20150623,0.063,0.060,0.022,1435010420
50644,20150623,0.068,0.058,0.025,1435010421
50645,20150623,0.082,0.059,0.024,1435010422
50646,20150623,0.080,0.055,0.025,1435010423
50647,20150623,0.072,0.063,0.025,1435010424
50648,20150623,0.063,0.061,0.030,1435010425
50649,20150623,0.081,0.066,0.024,1435010426
50650,20150623,0.065,0.053,0.028,1435010427
50651,20150623,0.092,0.055,0.024,1435010428
50652,20150623,0.064,0.074,0.028,1435010429
50653,20150623,0.065,0.053,0.026,1435010430
50654,20150623,0.086,0.059,0.023,1435010431
50655,20150623,0.075,0.069,0.024,1435010432
50656,20150623,0.073,0.067,0.022,1435010433
50657,20150623,0.075,0.069,0.033,1435010434
50658,20150623,0.057,0.070,0.027,1435010435
50659,20150623,0.076,0.069,0.027,1435010436
50660,20150623,0.074,0.066,0.028,1435010437
50661,20150623,0.069,0.058,0.030,1435010438
50662,20150623,0.060,0.058,0.033,1435010439
50663,20150623,0.077,0.073,0.024,1435010440
50664,20150623,0.057,0.056,0.024,1435010441
50665,20150623,0.079,0.059,0.029,1435010442
50666,20150623,0.065,0.077,0.027,1435010443
50667,20150623,0.071,0.062,0.023,1435010444
50668,20150623,0.074,0.055,0.025,1435010445
50669,20150623,0.073,0.065,0.032,1435010446
50670,20150623,0.081,0.068,0.024,1435010447
50671,20150623,0.063,0.070,0.034,1435010448
50672,20150623,0.065,0.061,0.031,1435010449
50673,20150623,0.076,0.068,0.028,1435010450
50674,20150623,0.073,0.056,0.028,1435010451
50675,20150623,0.065,0.062,0.028,1435010452
50676,20150623,0.067,0.080,0.034,1435010453
50677,20150623,0.068,0.060,0.021,1435010454
50678,20150623,0.088,0.082,0.032,1435010455
50679,20150623,0.062,0.071,0.021,1435010456
50680,20150623,0.072,0.070,0.028,1435010457
50681,20150623,0.082,0.059,0.025,1435010458
50682,20150623,0.063,0.074,0.024,1435010459
50683,20150623,0.063,0.056,0.024,1435010460
50684,20150623,0.078,0.062,0.024,1435010461
50685,20150623,0.078,0.055,0.024,1435010462
50686,20150623,0.076,0.072,0.022,1435010463
50687,20150623,0.065,0.069,0.025,1435010464
50688,20150623,0.058,0.067,0.024,1435010465
