index,session,leftEnergy,rightEnergy,phoneEnergy,time
181446,20150626,-1.000,-1.000,48.442,1435305605
181447,20150626,19.417,-1.000,40.741,1435305606
181448,20150626,42.036,-1.000,22.884,1435305607
181449,20150626,26.256,-1.000,15.208,1435305608
181450,20150626,15.145,44.536,11.375,1435305609
181451,20150626,12.313,40.845,13.973,1435305610
181452,20150626,11.703,31.628,9.028,1435305611
181453,20150626,8.102,25.528,6.830,1435305612
181454,20150626,15.976,18.839,9.331,1435305613
181455,20150626,16.332,29.531,8.124,1435305614
181456,20150626,18.460,41.943,8.592,1435305615
181457,20150626,7.321,36.936,5.347,1435305616
181458,20150626,5.581,36.200,1.684,1435305617
181459,20150626,12.662,16.665,6.246,1435305618
181460,20150626,10.688,44.847,9.676,1435305619
181461,20150626,7.713,29.237,9.542,1435305620
181462,20150626,4.907,29.265,7.542,1435305621
181463,20150626,8.536,39.561,4.384,1435305622
181464,20150626,8.336,33.859,3.316,1435305623
181465,20150626,3.973,38.568,4.297,1435305624
181466,20150626,5.125,21.075,3.768,1435305625
181467,20150626,9.475,9.467,7.494,1435305626
181468,20150626,11.374,6.607,8.409,1435305627
181469,20150626,12.235,5.127,9.787,1435305628
181470,20150626,10.923,4.034,11.406,1435305629
181471,20150626,12.181,5.500,8.865,1435305630
181472,20150626,12.996,4.840,9.961,1435305631
181473,20150626,14.976,5.472,10.708,1435305632
181474,20150626,14.507,5.354,10.166,1435305633
181475,20150626,13.655,4.239,11.674,1435305634
181476,20150626,11.900,4.514,11.061,1435305635
181477,20150626,13.589,5.716,10.492,1435305636
181478,20150626,14.059,5.849,14.600,1435305637
181479,20150626,12.393,6.333,8.972,1435305638
181480,20150626,9.534,17.999,7.994,1435305639
181481,20150626,8.311,15.888,4.011,1435305640
181482,20150626,6.842,26.766,3.114,1435305641
181483,20150626,10.360,40.809,5.881,1435305642
181484,20150626,18.035,32.387,12.365,1435305643
181485,20150626,11.580,20.308,6.891,1435305644
181486,20150626,7.795,26.231,6.549,1435305645
181487,20150626,15.532,20.448,10.396,1435305646
181488,20150626,13.895,19.861,10.551,1435305647
181489,20150626,15.605,29.430,13.276,1435305648
181490,20150626,11.999,15.548,9.012,1435305649
181491,20150626,7.581,12.128,1.964,1435305650
181492,20150626,12.435,27.614,10.030,1435305651
181493,20150626,12.527,34.141,10.839,1435305652
181494,20150626,17.056,19.063,11.132,1435305653
181495,20150626,14.549,28.693,12.569,1435305654
181496,20150626,14.333,45.641,10.886,1435305655
181497,20150626,11.559,24.840,10.869,1435305656
181498,20150626,10.765,17.089,12.477,1435305657
181499,20150626,10.616,25.021,9.141,1435305658
181500,20150626,10.419,21.935,7.828,1435305659
181501,20150626,12.339,31.135,12.779,1435305660
181502,20150626,25.620,18.289,24.658,1435305661
181503,20150626,13.165,8.460,17.649,1435305662
181504,20150626,19.937,15.094,12.602,1435305663
181505,20150626,13.270,17.122,8.323,1435305664
181506,20150626,13.947,15.733,11.540,1435305665
181507,20150626,10.672,13.584,8.516,1435305666
181508,20150626,21.313,11.155,12.702,1435305667
181509,20150626,23.024,26.330,24.225,1435305668
181510,20150626,11.130,21.131,7.446,1435305669
181511,20150626,14.464,15.302,12.756,1435305670
181512,20150626,13.590,14.961,14.068,1435305671
181513,20150626,11.224,24.741,8.252,1435305672
181514,20150626,9.774,30.075,5.500,1435305673
181515,20150626,3.484,64.253,6.968,1435305674
181516,20150626,5.411,77.119,7.622,1435305675
181517,20150626,3.904,50.335,4.644,1435305676
181518,20150626,6.150,50.431,3.305,1435305677
181519,20150626,3.004,29.687,2.244,1435305678
181520,20150626,2.390,29.752,1.779,1435305679
181521,20150626,6.780,55.097,3.460,1435305680
181522,20150626,6.866,58.734,8.506,1435305681
181523,20150626,12.893,36.833,5.392,1435305682
181524,20150626,9.705,27.863,8.111,1435305683
181525,20150626,13.749,15.943,9.740,1435305684
181526,20150626,8.383,24.905,6.483,1435305685
181527,20150626,6.407,32.086,11.099,1435305686
181528,20150626,9.222,29.238,6.801,1435305687
181529,20150626,5.370,24.647,10.105,1435305688
181530,20150626,9.383,15.070,9.246,1435305689
181531,20150626,14.516,20.539,9.512,1435305690
181532,20150626,19.457,36.336,7.109,1435305691
181533,20150626,17.976,32.901,7.249,1435305692
181534,20150626,15.285,24.077,10.242,1435305693
181535,20150626,14.181,20.336,8.797,1435305694
181536,20150626,9.170,28.440,6.248,1435305695
181537,20150626,2.752,24.421,2.663,1435305696
181538,20150626,7.884,25.045,9.030,1435305697
181539,20150626,12.743,30.807,10.369,1435305698
181540,20150626,11.760,19.565,9.943,1435305699
181541,20150626,8.226,19.031,7.968,1435305700
181542,20150626,9.133,8.751,16.180,1435305701
181543,20150626,9.999,20.076,13.514,1435305702
181544,20150626,7.295,34.111,12.502,1435305703
181545,20150626,5.175,41.235,63.899,1435305704
181546,20150626,4.700,32.331,58.617,1435305705
181547,20150626,8.477,24.794,33.086,1435305706
181548,20150626,6.059,18.976,22.584,1435305707
181549,20150626,9.956,17.231,29.858,1435305708
181550,20150626,10.132,29.761,30.815,1435305709
181551,20150626,5.455,21.677,30.001,1435305710
181552,20150626,2.380,15.396,15.036,1435305711
181553,20150626,0.912,10.038,12.557,1435305712
181554,20150626,0.951,5.092,7.310,1435305713
181555,20150626,0.719,9.501,8.604,1435305714
181556,20150626,2.858,26.286,28.945,1435305715
181557,20150626,3.295,15.226,16.362,1435305716
181558,20150626,1.239,6.680,11.875,1435305717
181559,20150626,3.341,10.870,16.472,1435305718
181560,20150626,10.744,22.670,30.793,1435305719
181561,20150626,7.919,28.413,37.155,1435305720
181562,20150626,11.046,28.427,34.484,1435305721
181563,20150626,10.176,17.946,18.550,1435305722
181564,20150626,12.370,28.075,13.914,1435305723
181565,20150626,12.425,29.686,13.827,1435305724
181566,20150626,12.962,13.517,15.563,1435305725
181567,20150626,12.202,15.399,11.935,1435305726
181568,20150626,13.303,24.555,9.867,1435305727
181569,20150626,10.080,37.936,4.976,1435305728
181570,20150626,7.841,20.757,3.314,1435305729
181571,20150626,8.083,15.478,1.180,1435305730
181572,20150626,4.620,15.670,0.893,1435305731
181573,20150626,3.077,13.426,1.212,1435305732
181574,20150626,5.509,21.367,1.993,1435305733
181575,20150626,12.974,43.241,10.099,1435305734
181576,20150626,13.914,32.680,13.004,1435305735
181577,20150626,10.005,17.185,9.138,1435305736
181578,20150626,9.496,11.619,7.419,1435305737
181579,20150626,4.436,8.372,3.424,1435305738
181580,20150626,6.787,6.896,3.553,1435305739
181581,20150626,3.938,5.295,1.429,1435305740
