06-24  10:00:00 : C - START Session
06-24  10:00:00 : I - START_00
06-24  10:00:04 : I - L: Initializing...
06-24  10:00:04 : I - L: Connecting...
06-24  10:00:04 : I - L: Connected
06-24  10:00:05 : I - R: Initializing...
06-24  10:00:05 : I - R: Connecting...
06-24  10:00:05 : I - P: Connected
06-24  10:00:07 : I - START_00 END clicked=true
06-24  10:00:07 : I - START_01
06-24  10:00:07 : I - R: Connected
06-24  10:00:07 : C - R: Battery 0%
06-24  10:00:07 : C - R: Battery 0%
06-24  10:00:09 : I - START_01 END clicked=true
06-24  10:00:09 : I - START_02
06-24  10:00:13 : I - START_02 END clicked=true
06-24  10:01:53 : C - Status:
	L: Connected 99% 51Hz
	R: Connected 0% 51Hz
	P: Connected 100% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  10:01:53 : C - P OK, waiting for L and R...
06-24  10:03:54 : C - Status:
	L: Connected 99% 52Hz
	R: Connected 0% 51Hz
	P: Connected 100% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  10:03:54 : C - P OK, waiting for L and R...
06-24  10:03:54 : C - P OK, waiting for L and R...
06-24  10:03:54 : C - Status:
	L: Connected 99% 52Hz
	R: Connected 0% 51Hz
	P: Connected 100% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  10:05:26 : C - P OK, waiting for L and R...
06-24  10:05:26 : C - Status:
	L: Connected 99% 52Hz
	R: Connected 0% 51Hz
	P: Connected 100% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  10:05:27 : C - Status:
	L: Connected 99% 52Hz
	R: Connected 0% 51Hz
	P: Connected 100% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  10:05:27 : C - P OK, waiting for L and R...
06-24  10:05:28 : C - Status:
	L: Connected 99% 52Hz
	R: Connected 0% 51Hz
	P: Connected 100% 49Hz
	Baseline: 1,00 x 1.8650899
06-24  10:05:28 : C - P OK, waiting for L and R...
06-24  10:13:51 : C - R: Disconnected
06-24  10:13:52 : I - R: Connecting...
06-24  10:13:52 : I - R: Connected
06-24  10:14:03 : I - R: Connected
06-24  10:14:18 : I - R: Connected
06-24  10:14:33 : I - R: Connected
06-24  10:14:48 : I - R: Connected
06-24  10:15:03 : I - R: Connected
06-24  10:15:18 : I - R: Connected
06-24  10:15:33 : I - R: Connected
06-24  10:15:48 : I - R: Connected
06-24  10:16:03 : I - R: Connected
06-24  10:16:18 : I - R: Connected
06-24  10:16:33 : I - R: Connected
06-24  10:16:48 : I - R: Connected
06-24  10:17:03 : I - R: Connected
06-24  10:17:18 : I - R: Connected
06-24  10:17:33 : I - R: Connected
06-24  10:17:48 : I - R: Connected
06-24  10:18:03 : I - R: Connected
06-24  10:18:18 : I - R: Connected
06-24  10:18:33 : I - R: Connected
06-24  10:18:48 : I - R: Connected
06-24  10:19:03 : I - R: Connected
06-24  10:19:18 : I - R: Connected
06-24  10:19:33 : I - R: Connected
06-24  10:19:48 : I - R: Connected
06-24  10:20:03 : I - R: Connected
06-24  10:20:18 : I - R: Connected
06-24  10:20:33 : I - R: Connected
06-24  10:20:48 : I - R: Connected
06-24  10:21:03 : I - R: Connected
06-24  10:21:18 : I - R: Connected
06-24  10:21:33 : I - R: Connected
06-24  10:21:48 : I - R: Connected
06-24  10:22:03 : I - R: Connected
06-24  10:22:18 : I - R: Connected
06-24  10:22:33 : I - R: Connected
06-24  10:22:48 : I - R: Connected
06-24  10:23:03 : I - R: Connected
06-24  10:23:18 : I - R: Connected
06-24  10:23:33 : I - R: Connected
06-24  10:23:48 : I - R: Connected
06-24  10:24:03 : I - R: Connected
06-24  10:24:18 : I - R: Connected
06-24  10:24:33 : I - R: Connected
06-24  10:24:48 : I - R: Connected
06-24  10:25:03 : I - R: Connected
06-24  10:25:18 : I - R: Connected
06-24  10:25:33 : I - R: Connected
06-24  10:25:48 : I - R: Connected
06-24  10:26:03 : I - R: Connected
06-24  10:26:18 : I - R: Connected
06-24  10:26:33 : I - R: Connected
06-24  10:26:48 : I - R: Connected
06-24  10:27:03 : I - R: Connected
06-24  10:27:18 : I - R: Connected
06-24  10:27:33 : I - R: Connected
06-24  10:27:48 : I - R: Connected
06-24  10:28:03 : I - R: Connected
06-24  10:28:18 : I - R: Connected
06-24  10:28:33 : I - R: Connected
06-24  10:28:48 : I - R: Connected
06-24  10:29:03 : I - R: Connected
06-24  10:29:18 : I - R: Connected
06-24  10:29:33 : I - R: Connected
06-24  10:29:48 : I - R: Connected
06-24  10:30:03 : I - R: Connected
06-24  10:30:18 : I - R: Connected
06-24  10:30:33 : I - R: Connected
06-24  10:30:48 : I - R: Connected
06-24  10:31:03 : I - R: Connected
06-24  10:31:18 : I - R: Connected
06-24  10:31:33 : I - R: Connected
06-24  10:31:48 : I - R: Connected
06-24  10:32:03 : I - R: Connected
06-24  10:32:18 : I - R: Connected
06-24  10:32:33 : I - R: Connected
06-24  10:32:48 : I - R: Connected
06-24  10:33:03 : I - R: Connected
06-24  10:33:18 : I - R: Connected
06-24  10:33:33 : I - R: Connected
