index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150622,-1.000,-1.000,40.611,1435003316
1,20150622,-1.000,-1.000,36.459,1435003317
1,20150622,-1.000,-1.000,22.367,1435003318
1,20150622,46.683,34.239,13.320,1435003319
1,20150622,32.193,34.873,7.680,1435003320
1,20150622,19.165,20.884,4.247,1435003321
1,20150622,11.462,12.409,4.352,1435003322
1,20150622,6.786,7.419,4.898,1435003323
1,20150622,4.038,4.408,2.048,1435003324
1,20150622,2.347,2.644,0.813,1435003325
1,20150622,1.378,1.534,1.307,1435003326
1,20150622,0.875,0.929,1.457,1435003327
1,20150622,0.509,0.571,0.998,1435003328
1,20150622,0.337,0.333,0.906,1435003329
1,20150622,0.146,0.241,0.564,1435003330
1,20150622,0.116,0.148,0.461,1435003331
1,20150622,0.088,0.100,2.023,1435003332
1,20150622,0.085,0.084,3.261,1435003333
1,20150622,0.069,0.072,3.020,1435003334
1,20150622,0.061,0.070,2.936,1435003335
1,20150622,0.066,0.063,1.932,1435003336
1,20150622,0.071,0.081,1.539,1435003337
1,20150622,0.071,0.069,0.930,1435003338
1,20150622,0.081,0.062,1.807,1435003339
1,20150622,0.080,0.057,1.620,1435003340
1,20150622,0.058,0.063,0.896,1435003341
1,20150622,0.072,0.070,1.349,1435003342
1,20150622,0.057,0.062,1.650,1435003343
1,20150622,0.064,0.075,1.817,1435003344
1,20150622,0.049,0.064,0.740,1435003345
1,20150622,0.082,0.054,0.388,1435003346
1,20150622,0.062,0.058,1.002,1435003347
1,20150622,0.070,0.069,2.811,1435003348
1,20150622,0.059,0.053,2.624,1435003349
1,20150622,0.053,0.079,1.950,1435003350
1,20150622,0.061,0.062,0.963,1435003351
1,20150622,0.069,0.078,0.629,1435003352
1,20150622,0.069,0.064,0.892,1435003353
1,20150622,0.079,0.069,1.257,1435003354
1,20150622,0.064,0.066,0.694,1435003355
1,20150622,0.050,0.055,0.597,1435003356
1,20150622,0.066,0.073,0.571,1435003357
1,20150622,0.059,0.055,0.520,1435003358
1,20150622,0.073,0.057,0.329,1435003359
1,20150622,0.067,0.072,0.217,1435003360
1,20150622,0.068,0.067,0.361,1435003361
1,20150622,0.069,0.076,0.616,1435003362
1,20150622,0.062,0.066,2.011,1435003363
1,20150622,0.056,0.059,1.434,1435003364
1,20150622,0.061,0.071,1.403,1435003365
1,20150622,0.060,0.068,0.952,1435003366
1,20150622,0.069,0.070,0.698,1435003367
1,20150622,0.058,0.059,0.903,1435003368
1,20150622,0.076,0.069,1.459,1435003369
1,20150622,0.064,0.060,0.742,1435003370
1,20150622,0.079,0.068,0.647,1435003371
1,20150622,0.057,0.059,0.479,1435003372
1,20150622,0.054,0.064,0.197,1435003373
1,20150622,0.058,0.069,0.271,1435003374
1,20150622,0.063,0.064,0.457,1435003375
1,20150622,0.059,0.074,1.042,1435003376
1,20150622,0.070,0.075,1.222,1435003377
1,20150622,0.058,0.065,2.355,1435003378
1,20150622,0.059,0.056,8.266,1435003379
1,20150622,0.080,0.066,4.969,1435003380
1,20150622,0.064,0.061,3.880,1435003381
1,20150622,0.063,0.066,2.827,1435003382
1,20150622,0.056,0.070,3.757,1435003383
1,20150622,0.054,0.064,2.300,1435003384
1,20150622,0.056,0.084,1.252,1435003385
1,20150622,0.068,0.067,1.016,1435003386
1,20150622,0.073,0.063,1.095,1435003387
1,20150622,0.085,0.090,0.960,1435003388
1,20150622,0.074,0.069,0.945,1435003389
1,20150622,0.070,0.071,0.453,1435003390
1,20150622,0.072,0.066,1.899,1435003391
1,20150622,0.053,0.072,2.453,1435003392
1,20150622,0.065,0.055,1.608,1435003393
1,20150622,0.071,0.060,1.303,1435003394
1,20150622,0.075,0.077,0.934,1435003395
1,20150622,0.066,0.069,0.505,1435003396
1,20150622,0.072,0.057,0.777,1435003397
1,20150622,0.055,0.059,1.123,1435003398
1,20150622,0.055,0.070,0.881,1435003399
1,20150622,0.059,0.082,1.417,1435003400
1,20150622,0.053,0.077,1.381,1435003401
1,20150622,0.065,0.066,1.111,1435003402
1,20150622,0.059,0.067,1.267,1435003403
1,20150622,0.073,0.066,1.633,1435003404
1,20150622,0.062,0.079,2.072,1435003405
1,20150622,0.070,0.059,3.551,1435003406
1,20150622,0.059,0.066,1.235,1435003407
1,20150622,0.051,0.065,0.744,1435003408
1,20150622,0.063,0.065,0.749,1435003409
1,20150622,0.064,0.062,0.283,1435003410
1,20150622,0.067,0.065,0.358,1435003411
1,20150622,0.064,0.081,0.458,1435003412
1,20150622,0.065,0.074,0.577,1435003413
1,20150622,0.056,0.076,0.740,1435003414
1,20150622,0.053,0.050,2.536,1435003415
1,20150622,0.066,0.058,4.527,1435003416
1,20150622,0.074,0.063,3.460,1435003417
1,20150622,0.062,0.060,2.502,1435003418
1,20150622,0.062,0.081,2.142,1435003419
1,20150622,0.075,0.068,0.920,1435003420
1,20150622,0.068,0.070,1.162,1435003421
1,20150622,0.061,0.072,1.830,1435003422
1,20150622,0.078,0.067,2.817,1435003423
1,20150622,0.059,0.063,1.752,1435003424
1,20150622,0.067,0.066,1.744,1435003425
1,20150622,0.074,0.069,1.318,1435003426
1,20150622,0.060,0.060,0.773,1435003427
1,20150622,0.068,0.061,0.703,1435003428
1,20150622,0.058,0.069,0.657,1435003429
1,20150622,0.068,0.069,0.408,1435003430
1,20150622,0.058,0.070,0.312,1435003431
1,20150622,0.071,0.069,0.935,1435003432
1,20150622,0.076,0.066,2.088,1435003433
1,20150622,0.066,0.072,3.605,1435003434
1,20150622,0.076,0.082,3.435,1435003435
1,20150622,0.074,0.059,2.266,1435003436
1,20150622,0.058,0.057,1.167,1435003437
1,20150622,0.066,0.069,9.151,1435003438
1,20150622,0.088,0.069,20.127,1435003439
1,20150622,0.067,0.063,7.267,1435003440
1,20150622,0.061,0.053,2.248,1435003441
1,20150622,0.080,0.072,1.809,1435003442
1,20150622,0.056,0.064,1.331,1435003443
1,20150622,0.063,0.065,3.926,1435003444
1,20150622,0.060,0.062,45.437,1435003445
1,20150622,0.075,0.089,23.613,1435003446
1,20150622,0.065,0.124,27.014,1435003447
1,20150622,0.075,0.249,55.304,1435003448
1,20150622,0.308,0.435,46.803,1435003449
1,20150622,0.177,0.187,23.708,1435003450
1,20150622,0.114,0.106,12.964,1435003451
1,20150622,0.094,0.085,7.885,1435003452
1,20150622,0.062,0.069,4.787,1435003453
1,20150622,0.076,0.085,2.917,1435003454
1,20150622,0.074,0.059,1.766,1435003455
1,20150622,0.061,0.060,1.034,1435003456
1,20150622,0.065,0.056,0.599,1435003457
1,20150622,0.058,0.049,0.374,1435003458
1,20150622,0.070,0.058,0.231,1435003459
1,20150622,0.059,0.050,0.142,1435003460
1,20150622,0.073,0.066,0.087,1435003461
1,20150622,0.080,0.045,0.054,1435003462
1,20150622,0.073,0.058,0.031,1435003463
1,20150622,0.064,0.053,0.040,1435003464
1,20150622,0.058,0.045,0.035,1435003465
1,20150622,0.074,0.043,0.036,1435003466
1,20150622,0.067,0.061,0.044,1435003467
1,20150622,0.063,0.052,0.046,1435003468
1,20150622,0.064,0.056,0.040,1435003469
1,20150622,0.063,0.061,0.029,1435003470
1,20150622,0.064,0.083,0.037,1435003471
1,20150622,0.048,0.062,0.042,1435003472
1,20150622,0.071,0.056,0.037,1435003473
1,20150622,0.085,0.048,0.047,1435003474
1,20150622,0.070,0.056,0.035,1435003475
1,20150622,0.078,0.055,0.028,1435003476
1,20150622,0.069,0.052,0.026,1435003477
1,20150622,0.080,0.048,0.031,1435003478
1,20150622,0.053,0.066,0.030,1435003479
