index,time,xAxis,yAxis,zAxis
0,26,0.02669,0.03314,0.06798
1,26,0.02760,0.01714,0.02079
2,27,-0.03339,0.00824,-0.02868
3,30,-0.04780,-0.03012,-0.06904
4,32,0.04691,0.01262,0.04867
5,32,0.00706,0.00385,0.01160
6,32,-0.01232,0.00308,-0.01182
7,34,-0.00361,-0.00691,-0.00398
8,34,0.00571,-0.00553,0.00306
9,34,0.00769,-0.00130,0.00557
10,242,-0.01181,-0.00416,-0.00492
11,242,-0.01258,-0.00021,-0.01253
12,242,-0.00694,0.00608,-0.00690
13,245,0.00304,0.00487,0.00620
14,245,0.00244,0.00702,0.00809
15,246,-0.00352,0.00562,-0.00525
16,248,0.00890,0.00137,-0.00420
17,248,0.00400,0.00422,0.00211
18,248,-0.00227,0.00337,0.00481
19,250,-0.01119,0.00270,-0.00474
20,326,-0.00895,0.00528,-0.01005
21,328,-0.00091,0.00423,-0.00179
22,451,0.00239,0.00651,0.00716
23,451,-0.00121,-0.00104,0.00261
24,451,-0.00722,-0.00084,-0.00338
25,453,-0.00265,0.00246,-0.00271
26,583,0.00647,-0.00116,0.00643
27,583,0.02393,-0.00405,0.01452
28,583,0.00977,-0.00637,0.00536
29,585,-0.02265,-0.07228,-0.01993
30,585,-0.00250,-0.07892,-0.01282
31,585,0.01597,-0.06938,0.02022
32,589,0.03700,-0.05238,0.07086
33,590,0.06631,-0.01769,0.08403
34,590,0.04680,-0.00165,0.00629
35,723,0.01010,-0.02320,-0.04653
36,724,0.03855,-0.04277,-0.02238
37,724,0.04334,-0.03422,-0.00853
38,726,0.07139,-0.03050,-0.07714
39,726,-0.01945,0.01857,-0.16874
40,727,-0.00931,0.03282,-0.10140
41,728,0.00505,0.02938,-0.04128
42,845,0.06810,0.09069,0.03729
43,846,0.08808,0.05459,-0.09829
44,846,0.04546,0.11086,-0.10285
45,847,-0.15582,0.18869,-0.00650
46,974,-0.01762,0.08689,0.05886
47,988,0.07106,0.09998,0.06896
48,990,0.05997,0.08311,0.02783
49,990,-0.02546,0.11570,-0.05117
50,1107,-0.12349,0.14725,-0.04719
51,1107,0.06917,0.16077,0.06303
52,1108,-0.21966,0.19893,0.05667
53,1119,0.07740,0.13180,0.14924
54,1120,-0.20371,0.40388,0.14674
55,1120,-0.09578,0.30513,0.28536
56,1251,-0.22584,0.27457,0.13923
57,1251,-0.07989,0.39700,0.41997
58,1251,-0.04595,0.43948,0.45473
59,1257,0.02106,0.45236,0.46144
60,1258,0.09028,0.35252,0.37540
61,1258,0.02691,0.23045,0.25735
62,1274,-0.03081,0.07108,0.06291
63,1274,-0.02778,0.01389,0.04096
64,1275,-0.12847,-0.03732,-0.07114
65,1392,0.01285,-0.08220,-0.08426
66,1531,0.01028,-0.08373,-0.09475
67,1531,-0.06209,-0.09120,-0.09142
68,1532,-0.03717,-0.05187,-0.03642
