index,time,xAxis,yAxis,zAxis
0,20,-0.03395,0.04803,-0.04549
1,22,-0.02169,0.04077,-0.07624
2,23,-0.01110,0.03574,-0.10005
3,24,-0.00888,0.03797,-0.11676
4,24,-0.01882,0.04600,-0.15122
5,26,-0.03693,0.04539,-0.16082
6,26,-0.03267,0.04256,-0.15053
7,26,-0.04723,0.04030,-0.12589
8,28,-0.05888,0.03849,-0.10696
9,29,-0.08070,0.02454,-0.08245
10,71,-0.11690,0.01963,-0.06283
11,71,-0.13024,0.01883,-0.05964
12,72,-0.09794,0.02444,-0.06646
13,236,-0.08460,0.01955,-0.05864
14,237,-0.07940,0.01799,-0.04144
15,239,-0.06040,0.02064,-0.02065
16,240,-0.05769,0.01339,-0.00402
17,240,-0.03053,0.00758,0.01475
18,242,-0.01895,0.00607,0.00555
19,242,-0.00891,0.01423,0.00444
20,243,0.00224,0.00826,0.00355
21,243,0.01664,0.00348,0.01534
22,244,0.02269,-0.00034,0.01227
23,320,0.00331,-0.01512,0.01919
24,320,-0.00048,-0.01522,-0.00340
25,321,0.02696,-0.00592,-0.03943
26,322,0.04891,-0.00474,-0.05889
27,322,0.09382,-0.01004,-0.02524
28,445,0.03599,-0.02600,-0.01160
29,446,-0.05090,-0.01768,-0.04287
30,447,-0.08368,-0.00555,-0.03977
31,448,-0.17320,-0.01616,-0.07478
32,448,-0.15731,-0.07152,-0.04498
33,577,-0.07350,-0.10565,-0.08755
34,577,-0.15958,-0.08140,-0.25910
35,581,-0.07298,-0.07762,-0.21666
36,581,-0.00370,-0.07147,-0.18582
37,582,-0.03655,-0.11186,-0.13303
38,583,-0.20268,-0.07074,-0.25018
39,584,-0.18714,-0.00815,-0.33999
40,718,-0.12159,0.03019,-0.29699
41,718,-0.09493,0.00619,-0.24931
42,719,-0.11500,-0.00130,-0.22132
43,720,-0.09200,-0.02838,-0.17081
44,721,0.07249,-0.05083,-0.03274
45,722,0.01268,-0.08598,-0.05041
46,722,-0.21876,-0.06253,-0.23252
47,722,0.00155,-0.04143,-0.08836
48,838,0.28484,-0.10346,0.06916
49,838,0.13334,-0.07964,-0.13061
50,840,-0.05505,0.05582,-0.33027
