index,time,xAxis,yAxis,zAxis
0,12,-0.00074,-0.00430,0.03744
1,13,0.03224,-0.01595,-0.01695
2,50,0.02736,-0.01119,-0.01356
3,51,0.00782,-0.00270,-0.02649
4,208,-0.00469,-0.00216,-0.03995
5,210,-0.01001,-0.00173,0.03058
6,211,0.01545,-0.00607,0.06668
7,212,-0.00171,0.00296,0.01895
8,212,-0.02326,0.00862,-0.01611
9,212,-0.04050,0.02722,0.13565
10,213,-0.01051,0.02960,0.20859
11,214,0.03381,0.03462,0.19032
12,371,0.07864,0.03552,-0.05570
13,371,0.14735,-0.01224,-0.33694
14,372,0.12570,0.09809,-0.08349
15,373,0.14434,0.13633,0.17087
16,373,0.29528,-0.03322,0.08041
17,373,0.10176,-0.12821,-0.59706
18,374,0.19398,0.05535,-0.38227
19,374,0.31154,-0.01513,0.14605
20,495,0.01314,-0.11374,0.29821
21,496,-0.23653,-0.16135,0.02280
22,496,0.07501,-0.14628,0.04482
23,496,-0.09947,-0.04510,0.07182
24,497,-0.00922,-0.09550,0.30293
25,497,-0.06366,-0.14207,-0.35024
26,624,-0.03217,-0.16838,-0.30521
27,624,0.03681,-0.18005,-0.07218
28,625,-0.05029,-0.10338,0.21432
29,625,-0.08714,-0.17496,-0.03024
30,625,-0.12600,-0.06179,-0.12270
31,625,0.01490,-0.04630,-0.12474
32,639,0.18548,-0.03392,0.25044
33,763,0.10617,-0.08811,0.08153
34,764,0.05522,-0.16587,0.12620
35,764,0.10672,-0.18273,0.08376
36,764,0.35744,-0.23687,0.08733
37,765,0.30159,-0.14728,0.17932
38,765,0.34290,-0.14597,0.02150
39,770,0.34312,-0.04485,0.01251
40,897,0.26355,-0.07966,-0.07443
41,898,0.19677,-0.09500,-0.10489
42,898,0.15741,-0.11040,-0.08234
43,898,0.18378,-0.04141,0.02794
44,899,0.22833,-0.02062,-0.50457
45,899,0.11856,0.00696,-0.18007
46,1023,-0.00835,-0.07730,-0.15343
47,1024,-0.03326,-0.24634,-0.24001
48,1024,0.14382,-0.08762,-0.21234
49,1024,0.09942,0.11127,-0.21678
50,1025,-0.00490,0.19221,-0.19218
51,1025,-0.01486,0.09748,-0.19753
52,1029,0.09600,0.13584,-0.19086
53,1153,0.20970,0.14151,-0.28872
54,1153,0.26470,0.18513,-0.30290
55,1154,0.14609,0.10276,-0.18759
56,1154,-0.04417,0.07439,-0.26734
57,1154,0.03346,0.14707,-0.10911
58,1154,0.03146,0.00664,-0.01380
59,1287,-0.30631,0.13040,0.00772
60,1288,-0.20439,0.07461,0.01399
61,1288,0.03818,-0.17797,0.02683
62,1289,0.14781,-0.33939,0.04023
63,1289,0.01506,-0.34969,-0.09134
64,1290,-0.01766,-0.32978,0.08798
65,1290,-0.07667,0.26466,0.15012
66,1418,-0.28962,0.43531,0.13730
67,1418,-0.13944,0.05899,0.03635
68,1418,-0.00367,0.07065,-0.01626
69,1419,-0.04984,0.06434,-0.07086
70,1419,-0.12900,0.04521,-0.07545
71,1419,-0.05629,0.06432,-0.08382
72,1429,0.07380,-0.16901,0.34885
73,1547,0.13096,-0.23215,-0.12431
74,1547,0.18607,-0.19041,0.00687
75,1547,0.26769,-0.46504,0.17280
76,1548,0.08594,-0.32043,-0.09942
77,1548,0.00308,-0.18755,-0.06703
78,1549,-0.06633,-0.50810,0.17309
79,1679,0.07202,0.51602,0.29952
80,1679,-0.50527,3.31635,0.37565
81,1680,-0.06961,0.40624,-0.74707
82,1680,-0.02754,-0.44271,0.03715
83,1680,0.09523,-0.13840,-0.03439
84,1680,0.13873,-0.37340,-0.11038
85,1811,0.00153,-0.53482,0.00864
86,1812,0.02624,-0.12921,-0.22137
87,1812,0.06321,-0.04865,-0.01605
88,1813,-0.02292,-0.11240,0.02156
89,1813,-0.02146,-0.06022,-0.01090
90,1813,0.02192,-0.01065,-0.03686
91,1813,0.00659,-0.01946,-0.02011
