index,time,xAxis,yAxis,zAxis
0,30,0.00226,0.00078,0.00196
1,30,-0.00444,0.00062,0.00157
2,33,-0.00356,0.00050,-0.00187
3,34,-0.00284,0.00040,-0.00150
4,34,0.00085,0.00266,-0.00120
5,81,-0.00245,-0.00334,-0.00096
6,81,0.00429,-0.00267,-0.00077
7,89,0.00344,0.00333,0.00251
8,90,-0.00038,0.00579,0.00435
9,90,-0.00343,0.00151,-0.00199
10,183,0.00038,0.00121,0.00154
11,183,0.00343,-0.00450,0.00123
12,184,0.00275,-0.00360,0.00098
13,185,0.00220,0.00024,-0.00859
14,185,-0.00449,0.00019,-0.00375
15,322,-0.00047,0.00250,0.00013
16,322,-0.00038,-0.00034,0.00323
17,327,-0.00030,-0.00028,0.00258
18,328,0.00288,-0.00022,0.00207
19,328,-0.00082,-0.00330,0.00165
20,404,-0.00378,-0.00264,-0.00180
21,405,-0.00537,0.00101,-0.00457
22,408,0.00118,0.00315,0.00494
23,408,0.00407,0.00018,0.00395
24,409,0.00013,0.00014,-0.00231
25,476,0.00323,0.00011,-0.00185
26,479,0.00258,0.00009,0.00165
27,482,0.00207,0.00007,0.00132
28,482,-0.00147,-0.00307,0.00106
29,483,-0.00665,-0.00245,0.00084
30,574,-0.00297,-0.00196,0.00068
31,575,-0.00472,-0.00469,0.00054
32,579,-0.00143,-0.00376,-0.00269
33,580,0.00823,0.00325,0.00331
34,580,0.00658,0.00260,0.01203
35,671,0.00527,0.00442,0.00962
36,673,-0.01063,-0.00193,-0.01027
37,678,-0.00850,-0.00780,-0.00822
38,680,-0.00134,-0.00311,0.00827
39,760,-0.00341,0.00376,0.00974
40,761,-0.00585,0.00301,-0.01018
41,761,-0.01406,0.00475,-0.00189
42,762,-0.00187,0.01943,0.01958
43,764,0.00163,0.01554,0.01566
44,870,0.00365,0.00618,-0.00622
45,871,0.00292,0.00182,-0.01044
46,873,0.01171,-0.00167,-0.00835
47,875,0.00624,-0.00133,-0.00668
48,875,-0.00126,-0.00654,-0.00847
49,959,0.00524,-0.00835,-0.00365
50,960,0.00107,-0.01293,-0.00292
51,960,0.00086,-0.01035,-0.00234
52,963,-0.00478,-0.00828,-0.01125
53,970,0.00477,-0.00662,-0.00587
54,1112,0.00069,0.00095,0.00702
55,1113,-0.00492,0.00076,0.00874
56,1113,-0.00393,0.00061,0.00387
