index,time,xAxis,yAxis,zAxis
0,19,0.00448,0.00029,-0.01022
1,20,0.00159,-0.00024,-0.00798
2,26,0.00197,-0.00218,0.00759
3,67,0.00825,-0.00642,0.00138
4,74,-0.00405,0.00241,-0.00988
5,172,-0.00668,0.00528,-0.00663
6,173,-0.00228,0.00622,-0.00024
7,173,0.00520,-0.00057,0.00280
8,173,-0.00026,-0.00148,0.00424
9,174,-0.00414,0.00037,0.00620
10,184,-0.00256,0.00080,0.00646
11,277,0.00131,-0.00061,0.00048
12,279,0.00560,-0.00049,0.00038
13,280,0.00555,-0.00236,0.00031
14,301,-0.00097,0.00121,-0.00401
15,302,-0.00631,0.00140,-0.00608
16,312,0.00005,0.00040,-0.00289
17,376,0.00236,0.00064,0.01137
18,378,-0.00047,0.00088,-0.00903
19,379,-0.00097,-0.00129,-0.01423
20,389,-0.00038,-0.00213,0.00460
21,460,0.00371,-0.00037,0.01166
22,462,0.00441,0.00211,0.00501
23,463,-0.00262,0.00640,-0.00878
24,468,-0.00117,0.00605,-0.00871
25,555,0.00057,0.00484,0.00106
26,557,0.00364,0.00154,0.01203
27,558,0.00536,-0.00195,0.01272
28,560,0.00653,-0.00105,0.01494
29,651,-0.00104,0.00188,-0.00600
30,653,-0.02180,0.01438,-0.05429
31,654,-0.01256,0.01555,-0.01877
32,655,0.00935,0.00332,0.05544
33,659,0.00653,-0.00510,0.02929
34,674,-0.04969,0.01183,-0.04316
35,749,-0.03562,0.01197,-0.03623
36,749,0.00408,-0.00515,0.01556
37,750,-0.00683,-0.00823,-0.00361
38,751,-0.00135,-0.00910,-0.03163
39,848,0.01427,-0.01127,-0.01049
40,850,0.01853,-0.00632,0.03043
41,851,0.02146,-0.00834,0.02139
42,852,0.01977,-0.00728,0.00193
43,853,0.01533,-0.00031,0.00915
44,947,0.01769,0.00147,0.01232
45,948,0.01160,0.00200,0.01068
46,948,-0.00145,0.00486,0.01683
47,949,0.00291,0.00241,0.02690
48,956,0.01069,-0.00325,0.00253
49,1053,0.00654,-0.00059,-0.02402
50,1055,0.00006,0.00439,-0.03060
51,1058,-0.00516,0.00829,-0.00947
52,1059,-0.00118,0.00537,0.00356
53,1060,-0.00233,0.00195,-0.01171
54,1102,-0.00807,0.00542,-0.01670
55,1103,-0.00447,0.00235,-0.01174
56,1155,-0.00430,0.00170,-0.01449
57,1157,-0.00475,0.00604,-0.01424
58,1163,-0.01361,0.00905,-0.00876
59,1263,-0.01424,0.00604,0.00238
60,1265,-0.00905,-0.00065,0.00916
61,1266,0.00027,-0.00811,0.00517
62,1268,0.00821,-0.00632,-0.01515
63,1269,0.00057,-0.00364,-0.03395
64,1272,-0.00163,0.00782,-0.00417
65,1363,-0.00546,-0.00251,0.05244
66,1365,-0.00320,0.00346,-0.01786
67,1366,-0.00955,-0.00022,-0.07916
68,1370,-0.03426,0.00985,-0.09044
69,1382,-0.07936,0.05500,-0.07228
70,1456,-0.05557,0.05260,-0.03952
71,1458,-0.04408,0.00289,0.00032
72,1458,-0.05113,-0.01546,0.01249
73,1461,-0.12888,-0.02636,0.01120
74,1565,-0.10819,0.01756,0.01051
75,1567,-0.10538,0.06053,0.00141
76,1568,-0.08174,0.06886,-0.13562
77,1570,-0.03643,-0.02008,-0.15768
78,1571,-0.10484,-0.16925,-0.08163
79,1572,-0.07675,-0.01033,0.12264
80,1681,-0.24123,-0.00647,0.14496
81,1684,-0.26083,0.04103,0.06359
82,1685,-0.14646,0.08458,0.02905
83,1686,-0.21723,0.04520,-0.18547
84,1688,-0.20457,0.16594,-0.35763
85,1698,-0.06015,0.19931,-0.37107
86,1765,-0.05117,0.10203,-0.15309
87,1766,-0.06978,-0.00721,-0.11959
88,1769,-0.01659,0.01111,-0.04117
89,1848,-0.10208,0.03724,0.02261
90,1862,-0.16022,0.04796,0.14565
91,1864,-0.15063,-0.01453,0.19424
92,1864,-0.13344,-0.02156,0.08828
93,1865,0.03551,-0.01124,-0.17971
94,1935,0.04532,-0.01424,-0.47906
95,1936,0.03279,0.13331,-0.59350
96,1938,0.11191,0.18374,-0.45245
97,1940,0.13216,-0.06690,-0.02236
98,2029,0.12732,-0.18176,0.13204
99,2030,-0.11911,0.02066,-0.10043
100,2031,-0.37247,0.07193,-0.04140
101,2032,-0.19342,-0.03894,-0.00574
102,2044,-0.07062,-0.00180,-0.09888
103,2135,-0.03692,0.04790,-0.11094
104,2138,-0.04859,0.06909,-0.07736
105,2139,-0.03958,0.00711,0.00571
106,2140,-0.05223,-0.02413,0.04291
107,2147,-0.04128,-0.01581,0.02259
108,2223,0.04204,0.00580,-0.03522
109,2224,0.05773,0.03071,-0.05531
110,2224,0.04897,0.01123,-0.02991
111,2225,0.01659,-0.00855,-0.00949
112,2309,0.00127,0.01485,-0.01509
113,2309,-0.01497,0.04452,0.00733
114,2310,0.01127,0.04313,0.09444
115,2310,0.03949,0.01744,0.12726
116,2427,0.04733,0.00583,0.05763
117,2428,0.04219,0.00844,-0.01395
118,2429,-0.00537,0.02163,-0.04399
119,2430,-0.05615,0.00336,-0.04607
120,2432,-0.04646,-0.01291,-0.05452
121,2433,-0.01522,-0.00221,-0.03530
122,2442,0.00200,-0.00172,0.00262
123,2516,0.01039,0.00811,0.01552
124,2518,0.00183,0.03090,0.01339
125,2519,0.00461,0.04028,-0.00281
126,2532,-0.00667,0.05832,-0.02372
127,2621,-0.01896,0.06075,-0.03102
128,2623,0.02731,0.02528,-0.01510
129,2624,0.05541,0.03771,0.00463
130,2625,0.03392,0.03315,0.05117
131,2628,-0.00944,-0.00143,0.04084
132,2643,-0.01297,-0.03064,0.00292
133,2746,0.00990,-0.04615,-0.02100
134,2748,0.02838,-0.04948,-0.01056
135,2748,0.04553,-0.07000,0.02100
136,2749,0.06803,-0.11324,0.02615
137,2753,0.14491,-0.15688,-0.01257
138,2856,0.15122,-0.10276,-0.01845
139,2858,0.11100,-0.05455,0.06269
140,2858,0.10202,-0.06213,0.13832
141,2859,0.10654,-0.04391,0.11229
142,2859,0.04986,0.02704,0.08335
143,2866,-0.01329,0.02760,0.06506
144,2964,-0.03513,-0.01852,0.02696
145,2966,-0.04062,0.00871,-0.01151
146,2967,-0.06224,0.02692,0.05356
147,2968,-0.05224,0.02279,0.10709
148,2988,-0.03881,0.03470,0.09873
149,2990,-0.04627,0.04629,0.09950
150,3070,-0.04712,0.06295,0.12653
151,3071,-0.05467,0.03665,0.16078
152,3074,-0.05007,0.03955,0.12082
153,3077,-0.00666,0.01440,0.07276
154,3084,0.07415,-0.03158,0.01214
155,3154,0.08969,-0.03741,-0.02266
156,3154,0.00198,-0.02310,-0.05358
157,3154,-0.10207,-0.02972,-0.14009
158,3239,-0.12371,-0.06428,-0.23671
159,3240,-0.07457,-0.12194,-0.28046
160,3241,-0.06289,-0.16604,-0.24355
161,3241,-0.10164,-0.14814,-0.19807
162,3328,-0.10475,-0.10407,-0.16441
163,3329,-0.04027,-0.04690,-0.11767
164,3329,0.03631,-0.09165,-0.08479
165,3330,-0.01708,-0.06357,-0.13239
166,3336,-0.15821,0.00198,-0.15600
167,3424,-0.16546,0.02237,-0.05714
168,3425,-0.07296,0.00764,0.09119
169,3425,-0.02797,0.03136,0.14807
170,3426,-0.05740,0.01739,0.09027
171,3431,-0.05031,-0.02312,0.03655
172,3450,0.09699,-0.07525,0.02835
173,3546,0.09760,0.02525,-0.05584
174,3547,-0.08752,-0.10284,0.02031
175,3548,-0.35636,-0.21524,0.11286
176,3549,-0.20180,-0.11377,-0.09485
177,3559,0.17657,-0.16349,-0.25936
178,3652,0.03554,-0.08222,-0.25552
179,3654,-0.24041,-0.12798,-0.06490
180,3656,-0.36687,-0.14980,0.09895
181,3657,-0.15578,-0.11692,0.04576
182,3658,0.00292,-0.02003,-0.03132
183,3671,0.14240,-0.04308,-0.11078
184,3763,0.30236,-0.15893,-0.13277
185,3766,0.00171,-0.12293,-0.07447
186,3768,-0.18314,-0.07897,-0.17583
187,3768,-0.21173,-0.07932,-0.17464
188,3778,0.07339,-0.13986,-0.13365
189,3862,0.11767,-0.12471,-0.11360
190,3865,0.12964,-0.08302,-0.08031
191,3866,0.20732,-0.08539,-0.11021
192,3868,0.12392,-0.05762,-0.20772
193,3872,-0.00208,0.05592,-0.12266
194,3954,0.00540,0.10945,0.03362
195,3959,-0.01848,0.07505,0.09118
196,3959,-0.02090,0.02849,0.07961
197,3962,0.21780,0.02699,-0.05200
198,4038,0.27864,-0.05704,-0.08490
199,4039,-0.10576,0.10148,-0.00248
200,4039,-0.23187,0.15936,0.12959
201,4040,-0.04542,0.06567,0.20308
202,4132,0.08879,0.02304,0.03409
203,4134,0.12136,0.06353,0.00138
204,4135,0.06996,0.05376,-0.03673
205,4136,-0.03214,-0.01869,-0.06178
206,4140,-0.16393,0.00648,-0.01390
207,4156,-0.23798,0.07463,0.01295
208,4230,-0.22637,0.04325,0.01228
209,4231,-0.11970,-0.02310,-0.03667
210,4232,0.00995,-0.02819,-0.01699
211,4237,0.14571,0.07925,0.08417
212,4323,0.23401,0.17648,0.21078
213,4325,0.31410,0.19441,0.31300
214,4326,0.35261,0.17372,0.35504
215,4327,0.28639,0.07806,0.22386
216,4408,0.07183,0.08284,0.12745
217,4410,-0.05869,0.09316,0.09491
218,4411,-0.04543,0.13860,0.08992
219,4412,-0.01822,0.11960,0.10228
220,4494,-0.10715,0.02322,0.04304
221,4496,-0.11698,0.01616,0.05156
222,4498,-0.10013,0.12112,0.03735
223,4503,-0.05254,0.25386,-0.11966
224,4503,0.06343,0.09794,0.09631
