index,time,xAxis,yAxis,zAxis
0,25,0.00407,-0.00035,-0.00758
1,26,0.00013,-0.00028,-0.00372
2,28,-0.00224,0.00290,-0.00297
3,28,0.00368,-0.00081,0.00075
4,29,-0.00018,-0.00064,-0.00253
5,72,-0.00249,-0.00052,-0.00202
6,73,-0.00199,-0.00041,-0.00396
7,77,-0.00159,-0.00033,0.00230
8,86,0.00732,-0.00339,-0.00675
9,87,-0.00899,-0.00271,-0.00228
10,178,0.00453,0.00408,0.00365
11,179,0.00362,0.00326,0.00292
12,179,-0.00257,0.00574,-0.00314
13,181,-0.00831,0.00146,-0.00563
14,183,0.00195,0.00117,0.00409
15,308,0.00156,0.00094,0.00014
16,309,0.00437,0.00075,0.00324
17,317,0.00350,0.00372,-0.00053
18,322,-0.00892,-0.00327,-0.00043
19,324,-0.00401,-0.00262,-0.00268
20,392,-0.00321,-0.00209,0.00020
21,395,0.00056,0.00145,-0.00219
22,402,0.00279,0.00116,-0.00175
23,403,0.00536,0.00093,-0.00140
24,404,0.00741,0.00074,-0.00112
25,470,-0.00579,0.00059,-0.00090
26,472,-0.01088,0.00360,-0.00384
27,476,0.00301,0.00288,0.00005
28,477,0.00241,0.00230,0.00004
29,478,0.00505,-0.00128,0.00238
30,565,-0.00455,-0.00103,-0.00357
31,568,0.00183,0.00230,-0.00285
32,569,-0.00088,-0.00128,0.00084
33,573,-0.00383,0.00210,-0.00558
34,573,-0.00619,-0.00145,-0.00759
35,662,0.00989,0.00822,-0.01857
36,665,0.03291,0.00033,0.02186
37,667,0.02008,-0.00286,0.03858
38,672,-0.02378,-0.00542,0.01602
39,673,-0.05574,-0.00746,-0.03015
40,754,-0.07506,-0.02706,-0.05146
41,756,-0.03896,-0.02477,-0.00758
42,756,-0.07960,-0.01982,-0.00606
43,759,-0.07618,-0.00960,-0.00485
44,760,-0.05782,-0.01393,-0.01950
45,861,-0.06110,-0.00490,-0.04607
46,862,-0.07076,-0.01329,-0.05795
47,864,-0.03473,-0.02626,-0.05261
48,871,-0.04028,-0.01788,-0.02334
49,871,-0.08145,-0.01118,-0.04055
50,954,-0.06750,0.00043,-0.04416
51,954,-0.07588,-0.00278,-0.05407
52,955,-0.06070,-0.00222,-0.04013
53,958,-0.04856,-0.01740,-0.02898
54,959,-0.05682,-0.01080,-0.01381
55,1108,-0.04233,-0.01411,-0.01417
56,1108,-0.04949,-0.00894,-0.01134
57,1109,-0.05131,-0.01575,-0.01845
58,1111,-0.06605,-0.01260,-0.02101
59,1112,-0.04659,-0.02258,-0.02227
60,1165,-0.04352,-0.02431,-0.01548
61,1168,-0.04966,-0.01320,-0.01238
62,1171,-0.03660,-0.01681,0.00572
63,1173,-0.02616,-0.01345,0.00770
64,1174,-0.01858,-0.01388,-0.00946
65,1279,-0.03596,-0.01658,-0.02866
66,1279,-0.03189,-0.01639,-0.01356
67,1280,-0.03176,-0.01311,-0.00772
68,1284,-0.01916,-0.01361,-0.00618
69,1285,-0.02470,-0.01714,-0.02994
70,1382,-0.03148,-0.01371,-0.04192
71,1383,-0.01581,-0.00784,-0.03354
72,1385,-0.00405,-0.00628,-0.02683
73,1391,-0.01496,-0.00502,-0.03084
74,1392,-0.00025,0.00223,-0.01217
75,1464,-0.00645,0.00179,0.01448
76,1464,-0.02625,0.00690,-0.00013
77,1465,-0.03585,-0.00933,-0.02511
78,1468,-0.03493,-0.00746,-0.04430
79,1468,0.02987,-0.00284,-0.01747
80,1583,0.03640,-0.02337,0.00790
81,1584,-0.03807,-0.02182,0.01569
82,1585,-0.02421,-0.02371,0.03365
83,1589,0.06267,-0.04318,0.01442
84,1589,0.08373,-0.03455,-0.04628
85,1693,-0.00646,-0.02217,-0.04015
