index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150601,-1.000,-1.000,0.124,1433169362
2,20150601,-1.000,-1.000,0.055,1433169363
3,20150601,-1.000,-1.000,0.011,1433169364
4,20150601,-1.000,-1.000,0.003,1433169365
5,20150601,0.122,0.114,0.005,1433169366
6,20150601,0.032,0.061,0.001,1433169367
7,20150601,0.007,0.026,0.007,1433169368
8,20150601,0.003,0.007,0.003,1433169369
9,20150601,0.001,0.005,0.002,1433169370
10,20150601,0.001,0.005,0.002,1433169371
11,20150601,0.004,0.092,0.005,1433169372
12,20150601,0.002,0.029,0.002,1433169373
13,20150601,0.001,0.012,0.002,1433169374
14,20150601,0.001,0.002,0.001,1433169375
15,20150601,0.001,0.003,0.002,1433169376
16,20150601,0.011,0.051,0.037,1433169377
17,20150601,0.132,0.068,0.089,1433169378
18,20150601,0.077,0.039,0.070,1433169379
19,20150601,0.076,0.059,0.085,1433169380
20,20150601,0.034,0.065,0.085,1433169381
21,20150601,0.015,0.063,0.065,1433169382
22,20150601,0.015,0.039,0.062,1433169383
23,20150601,0.012,0.047,0.032,1433169384
24,20150601,0.011,0.037,0.025,1433169385
25,20150601,0.019,0.058,0.039,1433169386
26,20150601,0.053,0.071,0.078,1433169387
27,20150601,0.082,0.056,0.079,1433169388
28,20150601,0.061,0.044,0.030,1433169389
29,20150601,0.025,0.059,0.067,1433169390
30,20150601,0.070,0.075,0.054,1433169391
31,20150601,0.097,0.121,0.030,1433169392
32,20150601,0.066,0.128,0.017,1433169393
33,20150601,0.005,0.020,0.003,1433169394
34,20150601,0.002,0.005,0.001,1433169395
35,20150601,0.001,0.002,0.001,1433169396
36,20150601,0.003,0.002,0.000,1433169397
37,20150601,0.006,0.004,0.000,1433169398
38,20150601,0.001,0.001,0.000,1433169399
39,20150601,0.000,0.000,0.000,1433169400
40,20150601,0.003,0.007,0.003,1433169401
41,20150601,0.051,0.060,0.022,1433169402
42,20150601,0.108,0.100,0.052,1433169403
43,20150601,0.060,0.047,0.020,1433169404
44,20150601,0.104,0.103,0.044,1433169405
45,20150601,0.057,0.110,0.031,1433169406
46,20150601,0.089,0.034,0.053,1433169407
47,20150601,0.094,0.062,0.040,1433169408
48,20150601,0.065,0.086,0.040,1433169409
49,20150601,0.121,0.067,0.044,1433169410
50,20150601,0.068,0.092,0.064,1433169411
51,20150601,0.104,0.058,0.064,1433169412
52,20150601,0.097,0.082,0.117,1433169413
53,20150601,0.092,0.149,0.088,1433169414
54,20150601,0.050,0.138,0.024,1433169415
55,20150601,0.076,0.160,0.035,1433169416
56,20150601,0.115,0.186,0.039,1433169417
57,20150601,0.071,0.068,0.030,1433169418
58,20150601,0.022,0.031,0.007,1433169419
59,20150601,0.036,0.084,0.007,1433169420
60,20150601,0.043,0.051,0.042,1433169421
61,20150601,0.013,0.016,0.009,1433169422
62,20150601,0.003,0.002,0.004,1433169423
63,20150601,0.001,0.001,0.001,1433169424
