TrackingID; Time; MidSpineX; MidSpineY; MidSpineZ; LeftWristX; LeftWristY; LeftWristZ; RightWristX; RightWristY; RightWristZ
1;18-6-2015 19.35.17.3023;0.394592;-0.249089;2.159627;0.2360759;-0.1575886;2.095131;0.8991323;-0.3418972;2.019291
1;18-6-2015 19.35.17.3355;0.3968107;-0.2509326;2.161063;0.2356629;-0.1570935;2.09719;0.8998961;-0.3433185;2.020983
1;18-6-2015 19.35.17.3689;0.3966461;-0.2536467;2.164596;0.2369064;-0.1565014;2.098346;0.9131216;-0.3598586;2.018824
1;18-6-2015 19.35.17.4024;0.3925533;-0.2527666;2.164546;0.2369172;-0.155885;2.097725;0.9132298;-0.3601019;2.018334
1;18-6-2015 19.35.17.4357;0.3915309;-0.2542868;2.163766;0.235987;-0.1538758;2.096828;0.9130937;-0.3600891;2.017967
1;18-6-2015 19.35.17.4690;0.3915105;-0.254761;2.163701;0.2371944;-0.1521202;2.099581;0.9132205;-0.360058;2.017657
1;18-6-2015 19.35.17.5025;0.3916739;-0.2547098;2.163738;0.2366912;-0.1488075;2.100909;0.9076303;-0.3406732;2.020023
1;18-6-2015 19.35.17.5349;0.3902431;-0.2536418;2.163888;0.2259233;-0.1396685;2.129482;0.8993658;-0.3491923;2.034792
1;18-6-2015 19.35.17.5680;0.3902251;-0.2536708;2.163793;0.2247799;-0.1389156;2.127538;0.9107188;-0.3547968;2.012236
1;18-6-2015 19.35.17.6025;0.3901653;-0.2535487;2.163873;0.2169957;-0.1343973;2.135469;0.9071378;-0.3393527;2.01776
1;18-6-2015 19.35.17.6355;0.3893072;-0.253641;2.163289;0.2181811;-0.1330127;2.132819;0.9104286;-0.3358639;2.018614
1;18-6-2015 19.35.17.6686;0.3888899;-0.2539732;2.163571;0.2190196;-0.1322856;2.131375;0.9099522;-0.3356049;2.019231
1;18-6-2015 19.35.17.7032;0.3885569;-0.2541832;2.164806;0.2172389;-0.130139;2.13242;0.9100056;-0.3356174;2.021291
1;18-6-2015 19.35.17.7366;0.3886735;-0.2544644;2.165192;0.215321;-0.1325807;2.132602;0.9131725;-0.3540572;2.013208
1;18-6-2015 19.35.17.7700;0.388554;-0.2547897;2.166189;0.2235652;-0.1340792;2.128286;0.9023545;-0.3400315;2.031345
1;18-6-2015 19.35.17.8022;0.3895125;-0.2501137;2.171598;0.2143129;-0.1317019;2.142479;0.8993913;-0.3319241;2.027933
1;18-6-2015 19.35.17.8357;0.3899504;-0.2489178;2.174135;0.2114553;-0.1330319;2.141606;0.8834317;-0.3427761;2.044176
1;18-6-2015 19.35.17.8685;0.3877149;-0.2497141;2.174206;0.2093726;-0.1331636;2.139093;0.874366;-0.3410484;2.046045
1;18-6-2015 19.35.17.9032;0.3830397;-0.2510082;2.177016;0.2082576;-0.1364806;2.13612;0.8466528;-0.320945;2.057541
1;18-6-2015 19.35.17.9355;0.3803663;-0.2531286;2.17971;0.2058235;-0.1410457;2.132886;0.8305498;-0.3269247;2.074785
1;18-6-2015 19.35.17.9690;0.3769539;-0.2557247;2.18278;0.1999056;-0.1419983;2.127287;0.8317423;-0.3348696;2.074195
1;18-6-2015 19.35.18.0033;0.3690993;-0.2606438;2.186826;0.1969399;-0.1466632;2.127298;0.8129092;-0.3355259;2.088419
1;18-6-2015 19.35.18.0355;0.3676509;-0.264417;2.192744;0.1943553;-0.1546038;2.126111;0.8015513;-0.3680743;2.055512
1;18-6-2015 19.35.18.0684;0.3594557;-0.2664239;2.204699;0.1719682;-0.1642056;2.128965;0.7542464;-0.3241186;2.136271
1;18-6-2015 19.35.18.1032;0.3414064;-0.2689729;2.207327;0.1530399;-0.1817284;2.135039;0.6974797;-0.346342;2.165408
1;18-6-2015 19.35.18.1363;0.3202617;-0.2674423;2.211211;0.1357633;-0.1780727;2.148353;0.6749611;-0.3372736;2.148006
1;18-6-2015 19.35.18.1685;0.3009351;-0.2689514;2.220895;0.1112876;-0.2560229;2.138689;0.645804;-0.3353119;2.184201
1;18-6-2015 19.35.18.2027;0.2727117;-0.2604593;2.260688;0.1000209;-0.2560201;2.14249;0.6084887;-0.3379128;2.184697
1;18-6-2015 19.35.18.2363;0.2703808;-0.2800659;2.280116;0.06178954;-0.2149415;2.158269;0.54933;-0.342695;2.195192
1;18-6-2015 19.35.18.2694;0.2322621;-0.2777565;2.298797;0.03224192;-0.2040518;2.190051;0.5177091;-0.3351727;2.210153
1;18-6-2015 19.35.18.3024;0.2161029;-0.2806491;2.315215;0.01159531;-0.2106645;2.190632;0.4626197;-0.3387521;2.231651
1;18-6-2015 19.35.18.3358;0.1864442;-0.2842096;2.335344;-0.02024073;-0.2233863;2.204771;0.4287916;-0.3358075;2.245325
1;18-6-2015 19.35.18.3679;0.1355209;-0.2843839;2.356596;-0.0438439;-0.2247625;2.211871;0.3766154;-0.3386807;2.272282
1;18-6-2015 19.35.18.4025;0.1261213;-0.2835473;2.365389;-0.0682532;-0.2238761;2.229316;0.3376659;-0.3355392;2.307308
1;18-6-2015 19.35.18.4357;0.09993088;-0.283872;2.361112;-0.09706851;-0.2226846;2.242702;0.3165068;-0.3290782;2.31989
1;18-6-2015 19.35.18.4688;0.06925021;-0.2735363;2.339762;-0.1093536;-0.2238488;2.247473;0.2858862;-0.3187233;2.338621
1;18-6-2015 19.35.18.5023;0.04633125;-0.2449776;2.395759;-0.1314619;-0.2568214;2.266292;0.244341;-0.2941529;2.367479
1;18-6-2015 19.35.18.5359;0.03752616;-0.2458686;2.406372;-0.156711;-0.2044003;2.29302;0.2397732;-0.2954662;2.371705
1;18-6-2015 19.35.18.5683;0.03050384;-0.2440462;2.409859;-0.1663103;-0.1949645;2.301226;0.2276961;-0.2881048;2.375475
1;18-6-2015 19.35.18.6027;0.03100306;-0.2344341;2.428574;-0.1753068;-0.1906966;2.314479;0.2061592;-0.2871796;2.38878
1;18-6-2015 19.35.18.6358;0.0154186;-0.2285413;2.438776;-0.1792876;-0.1905978;2.316859;0.1932954;-0.2791649;2.394053
1;18-6-2015 19.35.18.6689;-0.01946167;-0.2147316;2.44134;-0.1867523;-0.1996268;2.322619;0.1734548;-0.2656961;2.409083
1;18-6-2015 19.35.18.7030;-0.02604307;-0.2134661;2.448821;-0.2122248;-0.1746216;2.359419;0.1614216;-0.2579157;2.418395
1;18-6-2015 19.35.18.7354;-0.03210206;-0.2076954;2.461792;-0.214276;-0.1748697;2.363107;0.1532588;-0.2515835;2.429471
1;18-6-2015 19.35.18.7689;-0.0294827;-0.2072106;2.476902;-0.2195947;-0.1808319;2.367811;0.1469202;-0.2474968;2.434287
1;18-6-2015 19.35.18.8029;-0.03795555;-0.2042958;2.489431;-0.2274256;-0.1802545;2.384748;0.1391722;-0.2487189;2.446583
1;18-6-2015 19.35.18.8362;-0.0506069;-0.2024834;2.502528;-0.2324278;-0.1845568;2.391563;0.1329535;-0.2483098;2.457844
1;18-6-2015 19.35.18.8696;-0.05433919;-0.2026745;2.515409;-0.2384555;-0.164941;2.4282;0.1230119;-0.2551421;2.477039
1;18-6-2015 19.35.18.9029;-0.05414177;-0.2017827;2.526793;-0.2468468;-0.1781174;2.431574;0.1196641;-0.2555932;2.481448
1;18-6-2015 19.35.18.9360;-0.06357841;-0.2019122;2.538522;-0.2474177;-0.1817834;2.433268;0.1136186;-0.254656;2.489955
1;18-6-2015 19.35.18.9684;-0.06656441;-0.2040334;2.557564;-0.2573016;-0.1617258;2.46493;0.1135601;-0.250982;2.501781
1;18-6-2015 19.35.19.0029;-0.07265397;-0.2041386;2.571905;-0.2574672;-0.158861;2.469833;0.1112031;-0.2489623;2.515247
1;18-6-2015 19.35.19.0363;-0.07059997;-0.2028331;2.575979;-0.2619941;-0.1473694;2.492928;0.1057592;-0.2532919;2.528174
1;18-6-2015 19.35.19.1027;-0.07158019;-0.2022738;2.584345;-0.2710862;-0.1494481;2.519089;0.09954608;-0.2544286;2.544484
1;18-6-2015 19.35.19.1357;-0.07183011;-0.201731;2.58852;-0.2770871;-0.1552559;2.534324;0.09390152;-0.2575386;2.5611
1;18-6-2015 19.35.19.1689;-0.07451519;-0.2020692;2.594451;-0.2875605;-0.148549;2.555408;0.08689421;-0.2275259;2.562972
1;18-6-2015 19.35.19.2033;-0.07571054;-0.2013743;2.587399;-0.2952233;-0.1373123;2.568382;0.08894601;-0.2560203;2.575469
1;18-6-2015 19.35.19.2356;-0.08365941;-0.1739758;2.663145;-0.2990258;-0.1752772;2.575654;0.08483225;-0.2009201;2.60361
1;18-6-2015 19.35.19.2690;-0.08965807;-0.183898;2.659683;-0.3018973;-0.1615244;2.583721;0.07835233;-0.2593732;2.607487
1;18-6-2015 19.35.19.3025;-0.09949628;-0.180083;2.641617;-0.3041435;-0.156588;2.585808;0.07404143;-0.1827268;2.613737
1;18-6-2015 19.35.19.3363;-0.1020833;-0.1790936;2.640059;-0.3070757;-0.1548304;2.588082;0.06503499;-0.2013417;2.613379
1;18-6-2015 19.35.19.3696;-0.1054779;-0.1780355;2.64034;-0.3239103;-0.1442701;2.603653;0.05514512;-0.1825773;2.626182
1;18-6-2015 19.35.19.4037;-0.1134096;-0.1765822;2.638334;-0.327285;-0.167998;2.60127;0.05334227;-0.1833214;2.625
1;18-6-2015 19.35.19.4354;-0.1213377;-0.1747557;2.641583;-0.3297022;-0.1700568;2.604225;0.04942898;-0.1813515;2.625013
1;18-6-2015 19.35.19.4683;-0.1292628;-0.1721142;2.644343;-0.334558;-0.1718886;2.606614;0.04063456;-0.1811597;2.62759
1;18-6-2015 19.35.19.5025;-0.1419733;-0.1722909;2.645218;-0.3384322;-0.1743288;2.607447;0.03100836;-0.1887766;2.627436
1;18-6-2015 19.35.19.5356;-0.1466938;-0.1693851;2.648713;-0.3452343;-0.175077;2.611287;0.02629068;-0.1975204;2.629908
1;18-6-2015 19.35.19.5681;-0.1530768;-0.168482;2.652375;-0.3636099;-0.1470371;2.619388;0.02220552;-0.1998563;2.631465
1;18-6-2015 19.35.19.6027;-0.1584383;-0.1667743;2.656536;-0.3657598;-0.146378;2.621196;0.0150434;-0.2004909;2.636094
1;18-6-2015 19.35.19.6358;-0.1622895;-0.1658697;2.65771;-0.3720097;-0.1393778;2.626951;0.009330782;-0.2025225;2.63703
1;18-6-2015 19.35.19.6681;-0.1646232;-0.1658489;2.657771;-0.3702912;-0.1615444;2.615404;0.003966821;-0.2047986;2.638303
1;18-6-2015 19.35.19.7029;-0.1680186;-0.1657953;2.658469;-0.38255;-0.1340581;2.624959;-0.003279821;-0.2023018;2.642128
1;18-6-2015 19.35.19.7682;-0.1716227;-0.1649115;2.661145;-0.38432;-0.1305448;2.625154;-0.006323894;-0.2027192;2.644124
1;18-6-2015 19.35.19.8025;-0.1753221;-0.1644036;2.664332;-0.3869058;-0.1271621;2.625689;-0.006890017;-0.2028546;2.644685
1;18-6-2015 19.35.19.8359;-0.1783442;-0.1633286;2.66593;-0.3921162;-0.1217831;2.62369;-0.01345185;-0.2066176;2.640625
1;18-6-2015 19.35.19.8682;-0.1817439;-0.1619886;2.669221;-0.3925315;-0.1217365;2.625211;0.0227559;-0.2479457;2.618473
1;18-6-2015 19.35.19.9028;-0.1846195;-0.1611078;2.670387;-0.3950022;-0.1187102;2.622037;0.05791612;-0.2520635;2.586259
1;18-6-2015 19.35.19.9361;-0.1904062;-0.1609172;2.672;-0.3975039;-0.1177281;2.613237;0.08554858;-0.229931;2.550858
1;18-6-2015 19.35.19.9685;-0.1927196;-0.1596505;2.673408;-0.3991402;-0.1114704;2.61394;0.1275034;-0.1900267;2.521569
1;18-6-2015 19.35.20.0038;-0.1944911;-0.1589783;2.674279;-0.4002237;-0.1056698;2.614369;0.1383142;-0.1146682;2.521594
1;18-6-2015 19.35.20.0379;-0.1969336;-0.159086;2.675556;-0.4032459;-0.09629656;2.613111;0.1749317;-0.05221874;2.48029
1;18-6-2015 19.35.20.0683;-0.1974839;-0.158474;2.675861;-0.402576;-0.09191484;2.609088;0.1764041;-0.007597139;2.498157
1;18-6-2015 19.35.20.1028;-0.1977032;-0.1586402;2.67625;-0.4020381;-0.08643662;2.595693;0.2028275;0.03571902;2.472751
1;18-6-2015 19.35.20.1362;-0.1981918;-0.1584122;2.677798;-0.4186322;-0.08889703;2.606931;0.2030353;0.07180029;2.486436
1;18-6-2015 19.35.20.1685;-0.197818;-0.157793;2.678551;-0.4158072;-0.09606445;2.607195;0.2106766;0.09878292;2.477446
1;18-6-2015 19.35.20.2030;-0.197729;-0.1576876;2.678561;-0.3638626;-0.05615757;2.572256;0.2337759;0.1562792;2.422312
1;18-6-2015 19.35.20.2355;-0.1974862;-0.1573739;2.678432;-0.3619299;-0.05159609;2.568522;0.2353912;0.1480675;2.433415
1;18-6-2015 19.35.20.2685;-0.1964958;-0.1568906;2.67835;-0.3583985;-0.04781701;2.562441;0.2366167;0.1745193;2.420092
1;18-6-2015 19.35.20.3028;-0.1962331;-0.1568978;2.67857;-0.3053429;-0.01812199;2.494173;0.2369701;0.1753187;2.420152
1;18-6-2015 19.35.20.3360;-0.1952994;-0.1566135;2.678852;-0.3032551;-0.01594158;2.494768;0.2368841;0.1735365;2.421434
1;18-6-2015 19.35.20.3682;-0.1951984;-0.156582;2.678931;-0.3007213;-0.01418529;2.49438;0.2203917;0.1511047;2.449227
1;18-6-2015 19.35.20.4029;-0.1946732;-0.1565002;2.678384;-0.2995236;-0.01440538;2.493043;0.216072;0.1286161;2.452167
1;18-6-2015 19.35.20.4360;-0.1931524;-0.1585116;2.675597;-0.2972291;-0.01376754;2.488856;0.2055964;0.08117083;2.479084
1;18-6-2015 19.35.20.4684;-0.1921267;-0.1588924;2.675155;-0.2923455;-0.002902748;2.484495;0.2035141;0.04350913;2.480366
1;18-6-2015 19.35.20.5038;-0.1903612;-0.1585139;2.674558;-0.2927964;-0.005144614;2.484145;0.2006114;-0.008998644;2.48252
1;18-6-2015 19.35.20.5568;-0.1897703;-0.1585302;2.67433;-0.2894895;-0.001151047;2.482179;0.1873857;-0.04088126;2.478914
1;18-6-2015 19.35.20.5769;-0.1882314;-0.1571165;2.671808;-0.2898343;-0.00219511;2.481566;0.1796004;-0.1104997;2.490328
1;18-6-2015 19.35.20.6042;-0.1863393;-0.1565204;2.670817;-0.2852448;0.002180166;2.479646;0.1464432;-0.1375844;2.508068
1;18-6-2015 19.35.20.6376;-0.1846602;-0.156143;2.670311;-0.2826528;0.003482483;2.479305;0.1287259;-0.2013184;2.539143
1;18-6-2015 19.35.20.6707;-0.1823069;-0.1557256;2.668098;-0.2827618;-0.003158753;2.478343;0.08444234;-0.190391;2.562593
1;18-6-2015 19.35.20.7050;-0.1804169;-0.1566929;2.666096;-0.2817089;-0.004878871;2.477477;0.06923494;-0.2306082;2.58662
1;18-6-2015 19.35.20.7372;-0.1777618;-0.1578919;2.664691;-0.263438;-0.04421413;2.481129;0.02685662;-0.2169532;2.624059
1;18-6-2015 19.35.20.7705;-0.1739062;-0.1590332;2.659791;-0.2625692;-0.04512701;2.478375;0.01624335;-0.2283208;2.622588
1;18-6-2015 19.35.20.8049;-0.1736747;-0.1589678;2.65987;-0.2612498;-0.04860756;2.480016;0.01327571;-0.2194009;2.635621
1;18-6-2015 19.35.20.8380;-0.1731191;-0.1594111;2.659176;-0.2603027;-0.05063781;2.477045;0.009931237;-0.2221591;2.635971
1;18-6-2015 19.35.20.8704;-0.1721067;-0.1590646;2.658222;-0.2601127;-0.05140896;2.476908;0.01008774;-0.2190208;2.63808
1;18-6-2015 19.35.20.9046;-0.1710343;-0.1590691;2.657187;-0.2588554;-0.05902601;2.479199;0.008857164;-0.2182061;2.637862
1;18-6-2015 19.35.20.9376;-0.1711394;-0.1595188;2.657065;-0.2591124;-0.05738316;2.478066;0.0074327;-0.216481;2.638477
1;18-6-2015 19.35.20.9710;-0.1709905;-0.1596233;2.656962;-0.2588884;-0.05737141;2.477328;0.007675217;-0.2137868;2.637619
1;18-6-2015 19.35.21.0052;-0.1716035;-0.1598353;2.65587;-0.2599434;-0.05732301;2.47614;0.002441875;-0.2086975;2.634168
1;18-6-2015 19.35.21.0362;-0.171421;-0.1599732;2.654982;-0.2589372;-0.05851265;2.476846;0.003327032;-0.2242442;2.628979
1;18-6-2015 19.35.21.0687;-0.1705827;-0.1599654;2.653014;-0.2593813;-0.06110367;2.477339;0.0008830365;-0.2061166;2.630179
1;18-6-2015 19.35.21.1030;-0.1706532;-0.1597567;2.653558;-0.269195;-0.06394801;2.479127;0.0008410673;-0.2092023;2.632925
1;18-6-2015 19.35.21.1372;-0.1705938;-0.159496;2.653745;-0.3014042;-0.05750218;2.542145;0.001730882;-0.2093896;2.633494
1;18-6-2015 19.35.21.1687;-0.1703602;-0.1591548;2.65368;-0.2978119;-0.06639653;2.512605;0.005520747;-0.2157608;2.63135
1;18-6-2015 19.35.21.2033;-0.1697345;-0.1589619;2.653982;-0.2977583;-0.06650484;2.512137;0.006030074;-0.2162101;2.631188
1;18-6-2015 19.35.21.2357;-0.1661485;-0.1579103;2.658258;-0.3001967;-0.05982496;2.549178;0.01624066;-0.1945091;2.64012
1;18-6-2015 19.35.21.2688;-0.1646648;-0.1575972;2.659948;-0.3017358;-0.06044352;2.554351;0.01986688;-0.2338962;2.629193
1;18-6-2015 19.35.21.3026;-0.1622302;-0.157067;2.661372;-0.3011959;-0.06257478;2.554468;0.02531648;-0.2190169;2.626324
