index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150602,0.112,-1.000,0.092,1433245809
2,20150602,0.063,0.075,0.040,1433245810
3,20150602,0.010,0.019,0.007,1433245811
4,20150602,0.002,0.003,0.001,1433245812
5,20150602,0.001,0.001,0.000,1433245813
6,20150602,0.141,0.000,0.000,1433245814
7,20150602,0.165,0.000,0.000,1433245815
8,20150602,0.234,0.000,0.000,1433245816
9,20150602,0.059,0.000,0.000,1433245817
10,20150602,0.020,0.000,0.000,1433245818
11,20150602,0.023,0.000,0.000,1433245819
12,20150602,0.017,0.000,0.000,1433245820
13,20150602,0.002,0.000,0.000,1433245821
14,20150602,0.234,0.000,0.000,1433245822
15,20150602,0.143,0.000,0.000,1433245823
16,20150602,0.108,0.000,0.000,1433245824
17,20150602,0.090,0.000,0.000,1433245825
18,20150602,0.099,0.000,0.000,1433245826
19,20150602,0.097,0.001,0.000,1433245827
20,20150602,0.166,0.207,0.000,1433245828
21,20150602,0.106,0.100,0.000,1433245829
22,20150602,0.046,0.060,0.000,1433245830
23,20150602,0.033,0.034,0.000,1433245831
24,20150602,0.044,0.071,0.000,1433245832
25,20150602,0.125,0.135,0.049,1433245833
26,20150602,0.047,0.088,0.048,1433245834
27,20150602,0.071,0.066,0.065,1433245835
28,20150602,0.059,0.088,0.062,1433245836
29,20150602,0.067,0.085,0.047,1433245837
30,20150602,0.075,0.046,0.062,1433245838
31,20150602,0.083,0.115,0.135,1433245839
32,20150602,0.065,0.063,0.054,1433245840
33,20150602,0.036,0.036,0.035,1433245841
34,20150602,0.038,0.054,0.056,1433245842
35,20150602,0.042,0.055,0.079,1433245843
36,20150602,0.026,0.029,0.047,1433245844
37,20150602,0.028,0.037,0.067,1433245845
38,20150602,0.023,0.060,0.055,1433245846
39,20150602,0.087,0.070,0.063,1433245847
40,20150602,0.099,0.074,0.031,1433245848
41,20150602,0.165,0.070,0.011,1433245849
42,20150602,0.094,0.125,0.016,1433245850
43,20150602,0.043,0.077,0.006,1433245851
44,20150602,0.100,0.108,0.013,1433245852
45,20150602,0.099,0.068,0.018,1433245853
46,20150602,0.085,0.081,0.016,1433245854
47,20150602,0.053,0.070,0.036,1433245855
48,20150602,0.030,0.160,0.037,1433245856
49,20150602,0.038,0.134,0.051,1433245857
50,20150602,0.034,0.111,0.048,1433245858
51,20150602,0.032,0.187,0.047,1433245859
52,20150602,0.031,0.078,0.047,1433245860
53,20150602,0.034,0.145,0.042,1433245861
54,20150602,0.025,0.079,0.038,1433245862
55,20150602,0.025,0.175,0.041,1433245863
56,20150602,0.069,0.066,0.021,1433245864
57,20150602,0.053,0.036,0.015,1433245865
58,20150602,0.084,0.094,0.012,1433245866
59,20150602,0.082,0.048,0.027,1433245867
60,20150602,0.109,0.091,0.031,1433245868
61,20150602,0.110,0.138,0.038,1433245869
62,20150602,0.095,0.134,0.041,1433245870
63,20150602,0.017,0.055,0.010,1433245871
64,20150602,0.013,0.051,0.016,1433245872
65,20150602,0.007,0.044,0.009,1433245873
66,20150602,0.024,0.168,0.030,1433245874
67,20150602,0.047,0.053,0.038,1433245875
68,20150602,0.042,0.056,0.021,1433245876
69,20150602,0.051,0.124,0.035,1433245877
70,20150602,0.122,0.104,0.049,1433245878
71,20150602,0.109,0.080,0.023,1433245879
72,20150602,0.048,0.028,0.007,1433245880
73,20150602,0.044,0.032,0.003,1433245881
74,20150602,0.128,0.113,0.013,1433245882
75,20150602,0.103,0.034,0.022,1433245883
76,20150602,0.142,0.063,0.023,1433245884
77,20150602,0.114,0.052,0.023,1433245885
78,20150602,0.093,0.040,0.063,1433245886
79,20150602,0.127,0.011,0.024,1433245887
80,20150602,0.069,0.038,0.014,1433245888
81,20150602,0.068,0.073,0.006,1433245889
82,20150602,0.024,0.041,0.020,1433245890
83,20150602,0.021,0.054,0.011,1433245891
84,20150602,0.131,0.097,0.051,1433245892
85,20150602,0.068,0.133,0.026,1433245893
86,20150602,0.111,0.039,0.011,1433245894
87,20150602,0.086,0.143,0.029,1433245895
88,20150602,0.042,0.090,0.032,1433245896
89,20150602,0.038,0.056,0.024,1433245897
90,20150602,0.018,0.102,0.036,1433245898
91,20150602,0.029,0.035,0.012,1433245899
92,20150602,0.194,0.017,0.007,1433245900
93,20150602,0.102,0.005,0.002,1433245901
94,20150602,0.091,0.002,0.001,1433245902
95,20150602,0.074,0.014,0.006,1433245903
96,20150602,0.133,0.118,0.033,1433245904
97,20150602,0.062,0.068,0.024,1433245905
98,20150602,0.108,0.056,0.044,1433245906
99,20150602,0.079,0.055,0.023,1433245907
100,20150602,0.014,0.048,0.013,1433245908
101,20150602,0.004,0.055,0.006,1433245909
102,20150602,0.003,0.032,0.002,1433245910
103,20150602,0.001,0.013,0.001,1433245911
104,20150602,0.012,0.111,0.008,1433245912
105,20150602,0.027,0.078,0.028,1433245913
106,20150602,0.045,0.075,0.056,1433245914
107,20150602,0.030,0.051,0.023,1433245915
108,20150602,0.116,0.046,0.044,1433245916
109,20150602,0.155,0.022,0.020,1433245917
110,20150602,0.149,0.029,0.011,1433245918
111,20150602,0.049,0.011,0.006,1433245919
112,20150602,0.030,0.009,0.007,1433245920
113,20150602,0.065,0.011,0.010,1433245921
114,20150602,0.034,0.007,0.005,1433245922
115,20150602,0.034,0.006,0.004,1433245923
116,20150602,0.061,0.049,0.013,1433245924
117,20150602,0.043,0.141,0.011,1433245925
118,20150602,0.047,0.059,0.010,1433245926
119,20150602,0.025,0.149,0.008,1433245927
120,20150602,0.007,0.102,0.007,1433245928
121,20150602,0.003,0.018,0.002,1433245929
122,20150602,0.014,0.041,0.008,1433245930
123,20150602,0.067,0.136,0.036,1433245931
124,20150602,0.205,0.151,0.037,1433245932
125,20150602,0.190,0.184,0.043,1433245933
126,20150602,0.147,0.129,0.047,1433245934
127,20150602,0.068,0.126,0.019,1433245935
128,20150602,0.013,0.106,0.008,1433245936
129,20150602,0.088,0.125,0.016,1433245937
130,20150602,0.076,0.061,0.034,1433245938
131,20150602,0.054,0.028,0.019,1433245939
132,20150602,0.032,0.043,0.014,1433245940
133,20150602,0.026,0.035,0.011,1433245941
134,20150602,0.122,0.099,0.032,1433245942
135,20150602,0.088,0.120,0.028,1433245943
136,20150602,0.089,0.092,0.058,1433245944
137,20150602,0.076,0.058,0.055,1433245945
138,20150602,0.035,0.045,0.011,1433245946
139,20150602,0.033,0.129,0.002,1433245947
140,20150602,0.023,0.064,0.007,1433245948
141,20150602,0.009,0.056,0.005,1433245949
142,20150602,0.009,0.071,0.005,1433245950
143,20150602,0.027,0.051,0.075,1433245951
144,20150602,0.056,0.087,0.033,1433245952
145,20150602,0.024,0.084,0.024,1433245953
146,20150602,0.028,0.040,0.029,1433245954
147,20150602,0.055,0.081,0.015,1433245955
148,20150602,0.040,0.102,0.014,1433245956
149,20150602,0.058,0.123,0.038,1433245957
150,20150602,0.071,0.092,0.048,1433245958
151,20150602,0.076,0.108,0.042,1433245959
