index,time,xAxis,yAxis,zAxis
0,30,-0.00176,0.00715,0.03087
1,33,0.00484,0.00572,0.01532
2,34,0.01012,0.00145,-0.00649
3,77,0.02060,-0.00509,-0.00207
4,77,0.01023,0.00218,-0.00165
5,80,0.00506,0.00174,0.00493
6,80,-0.00533,0.00452,0.00394
7,81,-0.00426,0.00049,0.00003
8,168,-0.00653,-0.00273,-0.01482
9,169,-0.00210,-0.00531,-0.01811
10,171,0.00144,0.00200,-0.00824
11,172,-0.00510,-0.00152,-0.01284
12,175,-0.00095,-0.00122,0.00457
13,279,-0.00701,0.00527,0.00053
14,279,0.00377,0.00734,0.00043
15,281,-0.00011,0.00275,-0.00513
16,282,0.00304,-0.00717,-0.00723
17,283,0.00555,-0.00261,-0.00266
18,427,0.00757,-0.00209,0.00100
19,427,-0.00332,0.00145,0.00080
20,429,-0.00266,0.00116,-0.00249
21,429,0.00725,-0.00220,-0.00824
22,430,0.00580,0.00449,-0.00972
23,434,0.00464,0.00047,-0.00465
24,434,0.00371,0.00975,0.00566
25,531,-0.00641,0.00468,0.00999
26,531,0.00113,0.00687,-0.00060
27,532,-0.00847,-0.00076,-0.01610
28,535,0.00572,0.00252,-0.00976
29,536,0.01083,0.00202,0.00469
30,586,0.00241,0.00474,0.00688
31,586,-0.01057,0.00066,0.00550
32,673,-0.00533,0.00366,-0.00185
33,677,0.00511,-0.00332,-0.00773
34,678,0.01893,-0.00578,-0.00931
35,682,0.00030,0.00162,0.00193
36,683,-0.00601,-0.00183,0.00779
37,683,-0.00793,0.00479,0.00311
38,765,-0.00010,-0.00554,-0.00689
39,767,0.00617,0.00181,-0.00863
40,768,0.00181,-0.00480,-0.01316
41,769,0.00770,0.00554,0.00510
42,769,-0.00634,0.00443,0.00408
43,846,-0.00195,0.00354,0.00014
44,846,0.00157,-0.00029,-0.00614
45,848,0.00125,0.00289,-0.00179
46,849,0.00413,-0.00081,-0.00143
47,849,0.00018,-0.01002,-0.00114
48,948,-0.01236,0.00448,0.00221
49,949,-0.00676,0.00358,-0.00136
50,951,0.01334,0.00287,-0.00421
51,953,0.00442,-0.00083,-0.00962
52,953,-0.00271,-0.00066,-0.00457
53,1031,-0.00217,0.00259,0.00572
