index,time,xAxis,yAxis,zAxis
0,20,0.00198,0.00502,-0.05283
1,22,0.01073,-0.00343,-0.02767
2,23,0.01011,-0.00956,0.01166
3,69,0.00748,-0.01063,0.03806
4,70,-0.00347,0.00192,0.01505
5,82,-0.00914,0.00920,0.00534
6,157,0.00217,-0.00004,-0.00017
7,158,-0.01070,0.00580,0.01251
8,158,-0.00111,-0.00009,0.01976
9,161,0.00642,-0.00962,0.01471
10,260,0.00021,-0.00427,0.01602
11,263,0.00110,-0.00195,-0.00263
12,264,-0.00015,0.00230,-0.01512
13,266,0.00688,0.00144,-0.01429
14,272,0.01210,-0.00938,0.00729
15,398,0.01555,-0.00996,0.00945
16,399,0.01101,-0.00740,0.00186
17,402,-0.00456,-0.00163,-0.00405
18,411,-0.00609,-0.00021,-0.00279
19,415,-0.00355,-0.00217,-0.00112
20,416,0.01178,-0.01036,0.00176
21,416,0.01081,-0.01208,0.00932
22,428,-0.00067,-0.00226,-0.00168
23,494,-0.00716,0.00419,-0.01489
24,496,-0.01226,0.00482,-0.00328
25,497,-0.00105,-0.00394,-0.00037
26,514,0.00760,-0.00950,0.00950
27,525,0.01056,-0.00533,0.00435
28,578,-0.00951,0.00655,-0.00260
29,579,-0.01623,0.01211,-0.01295
30,585,-0.00198,0.00469,-0.01236
31,660,0.01179,-0.00737,0.01853
32,663,0.00991,-0.01036,0.03271
33,665,-0.00047,-0.00151,0.00817
34,666,0.00113,0.00442,-0.02014
35,748,-0.00734,0.00703,-0.01295
36,750,0.00764,-0.00995,0.00582
37,751,0.01075,-0.01044,0.00450
38,752,-0.00353,-0.00300,0.01779
39,832,-0.00916,-0.00044,0.02005
40,837,0.00402,0.00030,-0.01465
41,838,0.00372,0.00514,-0.02182
42,838,0.00819,-0.00110,-0.01178
43,938,0.00950,-0.00767,0.01125
44,939,-0.00776,-0.00102,0.02440
45,939,-0.01217,0.00586,0.00033
46,940,-0.00583,0.00678,-0.01777
47,940,0.00935,-0.00376,-0.00844
48,949,0.01430,-0.01090,0.00528
49,1022,0.00121,-0.00688,0.01238
50,1024,-0.00567,-0.00183,0.00253
51,1024,-0.00100,-0.00178,-0.00982
52,1027,0.00520,-0.00542,-0.00021
53,1109,0.01290,-0.01123,0.00882
54,1112,0.00426,-0.00493,0.01100
55,1115,-0.00668,0.00510,0.00206
56,1118,-0.00781,0.01208,-0.01173
57,1209,-0.00391,0.00856,-0.00596
58,1210,0.00705,0.00206,0.00445
59,1211,0.01458,-0.00382,0.00530
60,1211,-0.00356,0.00121,0.00581
61,1216,-0.01733,0.00721,0.00489
62,1328,-0.00536,0.00227,-0.00647
63,1330,0.01506,-0.00879,-0.00806
64,1331,0.01360,-0.01325,0.01227
65,1333,-0.00078,-0.00691,0.00199
66,1334,-0.01539,0.00438,-0.01043
67,1335,-0.00743,0.00703,-0.01140
68,1438,0.01154,-0.00634,-0.00021
69,1439,0.01243,-0.00867,0.00423
70,1440,-0.00027,-0.00073,-0.00330
71,1441,-0.00282,0.01186,-0.01181
72,1455,-0.00550,0.00639,0.00274
73,1455,0.00057,-0.00185,0.01524
74,1521,0.00504,-0.00665,0.01310
75,1522,-0.00489,-0.00100,0.00573
76,1523,-0.01602,0.00710,-0.00460
77,1533,-0.00209,0.00218,-0.00826
78,1626,-0.00194,-0.00265,0.00555
79,1627,0.00292,-0.00660,0.00549
80,1628,0.00560,-0.00763,-0.00123
81,1630,-0.00760,0.00394,-0.00964
82,1643,-0.00678,0.00854,-0.01776
83,1745,0.00527,-0.00052,-0.00635
84,1756,0.01113,-0.00750,0.00839
85,1761,0.00576,-0.00791,0.01471
86,1763,-0.00886,0.00427,0.01265
87,1764,-0.01210,0.01158,-0.00737
88,1764,0.00504,0.00293,-0.01355
89,1844,0.01692,-0.00411,-0.00194
90,1844,0.00750,-0.00498,0.01841
91,1845,-0.01000,0.00103,0.01461
92,1846,-0.00517,0.00392,-0.00555
93,1862,0.00614,-0.00519,-0.01435
94,1930,0.00087,-0.00438,-0.00747
95,1932,-0.00258,-0.00347,-0.00555
96,1934,-0.00132,-0.00195,-0.00318
97,1944,-0.00255,-0.00056,0.00095
98,2019,-0.00804,0.00355,0.00688
99,2020,-0.00147,0.00409,-0.00145
100,2022,0.01123,-0.00503,-0.01713
101,2023,0.00551,-0.00327,-0.01359
102,2035,-0.01133,0.00181,0.01554
103,2115,-0.01068,-0.00166,0.02879
104,2116,0.00398,-0.00660,0.01173
105,2118,0.00060,-0.00926,0.00824
106,2119,-0.01586,0.00047,0.00012
107,2199,-0.01047,0.00156,-0.00923
108,2200,-0.00298,-0.00015,-0.00456
109,2200,0.00266,-0.00220,0.00203
110,2201,0.01843,-0.00870,-0.00037
111,2312,0.01530,-0.00247,-0.00662
112,2314,0.01649,0.00178,-0.01860
113,2315,0.01989,-0.00458,-0.00627
114,2316,0.01304,-0.00506,0.01575
115,2317,0.00843,-0.01100,0.02471
116,2319,-0.00198,-0.00895,0.03871
117,2335,-0.00780,-0.00037,0.02441
118,2420,-0.01347,0.00614,-0.01621
119,2422,-0.01253,0.00867,-0.02507
120,2426,-0.00517,0.00179,-0.00605
121,2434,-0.01120,-0.00293,0.01966
122,2445,-0.01377,0.00102,0.00782
123,2509,-0.00769,0.00792,-0.01818
124,2515,0.00047,0.00836,-0.02259
125,2516,0.00959,-0.00173,-0.00986
126,2530,0.00904,-0.00802,0.00902
127,2541,0.00187,-0.00691,0.00785
128,2594,-0.01152,-0.00254,0.00530
129,2595,-0.01531,-0.00088,-0.00337
130,2602,-0.02512,0.00758,0.01742
131,2683,-0.00064,0.00108,0.00272
132,2684,0.00646,0.00366,-0.01944
133,2690,-0.01030,0.01339,-0.01444
134,2691,0.00178,0.00076,-0.00756
135,2698,0.00942,-0.00540,0.00652
136,2809,0.00838,-0.00945,0.01099
