index,time,xAxis,yAxis,zAxis
0,25,-0.03428,0.01146,-0.03871
1,28,-0.04227,0.01229,-0.04581
2,71,-0.02522,0.01608,-0.05540
3,72,-0.02877,0.00974,-0.09588
4,72,-0.06286,0.01092,-0.09467
5,75,-0.08076,0.00561,-0.04527
6,75,-0.08648,0.00761,-0.02137
7,160,-0.05981,0.00609,0.00165
8,161,-0.04160,0.00487,0.00132
9,163,-0.05125,0.01874,-0.03254
10,166,-0.04100,0.00874,-0.02603
11,167,-0.02108,0.01324,-0.05129
12,269,-0.05358,0.01060,-0.06291
13,271,-0.04599,0.00848,0.00202
14,274,-0.05789,0.00366,0.01958
15,276,-0.02522,0.01230,-0.00230
16,278,-0.00142,0.00047,0.00128
17,419,0.00199,0.00662,0.00337
18,420,-0.01091,0.00530,-0.01527
19,421,0.00377,0.00424,-0.02159
20,424,-0.00948,0.00027,-0.01102
21,424,-0.02243,0.00646,-0.01507
22,426,-0.00623,0.00204,-0.02377
23,428,-0.01436,-0.00149,-0.02214
24,428,-0.02008,-0.00119,-0.01459
25,517,-0.02544,-0.00095,-0.01480
26,524,-0.00472,-0.00389,0.00613
27,529,-0.00378,-0.00936,0.00803
28,530,-0.00302,-0.00436,0.00330
29,531,-0.02429,0.00276,-0.01220
30,581,-0.00381,-0.00404,-0.00976
31,581,0.00555,-0.00323,0.00078
32,583,0.00209,-0.00571,0.00688
33,583,-0.01083,-0.00144,0.00238
34,583,0.00384,0.00509,-0.00669
35,677,-0.00630,-0.00530,0.00949
36,678,-0.00817,-0.00111,0.00447
37,756,-0.00341,-0.00636,0.00357
38,757,0.00352,-0.00509,-0.00339
39,759,-0.00656,-0.00173,-0.00506
40,763,-0.00525,-0.00138,0.01705
41,764,-0.00732,-0.00345,0.00739
42,840,0.00039,-0.00042,-0.00659
43,841,0.00656,-0.00033,-0.00762
44,841,0.00213,0.00286,-0.00609
45,843,-0.00455,-0.00084,-0.00253
46,843,-0.00676,-0.00301,0.00423
47,942,0.00084,-0.00554,-0.00287
48,943,0.00380,-0.00130,-0.00776
49,943,-0.00634,0.00130,-0.00621
50,947,-0.00820,0.00104,0.00362
51,948,-0.00031,0.00396,-0.00257
52,1025,0.00600,0.00629,-0.00831
53,1026,-0.00770,0.00191,-0.00664
54,1026,-0.00303,0.00153,-0.00532
55,1029,-0.00243,0.00122,0.00200
56,1029,-0.00507,0.00098,0.00160
57,1121,-0.00405,0.00391,-0.00497
58,1133,-0.00637,0.00000,-0.01335
59,1134,-0.00822,-0.00312,-0.00131
60,1213,0.00280,-0.00250,0.00755
61,1213,0.00537,0.00113,0.00369
62,1216,-0.00196,0.00715,-0.01579
63,1216,-0.00157,0.00572,-0.01264
64,1338,-0.00438,-0.00167,0.00239
65,1339,-0.00038,-0.00446,0.01676
66,1346,-0.00655,-0.00045,0.00481
67,1349,-0.01384,0.00589,-0.01490
68,1350,0.01003,-0.00154,-0.00255
69,1354,0.02052,-0.00435,0.01281
70,1355,0.00079,-0.00895,0.01025
71,1355,0.00688,-0.00404,0.02070
72,1457,-0.00074,-0.00323,-0.00141
73,1457,-0.00372,-0.00024,-0.01050
74,1460,0.01265,0.00606,-0.00215
75,1460,0.00074,0.00172,0.00140
76,1461,-0.00878,-0.00175,0.00659
77,1525,-0.00702,-0.00374,0.00215
78,1526,-0.00874,0.00248,-0.00688
79,1540,0.01175,0.00511,-0.00550
80,1542,0.00003,0.00408,-0.00440
81,1545,-0.01248,0.00639,-0.02227
82,1633,-0.00373,-0.00426,0.00093
83,1634,0.00951,-0.00341,0.00700
84,1640,-0.00176,-0.00273,-0.00065
85,1641,-0.01625,0.00719,-0.02240
86,1648,-0.03175,0.00263,-0.02104
87,1766,-0.01290,-0.00415,0.01442
88,1767,-0.01345,-0.00566,0.02013
89,1770,-0.01076,0.00094,0.00751
90,1771,0.00936,0.00075,0.00601
91,1772,0.02312,0.00060,0.00480
92,1849,0.02162,0.00361,-0.01491
93,1852,-0.01318,0.00289,-0.02130
94,1858,0.00118,0.00231,0.00171
95,1859,0.01032,0.00810,-0.00801
96,1861,-0.01909,0.00648,-0.03687
97,1864,-0.02777,0.00518,-0.03262
98,1864,-0.03081,0.00102,-0.01985
99,1949,-0.04340,-0.00543,-0.01588
100,1949,-0.04722,0.00190,-0.02833
101,1950,-0.02840,0.00465,-0.04063
102,2027,-0.05006,0.00997,-0.04188
103,2030,-0.04318,0.00485,0.00009
104,2035,0.00843,-0.01175,0.03992
105,2036,-0.02060,0.00935,0.01631
106,2037,0.05383,0.02858,0.00445
107,2122,0.12197,0.00177,-0.01831
108,2125,0.04914,-0.01734,-0.04199
109,2129,-0.06147,-0.01074,-0.03672
110,2131,-0.06168,-0.01406,-0.03250
111,2133,-0.00012,-0.01125,-0.01350
112,2203,0.02725,-0.00041,-0.07486
113,2204,-0.03055,0.02155,-0.12083
114,2207,-0.10959,0.03208,-0.12401
115,2208,-0.12439,0.04129,-0.10858
116,2208,-0.11748,0.04788,-0.14155
117,2322,-0.08539,0.03830,-0.15934
118,2324,-0.10503,0.04627,-0.20091
119,2331,-0.10512,0.04561,-0.21541
120,2335,-0.11144,0.02477,-0.22077
121,2337,-0.07118,0.01044,-0.22271
122,2429,-0.05070,0.00210,-0.20551
123,2430,-0.01634,-0.01004,-0.17691
124,2439,-0.02166,-0.02366,-0.17512
