index,time,xAxis,yAxis,zAxis
0,24,-0.02497,-0.02778,-0.00757
1,24,0.01362,-0.00035,0.01269
2,25,0.04449,-0.03153,-0.02344
3,26,-0.01050,-0.00022,-0.02813
4,27,0.02519,0.01467,0.01109
5,27,-0.00719,0.00861,-0.03410
6,29,0.00050,0.00376,-0.01790
7,30,0.01837,0.00613,0.00755
8,30,0.05141,-0.01931,-0.04005
9,31,0.04738,-0.01232,-0.04767
10,82,0.00118,-0.00048,-0.03188
11,96,0.02517,0.00821,-0.00129
12,98,0.02951,0.01906,-0.02525
13,309,0.02048,0.00588,-0.03504
14,310,0.00076,0.02345,0.00868
15,310,-0.02674,0.01876,0.04289
16,314,-0.00889,0.00876,0.06243
17,315,0.00773,0.04060,0.03745
18,315,-0.04850,0.01998,0.01199
19,425,-0.03880,0.00973,0.04318
20,428,-0.02167,0.01091,0.04627
21,428,-0.05093,0.01498,0.04639
22,429,-0.01340,-0.04895,0.04883
23,430,0.06272,-0.04854,0.08516
24,546,-0.01701,-0.01696,0.11422
25,548,0.07467,-0.14481,0.04841
26,549,0.16677,-0.00960,0.05435
27,549,0.00529,-0.01002,-0.06043
28,669,-0.16686,0.15370,-0.15537
29,670,-0.06318,0.12296,-0.10867
30,670,0.07758,0.13196,-0.08459
31,672,0.26363,0.28213,0.09170
32,673,0.04293,0.45461,-0.10398
33,793,-0.10628,0.25978,-0.35506
34,794,0.11029,0.19298,-0.32077
35,794,-0.20474,0.36767,0.03401
36,795,-0.24582,0.33085,0.40533
37,796,-0.46853,0.20374,0.43442
38,796,-0.30451,0.01925,0.51160
39,929,-0.03892,0.13180,0.80928
40,930,0.24308,0.28825,1.01071
41,931,-0.04929,0.45014,0.53122
42,931,0.20120,0.48276,0.51638
43,933,0.06955,0.46199,0.55061
44,1057,0.06189,0.29381,0.51939
45,1060,-0.10283,0.29599,0.25692
46,1060,0.08492,0.32820,0.07429
47,1061,0.37966,0.09459,0.05318
48,1181,0.35216,0.01473,-0.05824
49,1183,0.26376,-0.15618,-0.00050
50,1184,0.07663,-0.57651,-0.09493
51,1184,0.01834,-1.32449,-0.34469
52,1307,-1.39470,-0.83693,-1.38044
53,1308,-0.23686,-0.04689,-1.00982
54,1308,0.73161,0.09608,-0.24926
55,1309,1.49779,0.17452,0.56309
56,1440,0.23104,0.09743,0.59735
57,1441,0.69186,0.36466,0.44116
58,1441,0.31834,0.66985,0.27402
59,1446,-0.86564,0.67338,-0.16594
60,1446,-1.71752,0.64574,-0.40697
61,1447,-0.06776,0.29940,0.21427
62,1577,0.73563,0.12702,0.72063
63,1577,-0.53102,-0.39604,-0.14928
64,1578,-0.08341,-0.49652,-0.04051
65,1578,-0.05423,-0.44956,-0.15116
66,1579,-0.19026,-0.41746,-0.19749
67,1579,-0.10611,-0.37694,-0.06034
68,1705,-0.10911,0.02501,0.08298
69,1706,-0.03573,0.02626,0.08201
70,1708,0.04173,-0.01571,0.06561
71,1709,0.07635,0.01243,0.02749
72,1709,0.03921,0.02479,-0.01707
73,1838,-0.07254,0.01983,-0.04725
74,1839,-0.13069,0.01274,-0.01046
75,1839,-0.08971,-0.00153,-0.04196
76,1841,-0.06864,-0.00747,-0.07029
77,1965,-0.00022,-0.04895,-0.01639
78,1965,-0.02127,-0.01181,0.00486
79,1966,-0.00452,-0.02117,-0.00471
80,1972,0.02060,-0.02944,-0.06548
81,1974,0.01023,0.02567,-0.03364
82,2098,0.03553,0.09319,0.04653
83,2099,-0.07548,0.11752,-0.00575
84,2099,-0.14242,0.14246,-0.00147
85,2101,-0.07409,0.13584,0.09648
86,2104,0.07823,0.10555,0.15296
87,2105,0.01961,0.01412,-0.04169
88,2105,-0.14915,0.04489,-0.13101
89,2226,0.35333,-0.03440,0.08738
90,2227,0.19751,-0.07283,-0.01291
91,2228,0.07285,-0.11998,-0.03767
92,2230,0.15281,-0.11708,-0.08170
93,2230,0.10663,-0.02648,-0.05989
94,2363,0.18608,-0.06415,0.00756
95,2364,0.09105,-0.01460,-0.00333
96,2374,-0.08888,-0.00231,-0.01516
97,2492,-0.14454,0.06847,0.01834
98,2492,-0.02735,0.06962,0.07014
99,2492,-0.01563,0.06507,0.01627
100,2494,-0.16797,0.08565,-0.08152
101,2494,-0.19219,0.04743,0.05354
102,2495,-0.11703,0.00435,0.07330
103,2496,-0.07878,-0.07621,0.00083
104,2496,-0.02943,-0.06409,-0.04778
105,2497,-0.19698,-0.12706,-0.15775
106,2632,-0.18884,-0.14149,-0.10433
107,2632,-0.07451,-0.17413,-0.02252
108,2633,0.01383,-0.16118,0.06714
109,2633,0.10247,-0.12894,0.10840
110,2634,0.15541,-0.10862,0.05937
111,2634,0.13605,-0.09315,0.02641
112,2639,0.15806,-0.08389,0.06409
113,2639,0.16942,-0.03977,0.11768
114,2640,0.26053,0.05100,0.16446
115,2765,0.06468,0.03767,0.10110
116,2774,-0.18342,0.00826,0.01994
117,2775,-0.03970,0.00114,0.04017
118,2776,0.08465,0.00091,0.04776
119,2776,0.16772,-0.02739,0.02258
120,2895,0.06777,-0.02192,0.00635
121,2895,-0.15360,-0.02066,-0.01367
122,2897,-0.30569,-0.03449,-0.05625
123,2897,0.04529,-0.00338,0.00344
124,3032,0.14873,0.05277,0.00588
125,3033,-0.10992,0.09065,0.00470
126,3033,0.20503,0.13658,0.35454
127,3034,0.09371,0.07255,0.12504
128,3037,0.17575,0.03069,0.05472
129,3037,0.08279,0.05502,0.03753
130,3038,0.20998,0.07449,0.10580
131,3157,0.15548,0.04162,0.05417
