index,time,xAxis,yAxis,zAxis
0,17,-0.05211,0.05678,-0.02573
1,21,0.00053,-0.05621,0.03101
2,71,-0.10434,0.03946,0.07641
3,71,-0.04282,0.02688,-0.00142
4,90,0.02672,-0.03166,-0.06055
5,283,-0.03178,0.01533,-0.02811
6,284,-0.05201,0.02008,-0.04438
7,285,-0.08069,0.03170,-0.04332
8,286,-0.06925,0.03005,-0.07687
9,286,-0.05071,0.01310,-0.02710
10,287,-0.01086,0.00891,0.02210
11,287,-0.04152,0.09313,0.02237
12,288,0.11532,-0.05371,0.05698
13,288,0.18920,-0.03202,-0.03572
14,289,0.29521,-0.16634,-0.09737
15,302,0.33780,-0.16903,0.01748
16,417,-0.53187,0.41984,0.04995
17,417,0.20775,-0.11131,-0.31184
18,418,0.06457,-0.10781,0.00539
19,418,-0.04685,0.05604,0.05747
20,418,0.11418,-0.15062,-0.09005
21,421,0.32744,-0.13926,0.12340
22,538,0.18065,-0.03948,0.30980
23,539,-0.21979,0.07630,0.04458
24,539,-0.07264,0.15173,-0.17385
25,539,0.07948,0.07291,-0.11719
26,540,0.23402,0.09273,-0.09532
27,541,0.21223,-0.01338,-0.01528
28,660,0.05564,-0.08106,-0.00597
29,661,0.08986,-0.16648,0.11718
30,661,0.07814,-0.39430,0.08437
31,661,0.11567,-0.34515,0.06437
32,662,-0.02316,-0.25736,0.09371
33,662,-0.07638,-0.23872,0.09060
34,785,0.00613,-0.27541,0.10532
35,785,0.09871,-0.19218,0.09051
36,786,0.06334,-0.08495,0.06459
37,786,0.06005,-0.05232,0.08294
38,786,0.04335,-0.04186,0.08668
39,787,0.08784,-0.10072,0.02087
40,920,0.13907,-0.15094,0.05110
41,921,0.08155,-0.08010,0.02368
42,922,0.00426,-0.00153,-0.02640
43,922,-0.01066,-0.00592,-0.08366
44,922,0.00554,0.01716,-0.04660
45,922,0.00600,0.03405,-0.05448
46,923,0.01887,0.01004,-0.05766
47,1042,0.04793,0.00334,-0.09616
48,1043,0.08212,0.04176,-0.05973
49,1045,0.12824,0.01777,0.03196
50,1046,0.22768,-0.07803,0.02557
51,1046,0.18527,-0.06399,-0.01395
52,1046,0.18105,-0.09028,-0.02366
53,1173,0.12139,-0.08786,-0.02831
54,1174,0.13307,-0.03276,-0.02734
55,1174,0.10333,-0.00119,-0.05002
56,1174,0.09986,0.02250,-0.11506
57,1175,0.09709,0.00080,-0.12801
58,1175,0.10269,-0.04001,-0.04143
59,1181,0.09466,-0.03514,-0.04096
