index,time,xAxis,yAxis,zAxis
0,20,0.00094,0.01619,-0.06384
1,20,-0.01174,-0.00268,-0.13936
2,23,-0.02736,-0.02011,-0.17320
3,23,-0.02189,-0.05593,-0.06200
4,24,-0.03861,-0.04162,-0.01601
5,25,0.03630,0.02139,-0.04640
6,26,-0.04752,0.03586,-0.14415
7,27,-0.03489,0.00994,-0.13016
8,27,-0.01541,-0.00689,-0.08616
9,27,0.03611,0.00699,-0.03846
10,92,0.01092,-0.00379,-0.03077
11,92,-0.02486,-0.01240,-0.02462
12,291,-0.06911,0.02680,-0.10797
13,306,-0.01544,0.06987,-0.14419
14,306,0.04858,0.07465,-0.05129
15,307,0.10605,0.04722,-0.00431
16,307,0.06375,0.08074,0.04811
17,308,0.03850,0.06772,0.02365
18,308,-0.09107,0.06902,-0.05765
19,309,-0.00880,0.05834,-0.02502
20,311,0.09062,0.00449,0.09014
21,312,0.01703,0.00359,0.05961
22,420,0.00190,0.02084,-0.03122
23,421,0.14449,-0.02942,0.01409
24,421,0.11559,-0.08135,0.01127
25,422,-0.00518,-0.07992,-0.03317
26,422,0.01148,-0.07019,-0.01169
27,424,0.23184,-0.22100,0.24143
28,425,-0.27547,-0.23773,-0.07561
29,425,-0.28444,-0.10503,-0.11283
30,426,-0.30099,-0.09887,-0.19964
31,426,-0.19469,-0.06425,-0.17534
32,542,0.00596,-0.09359,-0.09418
33,543,-0.01945,-0.01393,-0.17925
34,543,-0.14681,-0.04162,-0.24105
35,545,-0.14479,-0.10048,-0.17409
36,545,0.04901,-0.07491,-0.04474
37,666,0.18843,-0.09040,0.05874
38,666,0.09918,-0.05045,-0.03270
39,667,-0.07066,0.04167,-0.08085
40,667,0.01066,0.03334,-0.11077
41,668,-0.01569,0.12745,-0.05815
42,668,0.20073,0.06212,-0.16527
43,669,0.11527,0.11063,-0.17206
44,669,0.07034,0.08851,-0.10718
45,790,0.12034,0.08955,-0.05840
46,790,0.11189,0.06852,-0.06781
47,792,0.04655,0.04544,-0.10894
48,792,0.04661,0.03323,-0.09653
49,792,-0.00255,0.03596,-0.08660
50,925,-0.00204,0.02564,-0.05990
51,926,0.03196,-0.03418,0.04974
52,927,-0.06896,-0.03047,0.03979
53,927,-0.07626,-0.00953,0.01074
54,928,0.03977,-0.01934,0.04765
55,1053,0.08650,-0.06157,0.09984
56,1053,-0.01283,-0.04925,0.11034
57,1054,-0.06573,-0.03628,0.11562
58,1054,-0.10415,-0.04699,0.06202
59,1054,0.00496,-0.08681,0.04962
60,1056,-0.02650,-0.10929,0.02095
61,1056,-0.12510,-0.08743,0.01676
62,1177,-0.12743,-0.08167,0.01653
63,1177,-0.13866,-0.08955,-0.00162
64,1178,-0.09530,-0.13883,-0.03489
65,1179,-0.07937,-0.15403,-0.09822
66,1180,-0.02678,-0.19666,-0.06374
67,1181,-0.06751,-0.19092,0.00448
68,1182,-0.01104,-0.13399,0.02780
69,1183,-0.01196,-0.08922,-0.01448
70,1304,-0.01582,-0.09247,-0.03267
71,1304,0.07563,-0.12007,0.01917
72,1305,0.03316,-0.08981,0.02471
73,1305,0.01168,-0.03513,0.03227
74,1306,-0.07659,-0.02498,-0.01403
75,1436,-0.06440,-0.03561,-0.06278
76,1437,0.11333,-0.08630,0.03493
77,1437,0.08754,-0.08466,0.11935
78,1440,0.01847,-0.00054,0.06501
79,1440,-0.05866,0.04878,-0.00580
80,1443,-0.00396,0.02653,0.03208
81,1443,0.07027,0.02122,0.09597
82,1571,-0.02035,0.05370,0.10412
83,1574,-0.07409,0.07655,0.03095
84,1575,-0.00146,0.03702,0.04664
85,1575,0.04805,-0.02273,0.05840
86,1576,-0.02015,-0.06349,0.10766
87,1576,-0.06456,-0.03829,0.03457
88,1576,0.01241,-0.04314,0.00031
89,1577,-0.05101,-0.07123,-0.03100
90,1700,0.16310,-0.09370,0.12207
91,1700,0.30157,-0.11168,0.09453
92,1702,0.16548,-0.17762,-0.01578
93,1702,0.05582,-0.06007,-0.05559
94,1703,0.00794,-0.00821,-0.01401
95,1704,-0.07568,-0.02141,-0.08699
96,1705,0.01211,-0.11166,0.00619
97,1834,0.09250,-0.19011,0.09949
98,1835,-0.16428,-0.07006,-0.11260
99,1835,-0.36658,-0.03183,-0.17211
100,1836,-0.10420,0.02688,-0.04941
101,1837,0.00570,0.02776,-0.09421
102,1963,-0.09935,0.04642,-0.06678
103,1963,-0.10995,0.08558,-0.01358
104,1966,-0.07546,0.15440,-0.00149
105,1968,0.11932,0.13211,0.01990
106,1968,0.07436,0.10569,-0.07861
107,1969,-0.02645,0.07596,-0.07773
108,1969,0.07025,-0.06111,0.00813
109,1970,0.04136,-0.09811,-0.01850
110,2095,-0.05207,-0.09411,-0.01167
111,2095,-0.19791,-0.07529,-0.00934
112,2096,-0.23411,-0.08757,0.09956
113,2096,0.55100,-0.12787,0.02184
114,2099,0.15408,-0.08355,0.12684
115,2101,-0.20018,-0.04574,0.04679
116,2101,-0.24608,0.00872,0.01321
117,2222,0.01095,0.08354,-0.06599
