index,time,xAxis,yAxis,zAxis
0,25,-0.00068,0.00125,-0.00273
1,26,0.00180,-0.00212,-0.00531
2,27,-0.00090,-0.00170,-0.00425
3,31,-0.00385,-0.00136,-0.00027
4,32,0.00239,0.00204,0.00603
5,74,0.00191,-0.00149,0.00482
6,74,-0.00081,-0.00120,0.00073
7,75,0.00482,-0.00096,-0.00254
8,87,0.00385,-0.00077,-0.00515
9,87,0.00308,-0.00061,-0.00412
10,183,-0.00300,0.00264,0.00295
11,185,-0.00006,0.00211,0.00549
12,186,-0.00551,-0.00144,0.00751
13,188,0.00106,-0.00115,-0.00024
14,188,0.00085,-0.00092,-0.00644
15,295,0.00380,-0.00074,0.00110
16,297,0.00304,0.00254,-0.00225
17,298,-0.00069,-0.00110,0.00445
18,302,-0.00290,-0.00088,0.00356
19,306,0.00003,-0.00070,-0.00028
20,377,-0.00545,-0.00056,-0.00022
21,378,0.00111,-0.00045,-0.00330
22,380,0.00401,-0.00036,-0.00264
23,383,0.00321,-0.00341,-0.00211
24,385,0.00257,0.00040,0.00143
25,463,-0.00341,0.00344,-0.00198
26,465,-0.00273,-0.00037,0.00467
27,468,-0.00531,-0.00030,0.00061
28,473,0.00747,-0.00024,0.00049
29,474,0.00598,0.00293,-0.00273
30,557,-0.00381,0.01094,-0.01078
31,557,0.01179,-0.02172,-0.03675
32,558,-0.00853,-0.03534,-0.03799
33,649,0.02677,0.01704,0.02117
34,650,-0.00359,0.02301,0.08100
35,656,0.00651,0.01216,0.05855
36,657,-0.01589,0.00972,-0.00160
37,658,-0.03459,0.00465,0.00497
38,659,-0.02767,0.00997,0.04929
39,661,0.03021,-0.00140,0.04568
40,749,0.03276,-0.00659,-0.00330
41,749,0.06918,-0.01152,0.01924
42,845,0.05222,-0.00609,0.02086
43,845,0.03865,-0.00487,0.01981
44,847,0.00357,-0.01952,-0.03259
45,849,0.00911,-0.02187,-0.06279
46,850,0.02526,-0.01124,-0.06273
47,941,0.02958,-0.00587,-0.02519
48,942,0.02991,0.00155,-0.00218
49,942,0.00831,0.00749,0.01076
50,945,-0.02382,0.01459,0.00236
51,946,-0.03390,0.02105,0.00813
52,948,-0.02400,0.02309,0.00338
53,1029,-0.00435,0.02784,0.03005
54,1031,0.02152,0.02540,0.05763
55,1032,0.02581,0.02345,0.04611
56,1033,0.00268,0.02110,0.03376
57,1122,-0.01348,0.04813,0.03326
58,1130,-0.01938,0.05335,0.06645
59,1131,-0.01863,0.04580,0.08910
60,1132,-0.01178,0.04914,0.09940
61,1132,0.00542,0.04478,0.08812
62,1224,0.01371,0.03895,0.06737
63,1230,0.03831,0.03116,0.02655
64,1231,0.05174,0.02180,0.03999
65,1241,0.06874,0.02369,0.06871
66,1242,0.05812,0.03145,0.06669
67,1317,0.02852,0.03454,0.05023
68,1327,0.00719,0.02997,0.03159
69,1328,0.00888,0.02398,0.02761
70,1330,0.02273,0.01918,0.02834
71,1330,0.03303,0.01847,0.03205
72,1391,0.03892,0.01478,0.03501
73,1392,0.01004,0.01182,0.02176
74,1393,0.00178,0.01571,0.01428
75,1397,0.01315,0.01257,0.01455
76,1398,0.02614,0.00693,0.01164
77,1517,0.03654,0.00554,0.02728
78,1520,0.01986,0.00443,0.01636
79,1521,0.00963,0.00355,0.01543
80,1522,0.01083,0.00284,0.01547
81,1523,0.03601,-0.00632,-0.00247
82,1572,0.07178,-0.01756,-0.02385
83,1572,0.09727,-0.02342,-0.00033
84,1573,0.08016,-0.01874,0.00599
85,1575,0.03366,-0.00249,-0.00459
86,1575,0.01521,0.00426,-0.00054
87,1671,0.01841,0.00341,-0.00669
88,1672,0.03270,-0.00665,0.02200
89,1673,0.03241,-0.00844,0.03322
90,1740,0.01343,0.00262,0.02345
91,1743,0.00762,0.00210,0.01564
92,1764,0.02484,-0.01082,0.00001
93,1765,0.05659,-0.00241,-0.00312
94,1766,0.06012,-0.00818,0.00688
95,1829,0.02700,-0.00654,0.01800
96,1830,0.00598,0.00414,0.02612
97,1833,-0.02256,0.01503,0.02402
98,1837,-0.03289,0.00656,0.01062
99,1838,-0.01772,0.00212,0.00537
100,1946,-0.00168,-0.01080,0.01055
101,1947,0.01975,-0.00864,0.00844
102,1952,0.01893,-0.01004,0.00675
103,1953,0.02139,-0.01428,0.00228
104,1957,0.02961,-0.01689,-0.01068
105,2031,0.02916,-0.01664,-0.01792
106,2033,0.04208,-0.02581,-0.01121
107,2035,0.04851,-0.03002,0.00041
108,2036,0.03880,-0.03261,-0.00280
109,2037,0.03104,-0.04172,-0.00536
110,2165,0.00374,-0.02712,-0.00117
111,2166,-0.01498,-0.03107,-0.02515
112,2168,-0.00886,-0.03423,-0.02950
113,2169,-0.01333,-0.02114,-0.01110
114,2169,-0.04114,-0.00128,-0.02450
115,2276,-0.02432,-0.01040,-0.03210
116,2277,0.01102,0.00730,-0.02256
117,2278,0.03928,0.02694,-0.02976
118,2279,0.08064,-0.00579,-0.04256
119,2279,0.07389,0.01021,-0.03717
120,2281,0.07396,0.01754,-0.04458
121,2281,0.08338,0.00153,-0.07239
122,2362,0.07608,-0.01049,-0.05478
123,2364,0.05149,-0.01777,0.01399
124,2365,0.04744,-0.01422,0.04791
125,2369,0.03170,-0.02075,0.03520
126,2370,0.04099,-0.01347,-0.00856
127,2438,0.04217,-0.01390,-0.00997
128,2439,0.04545,-0.01425,-0.01970
129,2442,0.03949,-0.02624,-0.05560
130,2541,0.00112,-0.02724,-0.06870
131,2544,-0.03895,-0.00304,-0.04949
132,2546,-0.22022,0.03116,0.02213
133,2551,-0.30118,0.01243,0.08489
134,2553,-0.22844,-0.00881,0.07650
135,2607,-0.16791,-0.00080,0.01902
136,2608,-0.09761,0.01186,0.01209
137,2612,-0.07809,0.04933,0.03076
138,2614,-0.04997,0.04259,0.01836
139,2615,-0.10716,0.03642,-0.02750
140,2717,-0.21386,0.03538,-0.07122
141,2720,-0.24452,0.04706,-0.09057
142,2724,-0.18312,0.07124,-0.04511
143,2724,-0.09493,0.10230,-0.01421
144,2725,-0.04860,0.09434,-0.01450
145,2815,-0.06935,0.07235,-0.03660
146,2818,-0.09845,0.04225,-0.05037
147,2825,-0.13970,0.04318,-0.05280
148,2827,-0.11176,0.05017,-0.07583
149,2828,0.12466,0.03076,0.00105
150,2958,0.09973,0.04570,0.04616
151,2960,0.09775,0.19281,0.34552
152,2965,-0.00696,-0.02934,-0.07202
153,2967,-0.12744,-0.13051,-0.22481
154,2969,-0.10195,-0.04894,-0.07359
155,2970,-0.13078,-0.05477,-0.07684
156,2970,-0.07728,-0.06491,-0.07710
157,3076,-0.14698,-0.07302,-0.21402
158,3077,-0.06915,-0.05295,-0.15013
159,3079,-0.06704,-0.03299,-0.11698
160,3079,-0.02941,-0.03576,-0.11155
161,3079,-0.02040,0.01748,-0.04705
162,3192,0.02665,0.07805,-0.02202
163,3192,0.28304,0.07494,0.22692
164,3201,0.02252,0.05995,0.20888
165,3201,-0.04292,0.03234,0.14835
166,3272,-0.19918,-0.06241,-0.21413
167,3272,-0.29684,-0.03509,-0.30490
168,3273,-0.25857,-0.02182,-0.35407
169,3273,-0.03342,-0.06042,-0.22545
170,3275,0.01936,-0.05381,-0.16786
171,3277,0.00611,-0.05867,-0.12491
172,3366,-0.04042,-0.02819,-0.08196
173,3369,0.01922,-0.02567,-0.03197
174,3372,0.09429,-0.02679,0.08145
175,3372,-0.01910,-0.06440,0.02844
176,3373,0.08237,0.00317,0.01338
177,3458,0.23387,0.07597,0.17242
178,3458,0.16600,-0.01500,0.02544
179,3461,0.27343,-0.13466,0.20004
180,3463,0.10858,-0.01320,0.29753
181,3464,0.22749,-0.06837,0.17709
182,3566,0.16949,-0.06407,0.07448
183,3566,0.09263,-0.07548,0.08380
184,3568,0.04363,0.00993,-0.00639
185,3569,0.10209,-0.02565,0.11988
186,3569,0.11214,0.03729,0.05685
187,3669,0.00456,0.00249,-0.01859
188,3671,-0.09713,-0.03160,-0.07346
189,3673,-0.12693,-0.03466,-0.10721
190,3673,0.01799,0.01212,0.04236
191,3674,0.07845,0.04954,0.03076
192,3765,0.04714,0.04588,0.01211
193,3772,-0.01385,0.00624,-0.03875
194,3775,-0.16342,-0.00126,-0.25053
195,3775,-0.13699,0.01149,-0.22542
196,3776,-0.04553,0.02716,-0.13737
197,3903,-0.04580,0.01860,-0.13412
198,3905,-0.11320,0.03598,-0.23854
199,3920,-0.19681,0.01394,-0.28537
200,3923,-0.24026,0.03537,-0.27751
201,3923,-0.08205,0.06501,-0.04779
202,3925,-0.06877,0.03404,-0.03198
203,3927,-0.07064,0.04520,-0.06230
204,3995,-0.05026,0.02366,-0.14125
205,3996,-0.00349,0.03455,-0.13175
206,3997,-0.01217,0.04561,-0.16009
207,3999,-0.03083,0.05212,-0.19526
208,4001,-0.03951,0.07216,-0.20230
209,4087,-0.00114,0.06085,-0.15871
210,4089,-0.00403,0.06118,-0.14807
211,4090,-0.02510,0.05442,-0.12783
212,4094,-0.02868,0.06228,-0.10851
213,4096,-0.00497,0.07092,-0.05009
214,4162,0.00852,0.06924,-0.00960
215,4163,0.01307,0.06164,-0.01940
216,4164,-0.01767,0.07665,-0.08583
217,4168,-0.08132,0.08242,-0.13273
218,4285,-0.09865,0.09328,-0.09134
219,4287,-0.11252,0.08087,-0.09104
220,4287,-0.03454,0.08267,-0.02440
