index,time,xAxis,yAxis,zAxis
0,15,0.00004,0.00096,0.00062
1,17,0.00095,0.00077,-0.00059
2,25,-0.00076,0.00061,-0.00095
3,67,-0.00065,-0.00107,0.00080
4,72,-0.00052,-0.00003,0.00064
5,168,0.00084,0.00071,-0.00074
6,169,0.00098,0.00057,-0.00090
7,170,0.00078,-0.00011,-0.00016
8,171,-0.00037,-0.00109,0.00087
9,173,-0.00086,-0.00087,-0.00073
10,280,0.00087,-0.00070,0.00054
11,281,0.00070,-0.00056,-0.00083
12,282,0.00056,0.00073,0.00051
13,284,0.00040,-0.00055,0.00076
14,285,-0.00120,0.00061,-0.00091
15,292,-0.00005,-0.00060,-0.00073
16,362,0.00062,-0.00048,0.00076
17,364,0.00049,0.00096,-0.00052
18,366,0.00039,0.00008,0.00028
19,374,-0.00064,0.00097,-0.00069
20,449,0.00039,0.00078,-0.00055
21,452,0.00037,0.00062,-0.00122
22,453,-0.00054,0.00133,-0.00332
23,454,-0.00116,0.00180,-0.00518
24,541,0.00077,-0.00026,0.00517
25,542,0.00261,-0.00164,0.00644
26,543,0.00208,-0.00031,-0.00082
27,545,-0.00033,0.00032,0.00078
28,641,-0.00322,-0.00131,0.00045
29,642,-0.00057,-0.00105,-0.00016
30,642,0.00036,-0.00084,0.00070
31,643,-0.00127,0.00089,-0.00105
32,643,-0.00054,0.00023,-0.00236
33,655,-0.00026,0.00002,-0.00097
34,725,-0.00086,0.00066,-0.00013
35,726,-0.00069,-0.00081,-0.00033
36,727,-0.00055,0.00069,-0.00028
37,743,-0.00044,-0.00054,0.00158
38,827,0.00118,0.00063,-0.00026
39,829,0.00098,0.00054,-0.00064
40,838,-0.00005,0.00043,-0.00085
41,838,-0.00204,0.00034,0.00005
42,844,-0.00036,-0.00115,0.00004
43,933,0.00028,0.00108,0.00061
44,933,0.00222,0.00185,0.00047
45,934,-0.00054,0.00004,-0.00018
46,934,-0.00068,-0.00040,-0.00015
47,939,-0.00055,-0.00157,-0.00012
48,1015,0.00074,-0.00126,0.00109
49,1016,0.00249,0.00056,-0.00036
50,1018,0.00048,-0.00004,-0.00180
51,1019,0.00038,-0.00111,-0.00052
52,1109,-0.00105,-0.00089,0.00023
53,1111,-0.00082,-0.00071,0.00174
54,1113,0.00068,-0.00057,0.00074
55,1114,0.00164,0.00064,-0.00032
56,1115,0.00178,0.00098,0.00127
