index,time,xAxis,yAxis,zAxis
0,19,-0.01283,0.00812,-0.01884
1,20,0.00224,0.00337,-0.02132
2,25,-0.00446,0.00894,-0.01393
3,26,-0.00044,0.01341,0.00370
4,27,-0.00035,0.00135,0.00608
5,69,0.00284,0.00733,0.00174
6,69,-0.01335,0.00274,-0.01345
7,75,-0.00443,0.01157,-0.00451
8,77,0.00270,-0.00012,-0.00048
9,78,0.00841,0.00615,0.00508
10,176,0.00361,0.00492,0.00172
11,177,0.00288,0.00081,-0.00800
12,183,0.00231,0.00377,-0.00327
13,183,-0.00440,0.00614,-0.00574
14,185,-0.00040,0.00492,-0.00147
15,287,0.00281,0.00393,-0.00118
16,289,0.00225,0.00315,-0.00094
17,295,0.00180,0.00564,-0.00388
18,297,0.00769,-0.00174,0.00002
19,300,-0.00010,0.00486,0.01486
20,369,-0.00321,0.00389,0.00564
21,370,-0.01506,-0.00001,-0.01346
22,377,0.01529,0.00311,0.00720
23,378,0.01536,-0.00063,0.00029
24,379,0.00369,0.00262,-0.00289
25,458,-0.01267,0.00522,-0.00544
26,463,-0.00701,-0.00207,-0.00122
27,468,0.01236,0.00147,0.01074
28,469,0.02239,-0.00195,0.01484
29,470,0.03041,0.00156,0.02750
30,547,0.00245,-0.00500,0.03372
31,550,-0.00429,-0.00400,0.03635
32,554,0.03329,-0.00007,0.01111
33,645,0.06022,0.01557,-0.00986
34,646,0.02396,0.00933,-0.01101
35,647,-0.04177,0.01606,-0.04553
36,647,-0.04591,0.02847,-0.03642
37,655,-0.02736,0.02590,-0.02914
38,655,-0.01251,0.02072,-0.02019
39,657,0.00484,0.02830,-0.01615
40,743,0.01324,0.02576,-0.02151
41,744,0.00434,0.02686,-0.02659
42,840,0.01285,0.02461,-0.02127
43,840,0.01966,0.02594,-0.02014
44,842,0.03682,0.01763,-0.00986
45,843,0.03258,0.02348,-0.00789
46,844,0.02606,0.02425,-0.00006
47,936,0.00523,0.01393,-0.01567
48,937,-0.00129,0.00802,-0.00629
49,938,0.00444,0.00954,-0.00191
50,940,0.01293,-0.00174,0.00160
51,941,0.00722,-0.00452,0.01925
52,943,0.00265,-0.00049,0.03415
53,1024,-0.02210,-0.00039,0.03279
54,1025,-0.01456,-0.01594,0.02311
55,1027,0.00632,-0.01822,0.02786
56,1028,0.00818,0.00339,0.01916
57,1120,0.00655,0.00271,0.00674
58,1122,0.00836,0.02014,-0.00711
59,1126,0.00669,0.01611,-0.02131
60,1127,-0.00090,0.01289,-0.01705
61,1129,0.00241,0.01656,-0.01677
62,1130,0.01755,0.01950,-0.01576
63,1214,0.01717,0.01560,-0.02511
64,1216,0.02233,0.01873,-0.02321
65,1227,0.01239,0.01498,-0.01857
66,1228,0.00366,0.02449,-0.01798
67,1228,-0.00644,0.01334,-0.01126
68,1304,-0.00828,0.01067,-0.01526
69,1306,-0.00662,0.01479,-0.00908
70,1324,0.00720,0.01183,-0.00414
71,1325,0.02060,0.00946,-0.00019
72,1325,0.00789,0.00132,0.00610
73,1385,-0.00931,0.00106,0.00488
74,1386,-0.02542,0.00397,-0.00547
75,1390,-0.01487,-0.00307,0.00187
76,1391,0.00373,-0.00558,0.00775
77,1391,0.01549,0.00178,0.01479
78,1507,0.00926,-0.00170,0.01496
79,1513,-0.01134,-0.00448,0.00025
80,1518,-0.01767,-0.00359,-0.00293
81,1518,-0.00866,0.00026,-0.00547
82,1519,0.01182,0.00958,-0.00125
83,1568,0.01805,0.00141,0.00213
84,1569,0.01210,-0.00824,0.00170
85,1570,0.00343,-0.00972,0.00995
86,1570,0.00587,-0.01090,0.02046
87,1571,0.01329,-0.01185,0.04059
88,1734,0.03875,-0.00323,0.04185
89,1737,0.04897,-0.00258,0.07020
90,1740,0.06652,-0.01144,0.09288
91,1742,0.03837,-0.00603,0.04930
92,1749,0.00570,-0.05326,0.03397
93,1760,0.00456,-0.06995,0.00530
94,1761,0.06458,-0.16299,0.00112
95,1821,0.07979,-0.11789,0.08996
96,1822,0.12165,0.00334,0.12665
97,1824,0.10904,0.00814,0.03726
98,1827,0.04817,-0.00521,-0.04363
99,1828,-0.04740,0.02005,-0.12319
100,1936,-0.08949,0.05901,-0.11105
101,1938,-0.04425,0.11127,-0.04587
102,1940,-0.01430,0.09214,-0.00623
103,1945,-0.05363,0.10418,-0.05342
104,1946,-0.07650,0.12241,-0.11617
105,2024,-0.01901,0.09246,-0.16638
106,2025,0.00354,0.10756,-0.16982
107,2026,0.02080,0.06417,-0.10851
108,2030,-0.12945,0.01149,-0.01025
109,2030,-0.36919,-0.04549,0.00743
110,2156,-0.31644,0.00033,0.02704
111,2158,-0.18597,0.01823,-0.00259
112,2159,-0.09721,-0.00651,-0.02395
113,2163,-0.07152,-0.09974,-0.01603
114,2164,-0.16737,-0.21104,0.00280
115,2267,-0.14015,-0.18133,0.02958
116,2269,-0.06290,-0.14741,0.00492
117,2270,0.00124,-0.15465,0.01331
118,2273,0.01349,-0.19091,0.05362
119,2274,-0.01655,-0.19257,0.10383
120,2276,0.17270,-0.18452,0.13150
121,2276,0.11707,-0.10231,0.05989
122,2278,-0.18760,-0.01153,-0.05912
123,2355,0.03898,0.01577,0.09645
124,2357,0.13197,-0.19207,0.12560
125,2362,0.07198,-0.19350,0.07001
126,2363,0.17087,-0.07511,0.14429
127,2364,0.19763,-0.07884,0.05449
128,2433,0.10342,-0.11151,-0.04156
129,2433,0.00305,-0.09233,-0.05747
130,2525,-0.12569,-0.07074,-0.02800
131,2530,0.00023,-0.00503,0.02369
132,2536,0.00643,-0.02824,0.07676
133,2541,-0.14485,-0.08353,0.07391
134,2543,-0.26823,-0.04261,0.08335
135,2602,-0.29114,0.04248,0.01199
136,2605,-0.22041,0.10351,-0.07322
137,2606,-0.09352,0.16250,-0.12889
138,2607,0.00409,0.24015,-0.14295
139,2608,0.10093,0.26790,-0.21202
140,2710,0.05965,0.23932,-0.24852
141,2711,-0.03197,0.16333,-0.25663
142,2712,0.07208,0.10645,-0.13577
143,2716,0.18892,0.10938,-0.08049
144,2718,0.13004,0.02344,0.06686
145,2805,0.07356,0.05235,0.07770
146,2807,-0.02943,0.07860,0.00122
147,2809,0.00067,-0.01056,-0.00215
148,2818,-0.02680,0.05327,0.04125
149,2819,-0.13785,-0.00973,0.12128
150,2949,-0.10716,-0.05622,0.13687
151,2951,-0.21072,-0.05123,-0.00066
152,2952,-0.39124,-0.08395,-0.09818
153,2959,-0.33174,-0.09138,-0.09105
154,2962,-0.20680,-0.05201,-0.01737
155,2964,-0.08966,-0.00176,-0.05686
156,2964,-0.18110,0.00484,-0.09471
157,2965,-0.14801,0.01872,-0.10624
158,3072,-0.15512,-0.00300,-0.12405
159,3072,-0.20691,-0.00552,-0.14846
160,3074,-0.15615,0.02293,-0.13986
161,3074,-0.13117,0.03709,-0.11501
162,3074,-0.03150,-0.01330,-0.02795
163,3187,0.01777,-0.07782,0.04483
164,3195,0.03843,-0.06851,0.17883
165,3195,-0.05207,-0.01184,0.09150
166,3196,-0.03853,-0.00010,0.03023
167,3196,-0.03082,0.05774,-0.09769
168,3266,-0.03325,0.03369,-0.13284
169,3266,-0.00551,0.03945,-0.16408
170,3267,-0.05909,0.05890,-0.19845
171,3269,-0.12071,0.10806,-0.22908
172,3273,-0.05360,0.11067,-0.22310
173,3357,-0.03741,0.09166,-0.11442
174,3359,0.00366,0.08583,-0.09779
175,3360,0.03965,0.06554,-0.07510
176,3365,0.08406,0.04618,-0.03899
177,3366,0.02428,0.03382,-0.06713
178,3448,0.09599,0.03643,0.02520
179,3450,0.16820,0.04164,0.08422
180,3452,0.02753,0.05128,-0.06700
181,3455,-0.20064,0.04415,-0.23641
182,3456,-0.24879,0.01970,-0.07350
183,3561,0.10566,-0.03268,0.18260
184,3561,0.13062,-0.03864,0.18280
185,3563,-0.01738,0.01830,-0.00610
186,3563,-0.17250,0.07558,-0.23144
187,3564,0.03544,0.00265,-0.09297
188,3664,0.11429,-0.03772,0.05688
189,3665,0.13987,0.00342,0.07284
190,3668,-0.00998,0.01211,-0.06672
191,3668,-0.05095,0.01281,-0.05025
192,3669,-0.04701,-0.01163,0.02933
193,3670,-0.08917,-0.02727,0.00237
194,3769,-0.02290,0.01178,0.01127
195,3769,-0.07301,0.01802,0.00589
196,3770,-0.04278,0.01207,0.06565
197,3770,-0.04985,0.00653,0.15955
198,3772,-0.01566,0.02319,0.26748
199,3895,0.03356,0.04590,0.12258
200,3914,0.07841,0.05234,-0.01443
201,3915,0.11195,0.02000,0.01267
202,3915,0.08644,0.00428,0.08045
203,3920,0.14805,0.01827,0.11905
204,3921,0.13094,0.02086,0.08039
205,3922,0.18991,0.05029,-0.00287
206,3988,0.32615,0.06757,-0.01792
207,3989,0.44998,0.06031,0.05597
208,3994,0.41545,0.05137,0.11509
209,3994,0.39955,0.02860,0.18660
210,3995,0.35011,0.00803,0.21335
211,4079,0.16056,-0.01545,0.19490
212,4082,0.02219,-0.04830,0.12232
213,4088,-0.07990,-0.07223,0.09161
214,4093,0.00874,-0.07653,0.12251
215,4094,0.10464,-0.09170,0.15269
216,4161,0.11418,-0.10695,0.16512
217,4161,0.04291,-0.12853,0.15007
218,4162,0.04683,-0.11142,0.12630
219,4163,0.07340,-0.11101,0.09792
220,4275,0.07747,-0.13099,0.05724
221,4277,0.04010,-0.12042,0.03017
222,4279,0.04146,-0.09321,0.04601
223,4284,0.02691,-0.07769,0.01806
224,4286,0.03716,-0.06216,-0.03399
225,4286,0.09691,-0.07082,-0.03969
226,4363,0.14159,-0.07775,-0.01925
227,4364,0.12577,-0.05985,-0.00369
228,4367,0.06078,-0.05648,0.00643
229,4368,0.01503,-0.04206,-0.00111
230,4369,-0.00360,-0.03990,-0.03448
231,4444,0.04009,-0.05379,-0.02758
232,4444,0.09301,-0.04303,-0.02519
233,4448,0.07753,-0.02505,-0.03812
234,4448,0.04952,-0.02317,-0.03050
235,4449,0.02165,-0.02713,-0.01190
236,4533,-0.01940,-0.03108,-0.03139
237,4534,-0.00302,-0.04908,-0.00637
238,4607,0.05540,-0.06973,0.04647
239,4607,0.03494,-0.08704,0.03093
240,4608,0.01858,-0.09072,0.00990
241,4610,0.13752,-0.12414,0.14229
242,4613,-0.06420,-0.16338,0.02477
243,4712,-0.01152,-0.09711,-0.01065
244,4714,0.08219,-0.05347,0.05554
245,4716,-0.05925,-0.02168,-0.06182
246,4721,-0.17552,-0.02906,-0.15961
247,4723,-0.13729,0.01269,-0.10034
248,4834,-0.02155,0.03515,0.01426
249,4835,-0.00240,0.04609,0.00203
250,4836,0.00746,0.04312,0.01412
251,4837,-0.07294,0.03137,-0.04651
252,4838,-0.12867,0.04932,-0.06143
253,4944,-0.05762,0.03945,0.01804
254,4945,0.00937,0.05656,0.07225
255,4945,0.06844,0.06634,0.05467
256,4947,0.07272,0.05932,0.01952
257,4947,0.07380,0.04121,0.04608
258,4949,-0.02377,0.03922,0.05796
259,4950,-0.07058,0.02825,0.05887
260,4951,-0.04709,0.02572,0.05881
261,5043,0.00139,0.00808,0.02596
262,5044,0.08705,-0.00604,0.05123
263,5046,0.04542,-0.01967,0.03786
264,5047,-0.04648,-0.00636,-0.00643
265,5048,-0.02156,-0.01447,-0.03561
266,5177,-0.01178,-0.02954,-0.02536
267,5178,-0.00005,-0.04551,0.02893
268,5180,-0.00004,-0.03016,0.05361
269,5180,-0.01487,-0.00850,0.03664
270,5182,-0.04549,0.00179,0.01369
271,5183,0.01204,0.01706,0.02657
272,5183,0.03385,0.01365,-0.01546
273,5284,0.00286,0.01951,-0.07018
274,5285,-0.02505,0.02811,-0.05927
275,5286,0.00418,0.02874,0.01977
276,5288,0.00022,0.02299,0.02207
277,5288,-0.02717,0.01527,-0.02219
278,5289,0.00561,0.01534,-0.03650
279,5375,0.01074,0.00602,-0.01670
280,5376,0.02421,-0.01315,-0.00399
281,5378,-0.00797,-0.01365,-0.02194
282,5470,-0.00638,-0.02029,-0.02927
283,5474,-0.04182,-0.04670,-0.09060
284,5474,0.02748,-0.04049,-0.04826
285,5475,0.19542,-0.05661,0.07701
286,5612,0.08056,-0.07888,0.03114
287,5620,-0.05743,-0.03576,-0.05087
288,5621,-0.00376,-0.05908,-0.03523
289,5624,0.06418,-0.05664,-0.01568
290,5625,0.09431,-0.04531,-0.01879
291,5626,0.07545,-0.03625,-0.04863
292,5627,0.06661,-0.03212,-0.04203
293,5677,0.04079,-0.03742,-0.03050
294,5677,0.04201,-0.03306,-0.02440
295,5678,0.04532,-0.02332,-0.03124
296,5679,0.03938,-0.02178,-0.02499
297,5679,0.03463,-0.03305,-0.02624
298,5680,0.09489,-0.04753,0.00010
299,5776,0.05795,-0.03490,0.00633
300,5780,0.00651,-0.00058,-0.02540
301,5784,0.04505,0.00266,-0.02657
302,5784,0.12432,-0.01896,0.02171
303,5785,0.07524,-0.04017,0.01424
304,5864,0.01722,-0.02589,-0.00970
305,5865,0.05987,-0.03555,-0.00776
306,5866,0.02602,-0.05032,0.00239
307,5867,-0.03074,-0.04338,-0.05278
308,5870,0.05197,-0.03158,-0.06957
309,5997,0.02907,-0.02839,-0.09237
310,6008,0.07170,-0.02584,-0.06140
311,6010,0.13079,-0.05973,-0.00068
312,6010,0.05932,-0.04778,0.00571
313,6011,0.06855,-0.02963,0.00769
314,6090,-0.00922,-0.03230,-0.04307
315,6095,-0.04722,-0.01100,-0.07664
316,6096,-0.02528,-0.06036,-0.05272
317,6096,0.01650,-0.04516,-0.02343
318,6097,0.13507,-0.02754,0.05157
319,6209,0.05337,-0.01265,0.00766
320,6211,-0.04324,0.01410,-0.03059
321,6214,-0.06194,0.00815,-0.00963
322,6215,-0.06517,0.02215,0.02902
323,6215,-0.02401,0.03569,0.03884
324,6233,-0.05281,0.05902,0.02482
325,6233,-0.07037,0.06909,0.02923
326,6304,-0.06176,0.08261,0.04135
327,6305,-0.02832,0.07859,0.06043
328,6306,-0.05312,0.05975,0.05147
329,6405,-0.02765,0.05405,0.03805
330,6406,-0.02759,0.04871,0.00622
331,6410,-0.02832,0.03584,0.00185
332,6410,0.01093,0.01070,0.04445
333,6411,0.00250,-0.01566,0.05665
334,6504,0.05981,-0.01877,0.08204
335,6504,-0.04981,-0.00877,0.02266
336,6528,-0.06094,0.00158,0.00641
337,6529,-0.04250,-0.00733,0.01060
338,6529,-0.00041,-0.00899,0.03973
339,6532,-0.00345,-0.00094,0.00678
340,6533,-0.02151,0.01409,-0.01254
341,6595,-0.03518,0.00190,-0.02566
342,6596,-0.04064,-0.00083,-0.02053
343,6597,-0.00204,0.00168,-0.00705
344,6686,-0.01335,0.00135,-0.00876
345,6686,-0.01068,-0.00439,0.00237
346,6687,-0.00542,-0.00976,0.00814
347,6687,-0.02621,-0.00469,0.00339
348,6688,0.00637,-0.00062,0.03630
349,6696,0.00822,0.01434,0.02279
350,6798,-0.01764,0.01460,-0.03411
351,6802,0.00151,0.02731,0.00943
352,6804,-0.04176,0.02184,0.00755
353,6804,-0.07950,0.04169,0.00916
354,6806,-0.06360,0.04273,0.00733
355,6806,-0.03526,0.03106,-0.01211
356,6921,-0.01336,0.02172,0.00203
357,6923,0.00494,0.00800,0.03522
358,6923,-0.02964,0.00953,0.04380
359,6925,-0.03309,0.01700,0.04754
360,6927,-0.05382,0.01672,-0.00806
361,7017,-0.06415,0.00400,-0.05567
362,7018,0.05493,-0.00305,0.02578
363,7026,0.04707,-0.03291,0.04797
364,7027,-0.00453,-0.02633,0.04462
365,7101,0.00184,-0.03903,0.02398
366,7102,-0.03134,-0.04685,-0.06675
367,7105,-0.02273,-0.03748,-0.09012
368,7105,0.05526,-0.03311,-0.03850
369,7106,0.11452,-0.05383,0.01217
370,7107,-0.04589,-0.03056,-0.04183
371,7214,-0.07655,-0.02758,-0.08893
372,7216,-0.03312,-0.02831,-0.05240
373,7217,0.15007,-0.04687,0.07058
374,7219,0.08021,-0.04999,0.01115
375,7220,-0.02099,0.01157,-0.10436
376,7221,0.08399,-0.02121,-0.06161
377,7310,0.03672,-0.05057,-0.02820
378,7311,-0.02531,-0.03108,-0.08974
379,7315,0.06803,-0.02174,-0.08430
380,7316,0.11224,-0.01739,-0.08228
381,7319,0.19057,-0.05063,0.03496
382,7425,0.11262,-0.09832,0.07015
383,7426,0.06900,-0.07865,0.06550
384,7428,-0.05808,-0.07230,0.03443
385,7429,0.00588,-0.06721,0.11895
386,7429,-0.02889,-0.07486,0.11313
387,7431,-0.02936,-0.05364,0.11238
388,7432,-0.08130,-0.05229,0.08053
389,7534,-0.12598,-0.01761,0.04880
390,7535,-0.11641,0.04763,0.03357
391,7536,-0.10250,0.08029,0.02373
392,7538,-0.17966,0.08611,-0.09742
393,7538,-0.18591,0.13842,-0.07794
394,7664,-0.09092,0.15683,-0.06548
395,7665,-0.11570,0.16531,-0.08597
396,7666,-0.06209,0.16896,-0.07737
397,7667,-0.08639,0.18361,-0.13221
398,7668,-0.16365,0.17423,-0.18233
399,7758,-0.01451,0.18235,-0.05446
400,7764,0.03370,0.13104,0.01737
401,7765,-0.05194,0.09858,-0.02204
402,7766,-0.10874,0.11246,-0.07623
403,7766,-0.19715,0.10169,-0.15551
404,7903,-0.20303,0.07275,-0.00175
405,7904,-0.11399,0.01836,0.15094
406,7905,-0.13963,0.00844,0.10200
407,7905,-0.20702,0.05519,0.03004
408,7906,-0.29608,0.02306,-0.00019
409,7908,-0.33765,-0.00577,0.06391
410,7908,-0.14824,-0.00149,0.19722
411,7908,-0.02719,-0.00120,0.18278
412,8003,-0.13737,-0.03767,0.02669
413,8004,-0.12552,-0.03639,-0.03021
414,8008,-0.05433,-0.02911,-0.03979
415,8008,-0.04034,-0.03266,-0.00136
416,8104,-0.07836,-0.08707,0.04813
417,8105,-0.12675,-0.10637,0.05960
418,8106,-0.01312,-0.09057,0.04455
419,8106,-0.08393,-0.11230,0.08486
420,8108,-0.25308,-0.12031,0.04601
421,8108,-0.29700,-0.05093,-0.05460
422,8109,-0.05479,0.00847,0.00867
423,8188,0.07570,0.02475,0.01240
424,8194,0.03322,0.03542,-0.03227
425,8276,0.00470,0.07365,-0.07503
426,8281,-0.01108,0.09876,-0.13581
427,8283,0.00910,0.09151,-0.15786
428,8284,0.00103,0.09743,-0.15676
429,8285,-0.02027,0.09044,-0.14103
430,8286,0.00253,0.08407,-0.14330
431,8287,0.02937,0.07351,-0.15057
432,8393,0.07193,0.05881,-0.13608
433,8394,0.09739,0.05017,-0.10262
434,8398,0.11776,0.02764,-0.07897
435,8398,0.10046,0.01898,-0.06630
436,8400,0.05849,0.01831,-0.06241
