index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150601,-1.000,-1.000,0.093,1433156347
2,20150601,0.081,0.081,0.043,1433156348
3,20150601,0.015,0.023,0.007,1433156349
4,20150601,0.002,0.003,0.001,1433156350
5,20150601,0.000,0.001,0.000,1433156351
6,20150601,0.000,0.000,0.000,1433156352
7,20150601,0.000,0.000,0.000,1433156353
8,20150601,0.000,0.000,0.000,1433156354
9,20150601,0.000,0.000,0.000,1433156355
10,20150601,0.000,0.000,0.000,1433156356
11,20150601,0.000,0.000,0.000,1433156357
12,20150601,0.000,0.000,0.000,1433156358
13,20150601,0.000,0.000,0.000,1433156359
14,20150601,0.000,0.000,0.000,1433156360
15,20150601,0.000,0.000,0.000,1433156361
16,20150601,0.001,0.000,0.000,1433156362
17,20150601,0.000,0.000,0.000,1433156363
18,20150601,0.000,0.000,0.000,1433156364
19,20150601,0.000,0.000,0.000,1433156365
20,20150601,0.000,0.000,0.000,1433156366
21,20150601,0.000,0.000,0.000,1433156367
22,20150601,0.000,0.000,0.000,1433156368
23,20150601,0.000,0.000,0.000,1433156369
24,20150601,0.000,0.000,0.000,1433156370
25,20150601,0.000,0.000,0.000,1433156371
26,20150601,0.000,0.000,0.000,1433156372
27,20150601,0.000,0.000,0.000,1433156373
28,20150601,0.000,0.000,0.000,1433156374
29,20150601,0.000,0.000,0.000,1433156375
30,20150601,0.000,0.000,0.000,1433156376
31,20150601,0.000,0.000,0.000,1433156377
32,20150601,0.000,0.000,0.000,1433156378
33,20150601,0.000,0.000,0.000,1433156379
34,20150601,0.000,0.000,0.000,1433156380
35,20150601,0.000,0.000,0.001,1433156381
36,20150601,0.000,0.000,0.001,1433156382
37,20150601,0.000,0.000,0.000,1433156383
38,20150601,0.000,0.000,0.000,1433156384
39,20150601,0.000,0.000,0.000,1433156385
40,20150601,0.000,0.000,0.000,1433156386
41,20150601,0.000,0.000,0.000,1433156387
42,20150601,0.000,0.000,0.000,1433156388
43,20150601,0.000,0.027,0.000,1433156389
44,20150601,0.068,0.003,0.000,1433156390
45,20150601,0.008,0.001,0.034,1433156391
46,20150601,0.001,0.001,0.032,1433156392
47,20150601,0.001,0.001,0.002,1433156393
48,20150601,0.001,0.000,0.000,1433156394
49,20150601,0.000,0.000,0.000,1433156395
50,20150601,0.000,0.000,0.000,1433156396
51,20150601,0.000,0.000,0.000,1433156397
52,20150601,0.001,0.000,0.000,1433156398
53,20150601,0.001,0.001,0.000,1433156399
54,20150601,0.000,0.000,0.000,1433156400
55,20150601,0.000,0.000,0.000,1433156401
56,20150601,0.000,0.000,0.000,1433156402
57,20150601,0.000,0.000,0.000,1433156403
58,20150601,0.000,0.000,0.000,1433156404
59,20150601,0.000,0.000,0.000,1433156405
60,20150601,0.000,0.000,0.000,1433156406
61,20150601,0.000,0.000,0.000,1433156407
62,20150601,0.000,0.000,0.000,1433156408
63,20150601,0.000,0.000,0.000,1433156409
64,20150601,0.000,0.000,0.000,1433156410
65,20150601,0.000,0.000,0.000,1433156411
66,20150601,0.000,0.000,0.000,1433156412
67,20150601,0.001,0.011,0.000,1433156413
68,20150601,0.000,0.003,0.000,1433156414
69,20150601,0.000,0.001,0.000,1433156415
70,20150601,0.000,0.001,0.000,1433156416
71,20150601,0.000,0.001,0.000,1433156417
72,20150601,0.000,0.001,0.000,1433156418
73,20150601,0.000,0.000,0.000,1433156419
74,20150601,0.000,0.000,0.000,1433156420
75,20150601,0.000,0.000,0.000,1433156421
76,20150601,0.000,0.000,0.000,1433156422
77,20150601,0.000,0.000,0.000,1433156423
78,20150601,0.000,0.000,0.000,1433156424
79,20150601,0.000,0.000,0.000,1433156425
80,20150601,0.000,0.000,0.000,1433156426
81,20150601,0.000,0.000,0.000,1433156427
82,20150601,0.000,0.000,0.000,1433156428
83,20150601,0.000,0.000,0.000,1433156429
84,20150601,0.000,0.000,0.000,1433156430
85,20150601,0.000,0.000,0.000,1433156431
86,20150601,0.000,0.000,0.000,1433156432
87,20150601,0.000,0.000,0.000,1433156433
88,20150601,0.000,0.000,0.000,1433156434
89,20150601,0.000,0.000,0.000,1433156435
90,20150601,0.000,0.000,0.000,1433156436
91,20150601,0.000,0.000,0.000,1433156437
92,20150601,0.000,0.000,0.000,1433156438
93,20150601,0.000,0.000,0.000,1433156439
94,20150601,0.000,0.000,0.000,1433156440
95,20150601,0.000,0.000,0.000,1433156441
96,20150601,0.000,0.000,0.000,1433156442
97,20150601,0.000,0.000,0.000,1433156443
98,20150601,0.000,0.007,0.028,1433156444
99,20150601,0.000,0.003,0.084,1433156445
100,20150601,0.008,0.092,0.020,1433156446
101,20150601,0.001,0.132,0.003,1433156447
102,20150601,0.000,0.079,0.001,1433156448
103,20150601,0.000,0.072,0.000,1433156449
104,20150601,0.000,0.103,0.000,1433156450
105,20150601,0.000,0.041,0.000,1433156451
106,20150601,0.000,0.054,0.000,1433156452
107,20150601,0.000,0.073,0.004,1433156453
108,20150601,0.000,0.048,0.004,1433156454
109,20150601,0.000,0.049,0.001,1433156455
110,20150601,0.088,0.032,0.001,1433156456
111,20150601,0.075,0.053,0.000,1433156457
112,20150601,0.046,0.038,0.000,1433156458
113,20150601,0.075,0.028,0.000,1433156459
114,20150601,0.053,0.031,0.000,1433156460
115,20150601,0.114,0.142,0.000,1433156461
116,20150601,0.028,0.053,0.000,1433156462
117,20150601,0.007,0.007,0.000,1433156463
118,20150601,0.016,0.007,0.000,1433156464
119,20150601,0.163,0.059,0.000,1433156465
120,20150601,0.137,0.077,0.001,1433156466
121,20150601,0.043,0.028,0.001,1433156467
122,20150601,0.013,0.018,0.001,1433156468
123,20150601,0.010,0.008,0.000,1433156469
124,20150601,0.006,0.002,0.000,1433156470
125,20150601,0.006,0.009,0.000,1433156471
126,20150601,0.015,0.016,0.000,1433156472
127,20150601,0.038,0.019,0.000,1433156473
128,20150601,0.009,0.006,0.000,1433156474
129,20150601,0.007,0.002,0.000,1433156475
130,20150601,0.002,0.001,0.000,1433156476
131,20150601,0.001,0.001,0.000,1433156477
132,20150601,0.001,0.001,0.000,1433156478
133,20150601,0.002,0.002,0.000,1433156479
134,20150601,0.005,0.003,0.000,1433156480
